id,name,name_alternative,location,parent_id,parent_name
11132-kimura-team-jorjao,Kimura Team Jorjão,,"Natal, Rio Grande do Norte, Brazil",4111-kimura-nova-unio,Kimura
11135-team-brothers,Team Brothers,,"Niterói, Rio de Janeiro, Brazil",,
11163-umf,UMF Johannesburg,Ultimate MMA Fitness,"Johannesburg, Gauteng, South Africa",,
11225-marathon-mma,Marathon MMA,,"Overland Park, Kansas",,
11300-ct-thai-brasil-floripa,CT Thai Brasil Floripa,,"Centro Comercial Albino, Santa Catarina, Brazil",,
1132-fighting-eagle,Berkut FC,Fighting Eagle,"Khasavyurt, Russia",,
1135-academy-of-combat-arts,Academy of Combat Arts,AOCA,"Fargo, North Dakota",,
11352-la-base-mma,La Base MMA,La Base MMA Training Center,"Santa Cruz de la Sierra, Bolivia",,
11353-fight-me-combat-sports,Fight Me Combat Sports,,"Fort Myers, Florida",,
1137-next-edge-academy-of-martial-arts,Next Edge Academy of Martial Arts,,"Sioux Falls, South Dakota",,
1138-ambition-training-academy,Ambition Training Academy,Ambition MMA,"Eagan, Minnesota",,
114-korean-zombie-mma,Korean Zombie MMA,코리안좀비MMA 정찬성짐,"Seoul, Korea",,
1142-mankato-martial-arts,Mankato Martial Arts,,"Mankato, Minnesota",,
1143-minnesota-fight-factory,Minnesota Fight Factory,,"Minneapolis, Minnesota",,
1145-spartan-mma,Spartan MMA,,"Oakdale, Minnesota",,
1147-des-moines-jiu-jitsu-academy,Des Moines Jiu Jitsu Academy,DMJJA,"Des Moines, Iowa",,
1148-des-moines-mma-academy,Des Moines MMA Academy,Porcelli's Training Center,"Des Moines, Iowa",,
1149-miletich-fighting-systems,Miletich Fighting Systems,"Miletich Martial Arts, Gravity Fitness Center","Bettendorf, Iowa",,
1150-roufusport-mma-academy,Roufusport MMA Academy,,"Milwaukee, Wisconsin",,
1151-roundkick-gym,Roundkick Gym,Round Kick MMA,"Urbandale, Iowa",,
1152-adrian-serrano-combat-sports-gym,Adrian Serrano Combat Sports Gym,Serrano’s Combat Academy,"Milwaukee, Wisconsin",,
1153-agallar-combative-systems,Agallar Combative Systems,,"Racine, Wisconsin",,
11539-climax-fight-academy,Climax Fight Academy,,"Lyon, France",,
1154-chosen-few-gym,Capital City MMA & BJJ,Chosen Few Fight Team,"McFarland, Wisconsin",,
1157-dave-strassers-freestyle-academy,Dave Strasser's Freestyle Academy of MMA,,"Kenosha, Wisconsin",,
11576-team-hammer,Team Hammer,Park's Tae Kwon Do Training & Fitness,"Loveland, Ohio",,
11578-world-kickboxing-academy,World Kickboxing Academy,,"Cuyahoga Falls, Ohio",,
11607-team-jaula-bahamondes,Team Jaula Bahamondes,,"Santiago de Chile, Chile",,
11622-ignite-jiu-jitsu-mma-academy,Ignite Jiu Jitsu & MMA Academy,,"Gladstone, Missouri",,
11654-endrah-mma,Endrah MMA,Endrah Mixed Martial Arts,"Bauru, Sao Paulo, Brazil",,
1167-central-illinois-combat-club,Central Illinois Combat Club,,Illinois,,
1168-chicago-fight-team,Chicago Fight Team,,"Chicago, Illinois",,
1169-combat-do,Combat-Do,Combat Do,"Court Cicero, Illinois",,
117-the-jungle-mma-fitness,The Jungle MMA & Fitness,,"Orlando, Florida 32803",,
1170-finneys-hit-squad,Finney's HIT Squad,Finney's MMA,"Granite City, Illinois",,
1171-fiore-mma,Fiore MMA,The MMA Clinic,"Springfield, Illinois",,
1173-midwest-training-center,Midwest Training Center,MTC,"Schaumburg, Illinois",,
11777-mascote-team,Mascote Team,,"Guarulhos, Sao Paulo, Brazil",,
11778-roots-combat-club,Roots Combat Club,,"Bloomfield Township, Michigan",,
11805-bandog-fight-club,Bandog Fight Club,,"Gijon, Spain",,
11806-allstars-gym-spain,AllStars Gym Spain,Allstars Training Center Torrevieja,"Torrevieja, Valencia",1837-allstars-training-center,Allstars Training Center
