bout_id,fighter_id,weigh_in_result,fight_night_weight,weight_gain
659500-ufc-fight-night-lukasz-the-bull-brzeski-vs-martin-badys-buday,147242-martin-buday,266.0 lbs (120.7 kgs),290.4 lbs (131.7 kgs),"24.4 lbs (11.1 kgs, +9%)"
659500-ufc-fight-night-lukasz-the-bull-brzeski-vs-martin-badys-buday,90654-ukasz-brzeski,236.5 lbs (107.3 kgs),240.0 lbs (108.9 kgs),"3.5 lbs (1.6 kgs, +1%)"
677655-ufc-fight-night-angela-overkill-hill-vs-lupita-loopy-godinez,57525-angela-hill-overkill,119.5 lbs (54.2 kgs),126.8 lbs (57.5 kgs),"7.3 lbs (3.3 kgs, +6%)"
677655-ufc-fight-night-angela-overkill-hill-vs-lupita-loopy-godinez,133312-lupita-godinez,119.0 lbs (54.0 kgs),130.0 lbs (59.0 kgs),"11.0 lbs (5.0 kgs, +9%)"
658011-ufc-fight-night-gerald-gm3-meerschaert-vs-bruno-blindado-silva,6018-gerald-meerschaert-the-machine,185.0 lbs (83.9 kgs),203.4 lbs (92.3 kgs),"18.4 lbs (8.3 kgs, +10%)"
658011-ufc-fight-night-gerald-gm3-meerschaert-vs-bruno-blindado-silva,59819-bruno-silva-blindado,186.0 lbs (84.4 kgs),199.0 lbs (90.3 kgs),"13.0 lbs (5.9 kgs, +7%)"
678783-ufc-fight-night-queen-of-violence-ariane-lipski-vs-priscila-zombie-girl-cachoeira,128371-priscila-cachoeira,135.0 lbs (61.2 kgs),147.4 lbs (66.9 kgs),"12.4 lbs (5.6 kgs, +9%)"
678783-ufc-fight-night-queen-of-violence-ariane-lipski-vs-priscila-zombie-girl-cachoeira,57056-ariane-lipski,135.5 lbs (61.5 kgs),142.4 lbs (64.6 kgs),"6.9 lbs (3.1 kgs, +5%)"
658138-ufc-fight-night-devin-brown-bear-clark-vs-azamat-the-professional-murzakanov,93373-azamat-murzakanov,204.0 lbs (92.5 kgs),219.4 lbs (99.5 kgs),"15.4 lbs (7.0 kgs, +8%)"
658138-ufc-fight-night-devin-brown-bear-clark-vs-azamat-the-professional-murzakanov,23218-devin-clark,205.0 lbs (93.0 kgs),220.4 lbs (100.0 kgs),"15.4 lbs (7.0 kgs, +8%)"
672798-ufc-fight-night-yazmin-jauregui-vs-iasmin-lucindo,207769-yasmine-jauregui,114.5 lbs (51.9 kgs),130.4 lbs (59.1 kgs),"15.9 lbs (7.2 kgs, +14%)"
672798-ufc-fight-night-yazmin-jauregui-vs-iasmin-lucindo,166360-iasmin-lucindo,116.0 lbs (52.6 kgs),131.4 lbs (59.6 kgs),"15.4 lbs (7.0 kgs, +13%)"
674097-ufc-fight-night-david-silent-assassin-onama-vs-nate-the-train-landwehr,26263-nate-landwehr,145.5 lbs (66.0 kgs),161.4 lbs (73.2 kgs),"15.9 lbs (7.2 kgs, +11%)"
674097-ufc-fight-night-david-silent-assassin-onama-vs-nate-the-train-landwehr,104455-david-onama,145.0 lbs (65.8 kgs),160.2 lbs (72.7 kgs),"15.2 lbs (6.9 kgs, +10%)"
662952-ufc-fight-night-marlon-chito-vera-vs-dominick-the-dominator-cruz,48144-marlon-vera-chito,135.5 lbs (61.5 kgs),151.8 lbs (68.9 kgs),"16.3 lbs (7.4 kgs, +12%)"
662952-ufc-fight-night-marlon-chito-vera-vs-dominick-the-dominator-cruz,dominick-cruz-the-dominator,135.0 lbs (61.2 kgs),154.0 lbs (69.9 kgs),"19.0 lbs (8.6 kgs, +14%)"
823920-ufc-298-andrea-kgb-lee-vs-miranda-fear-the-maverick,116637-miranda-maverick,126.0 lbs (57.2 kgs),135.8 lbs (61.6 kgs),"9.8 lbs (4.4 kgs, +8%)"
823920-ufc-298-andrea-kgb-lee-vs-miranda-fear-the-maverick,47916-andrea-lee,125.5 lbs (56.9 kgs),136.2 lbs (61.8 kgs),"10.7 lbs (4.9 kgs, +9%)"
829430-ufc-298-val-the-animal-woodburn-vs-oban-the-welsh-gangster-elliott,150814-oban-elliot,170.5 lbs (77.3 kgs),185.2 lbs (84.0 kgs),"14.7 lbs (6.7 kgs, +9%)"
829430-ufc-298-val-the-animal-woodburn-vs-oban-the-welsh-gangster-elliott,166396-valentine-woodburn,169.5 lbs (76.9 kgs),184.0 lbs (83.5 kgs),"14.5 lbs (6.6 kgs, +9%)"
833989-ufc-298-josh-bushido-quinlan-vs-danny-lefthand2god-barlow,222456-danny-barlow,171.0 lbs (77.6 kgs),197.8 lbs (89.7 kgs),"26.8 lbs (12.2 kgs, +16%)"
833989-ufc-298-josh-bushido-quinlan-vs-danny-lefthand2god-barlow,114123-josh-quinlan,169.0 lbs (76.7 kgs),187.8 lbs (85.2 kgs),"18.8 lbs (8.5 kgs, +11%)"
820024-ufc-298-mountain-tiger-mingyang-zhang-vs-brendson-the-gorilla-ribeiro,102827-mingyang-zhang,204.5 lbs (92.8 kgs),230.2 lbs (104.4 kgs),"25.7 lbs (11.7 kgs, +13%)"
820024-ufc-298-mountain-tiger-mingyang-zhang-vs-brendson-the-gorilla-ribeiro,119779-brendson-ribeiro-zyzz,205.5 lbs (93.2 kgs),219.6 lbs (99.6 kgs),"14.1 lbs (6.4 kgs, +7%)"
837825-ufc-298-rinya-hybrid-nakamura-vs-carlos-pequeno-vera,296781-tomoya-nakamura,135.5 lbs (61.5 kgs),147.2 lbs (66.8 kgs),"11.7 lbs (5.3 kgs, +9%)"
837825-ufc-298-rinya-hybrid-nakamura-vs-carlos-pequeno-vera,43109-carlos-vera,135.5 lbs (61.5 kgs),158.6 lbs (71.9 kgs),"23.1 lbs (10.5 kgs, +17%)"
845232-ufc-298-marcos-pezao-rogerio-de-lima-vs-junior-the-juggernaut-tafa,marcos-rogerio-de-lima-pezao,261.5 lbs (118.6 kgs),273.4 lbs (124.0 kgs),"11.9 lbs (5.4 kgs, +5%)"
845232-ufc-298-marcos-pezao-rogerio-de-lima-vs-junior-the-juggernaut-tafa,242095-junior-tafa,249.0 lbs (112.9 kgs),247.0 lbs (112.0 kgs),"-2.0 lbs (-0.9 kgs, -1%)"
836822-ufc-298-amanda-amandinha-lemos-vs-mackenzie-dern,87845-amanda-lemos-amandinha,115.5 lbs (52.4 kgs),123.8 lbs (56.2 kgs),"8.3 lbs (3.8 kgs, +7%)"
836822-ufc-298-amanda-amandinha-lemos-vs-mackenzie-dern,134267,116.0 lbs (52.6 kgs),127.0 lbs (57.6 kgs),"11.0 lbs (5.0 kgs, +9%)"
837922-ufc-298-anthony-fluffy-hernandez-vs-roman-kopylov,41538-anthony-hernandez,185.5 lbs (84.1 kgs),203.6 lbs (92.4 kgs),"18.1 lbs (8.2 kgs, +10%)"
837922-ufc-298-anthony-fluffy-hernandez-vs-roman-kopylov,138424-roman-kopylov,185.0 lbs (83.9 kgs),194.0 lbs (88.0 kgs),"9.0 lbs (4.1 kgs, +5%)"
826585-ufc-298-merab-the-machine-dvalishvili-vs-henry-triple-c-cejudo,47934-merab-dvalishvili,135.0 lbs (61.2 kgs),156.8 lbs (71.1 kgs),"21.8 lbs (9.9 kgs, +16%)"
826585-ufc-298-merab-the-machine-dvalishvili-vs-henry-triple-c-cejudo,42359-henry-cejudo,135.0 lbs (61.2 kgs),150.6 lbs (68.3 kgs),"15.6 lbs (7.1 kgs, +12%)"
830405-ufc-298-geoff-handz-of-steel-neal-vs-the-future-ian-machado-garry,171377-ian-garry,170.5 lbs (77.3 kgs),180.6 lbs (81.9 kgs),"10.1 lbs (4.6 kgs, +6%)"
830405-ufc-298-geoff-handz-of-steel-neal-vs-the-future-ian-machado-garry,20058-geoffrey-neal,170.5 lbs (77.3 kgs),200.8 lbs (91.1 kgs),"30.3 lbs (13.7 kgs, +18%)"
830403-ufc-298-robert-the-reaper-whittaker-vs-paulo-the-eraser-costa,17398-robert-whittaker,185.5 lbs (84.1 kgs),207.6 lbs (94.2 kgs),"22.1 lbs (10.0 kgs, +12%)"
830403-ufc-298-robert-the-reaper-whittaker-vs-paulo-the-eraser-costa,64306-paulo-henrique-costa-borrachinha,185.5 lbs (84.1 kgs),215.2 lbs (97.6 kgs),"29.7 lbs (13.5 kgs, +16%)"
815110-ufc-298-alexander-the-great-volkanovski-vs-ilia-el-matador-topuria,129278-ilia-topuria,144.5 lbs (65.5 kgs),167.2 lbs (75.8 kgs),"22.7 lbs (10.3 kgs, +16%)"
815110-ufc-298-alexander-the-great-volkanovski-vs-ilia-el-matador-topuria,41705-alex-volkanski,144.5 lbs (65.5 kgs),166.2 lbs (75.4 kgs),"21.7 lbs (9.8 kgs, +15%)"
