bout_id,fighter_id,weigh_in_result,fight_night_weight,weight_gain
367232-ufc-227-polyana-poly-viana-vs-jj-aldrich,28420-jj-aldrich,115.8 lbs (52.5 kgs),130.5 lbs (59.2 kgs),"14.8 lbs (6.7 kgs, +13%)"
367232-ufc-227-polyana-poly-viana-vs-jj-aldrich,85751-polyana-mota-poly,115.0 lbs (52.2 kgs),129.5 lbs (58.7 kgs),"14.5 lbs (6.6 kgs, +13%)"
367230-ufc-227-cub-swanson-vs-renato-moicano-carneiro,16950-renato-carneiro-moicano,146.0 lbs (66.2 kgs),165.5 lbs (75.1 kgs),"19.5 lbs (8.8 kgs, +13%)"
367230-ufc-227-cub-swanson-vs-renato-moicano-carneiro,cub-swanson,145.3 lbs (65.9 kgs),160.5 lbs (72.8 kgs),"15.3 lbs (6.9 kgs, +10%)"
371994-ufc-227-demetrious-mighty-mouse-johnson-vs-henry-the-messenger-cejudo-ii,42359-henry-cejudo,124.5 lbs (56.5 kgs),141.0 lbs (64.0 kgs),"16.5 lbs (7.5 kgs, +13%)"
371994-ufc-227-demetrious-mighty-mouse-johnson-vs-henry-the-messenger-cejudo-ii,demetrious-johnson-mighty-mouse,125.0 lbs (56.7 kgs),142.0 lbs (64.4 kgs),"17.0 lbs (7.7 kgs, +14%)"
361494-ufc-227-t-j-dillashaw-vs-cody-no-love-garbrandt,19126-tj-dillashaw,135.0 lbs (61.2 kgs),149.5 lbs (67.8 kgs),"14.5 lbs (6.6 kgs, +11%)"
361494-ufc-227-t-j-dillashaw-vs-cody-no-love-garbrandt,21780-cody-garbrandt-no-love,134.8 lbs (61.1 kgs),142.0 lbs (64.4 kgs),"7.3 lbs (3.3 kgs, +5%)"
396153-ufc-232-brian-boom-kelleher-vs-montel-quick-jackson,89335-montel-jackson,137.0 lbs (62.1 kgs),155.0 lbs (70.3 kgs),"18.0 lbs (8.2 kgs, +13%)"
396153-ufc-232-brian-boom-kelleher-vs-montel-quick-jackson,13751-Brian-Kelleher,135.0 lbs (61.2 kgs),148.0 lbs (67.1 kgs),"13.0 lbs (5.9 kgs, +10%)"
393074-ufc-232-curtis-curtious-millender-vs-siyar-the-great-bahadurzada,52092-curtis-millender,170.0 lbs (77.1 kgs),183.5 lbs (83.2 kgs),"13.5 lbs (6.1 kgs, +8%)"
393074-ufc-232-curtis-curtious-millender-vs-siyar-the-great-bahadurzada,siyar-bahadurzada-the-great,171.0 lbs (77.6 kgs),184.5 lbs (83.7 kgs),"13.5 lbs (6.1 kgs, +8%)"
383944-ufc-232-uriah-prime-time-hall-vs-bevon-lewis,uriah-hall,185.5 lbs (84.1 kgs),203.5 lbs (92.3 kgs),"18.0 lbs (8.2 kgs, +10%)"
383944-ufc-232-uriah-prime-time-hall-vs-bevon-lewis,49806-bevon-lewis,186.0 lbs (84.4 kgs),194.5 lbs (88.2 kgs),"8.5 lbs (3.9 kgs, +5%)"
399054-ufc-232-nathaniel-the-prospect-wood-vs-andre-ewell,27454-nathaniel-wood,135.5 lbs (61.5 kgs),147.0 lbs (66.7 kgs),"11.5 lbs (5.2 kgs, +8%)"
399054-ufc-232-nathaniel-the-prospect-wood-vs-andre-ewell,116569-andre-ewell,135.5 lbs (61.5 kgs),145.0 lbs (65.8 kgs),"9.5 lbs (4.3 kgs, +7%)"
385324-ufc-232-the-prodigy-bj-penn-vs-ryan-the-wizard-hall,37328-ryan-hall,154.0 lbs (69.9 kgs),156.0 lbs (70.8 kgs),"2.0 lbs (0.9 kgs, +1%)"
385324-ufc-232-the-prodigy-bj-penn-vs-ryan-the-wizard-hall,bj-penn-the-prodigy,156.0 lbs (70.8 kgs),163.5 lbs (74.2 kgs),"7.5 lbs (3.4 kgs, +5%)"
393384-ufc-232-petr-no-mercy-yan-vs-douglas-d-silva-andrade,90075-petr-yan,135.5 lbs (61.5 kgs),149.5 lbs (67.8 kgs),"14.0 lbs (6.4 kgs, +10%)"
393384-ufc-232-petr-no-mercy-yan-vs-douglas-d-silva-andrade,38718-douglas-dsilva,134.5 lbs (61.0 kgs),154.5 lbs (70.1 kgs),"20.0 lbs (9.1 kgs, +15%)"
390352-ufc-232-megan-anderson-vs-alpha-cat-zingano,58669-megan-anderson,146.0 lbs (66.2 kgs),157.0 lbs (71.2 kgs),"11.0 lbs (5.0 kgs, +8%)"
390352-ufc-232-megan-anderson-vs-alpha-cat-zingano,cat-zingano-alpha,144.0 lbs (65.3 kgs),156.0 lbs (70.8 kgs),"12.0 lbs (5.4 kgs, +8%)"
392818-ufc-232-andrei-the-pitbull-arlovski-vs-walt-the-big-ticket-harris,andrei-arlovski-the-pitbull,245.5 lbs (111.4 kgs),248.0 lbs (112.5 kgs),"2.5 lbs (1.1 kgs, +1%)"
392818-ufc-232-andrei-the-pitbull-arlovski-vs-walt-the-big-ticket-harris,17046-walter-harris,258.5 lbs (117.3 kgs),260.0 lbs (117.9 kgs),"1.5 lbs (0.7 kgs, +1%)"
394481-ufc-232-chad-money-mendes-vs-alexander-the-great-volkanovski,41705-alex-volkanski,145.0 lbs (65.8 kgs),166.5 lbs (75.5 kgs),"21.5 lbs (9.8 kgs, +15%)"
394481-ufc-232-chad-money-mendes-vs-alexander-the-great-volkanovski,chad-mendes-money,146.0 lbs (66.2 kgs),160.5 lbs (72.8 kgs),"14.5 lbs (6.6 kgs, +10%)"
383220-ufc-232-ilir-the-sledgehammer-latifi-vs-corey-overtime-anderson,29807-corey-anderson,204.5 lbs (92.8 kgs),225.0 lbs (102.1 kgs),"20.5 lbs (9.3 kgs, +10%)"
