id,ufcstats_id,sherdog_id,bestfightodds_id,ufc_id,wikipedia_url,name,event_order
71817-ufc-fight-night,ad044be25c94dcfd,87364,ufc-on-espn-39-hall-vs-silva-1973,ufc-fight-night-october-31-2020,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Hall vs. Silva,539
71816-ufc-fight-night,41dca66f9dadfc86,87362,ufc-on-espn-40-1974,ufc-fight-night-november-07-2020,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Teixeira,UFC Fight Night: Santos vs. Teixeira,540
71846-ufc-fight-night,3bc27ec15facbcf3,87393,ufc-fight-night-182-makhachev-vs-dos-anjos-1981,ufc-fight-night-november-14-2020,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Felder vs. Dos Anjos,541
71715-ufc-255,bbb15f301e4a490a,87312,ufc-255-figueiredo-vs-perez-1967,ufc-255,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 255: Figueiredo vs. Perez,542
71907-ufc-fight-night-blaydes-vs-lewis,992c82450d96f726,87392,ufc-on-espn-18-blaydes-vs-lewis-1979,ufc-fight-night-november-28-2020,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Lewis,UFC Fight Night: Smith vs. Clark,543
71961-ufc-fight-night,398b440e73d55b8b,87402,ufc-on-espn-19-hermansson-vs-vettori-1982,ufc-fight-night-december-05-2020,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Hermansson vs. Vettori,544
71960-ufc-256,d0d43cb9b14f231c,87401,ufc-256-figueiredo-vs-moreno-1983,ufc-256,https://en.wikipedia.org/wiki/UFC_256,UFC 256: Figueiredo vs. Moreno,545
72974-ufc-fight-night,e49c2db95e572dc8,87646,ufc-fight-night-183-thompson-vs-neal-2000,ufc-fight-night-december-19-2020,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thompson_vs._Neal,UFC Fight Night: Thompson vs. Neal,546
73220-ufc-fight-night,307064d3e0f036c2,87759,ufc-on-abc-1-holloway-vs-kattar-2009,ufc-fight-night-january-16-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holloway_vs._Kattar,UFC on ABC 1: Holloway vs. Kattar,547
74598-ufc-fight-night,56116537d71a578c,88171,ufc-on-espn-20-chiesa-vs-magny-2044,ufc-fight-night-january-20-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Chiesa vs. Magny,548
