id,name,nickname
289,Hector Lombard,Showeather
290,Karo Parisyan,The Heat
293,Anthony Lapsley,The Recipe
295,David Roberts,
299,Justin Eilers,
307,C.B. Dollaway,The Doberman
309,Ryo Chonan,Piranha
310,Denis Kang,Super Korean
311,Yoshihiro Akiyama,Sexyama
323,John Gunderson,Quick Guns
325,Bart Palaszewski,Bartimus
328,Jay Hieron,The Thoroughbred
329,Delson Heleno,Pé de Chumbo
331,Benji Radach,Razor
333,Brian Foster,
334,Matt Horwich,Suave
336,Vladimir Matyushenko,The Janitor
338,Roy Nelson,Big Country
341,KJ Noons,King Karl
343,Mike Pyle,Quicksand
344,Kyle Noke,KO
347,Brock Lesnar,
348,Fabrício Werdum,Vai Cavalo
349,Antônio Silva,BigFoot
350,Jonathan Wiezorek,Lock and Load
352,Paul Buentello,The Headhunter
353,Cung Le,
354,Sam Morgan,The Squeeze
358,Sean Salmon,
362,Nam Phan,
363,Rameau Thierry Sokoudjou,The African Assassin
366,Jared Rollins,J-Roc
368,Richie Hightower,The Dirty Samurai
369,Troy Mandaloniz,Rude Boy
370,Dorian Price,
371,Roman Mitichyan,The Emperor
372,Paul Georgieff,
373,Jason Miller,Mayhem
374,Tim Kennedy,
375,Edwin Dewees,Bam Bam
376,Frank Trigg,Twinkle Toes
379,Krzysztof Soszynski,The Polish Experiment
386,Urijah Faber,The California Kid
387,Cub Swanson,Killer
393,Hayato Sakurai,Mach
395,Per Eklund,
396,James Lee,
397,Paul Kelly,Tellys
398,Melvin Guillard,The Young Assassin
399,Soa Palelei,The Hulk
400,James Irvin,The Sandman
401,Luiz Cané,Banha
402,Dean Lister,The Boogeyman
403,Tony DeSouza,The Peruvian Savage
404,Mac Danzig,
405,Thomas Speer,The Farmboy
406,Billy Miles,
407,George Sotiropoulos,
408,Ben Saunders,Killa B
409,Daniel Barrera,
410,John Kolosci,
411,Matt Arroyo,No Regard
413,Alex Karalexis,T-Rex
415,Charlie Valencia,
416,Brian Bowles,
418,Nissen Osterneck,
421,Tatsuya Kawajiri,Crusher
423,Corey Hill,The Real Deal
424,Justin Buchholz,
425,Jorge Rivera,El Conquistador
428,Rory Markham,
444,Murilo Bustamante,Bust A Move
446,Mike Russow,
447,Vernon White,Tiger
448,Ricco Rodriguez,Suave
449,Mike Kyle,MAK
450,Mark Kerr,The Smashing Machine
453,Wesley Correira,Cabbage
457,David Loiseau,The Crow
464,Cain Velasquez,
466,Keita Nakamura,K-Taro
469,Scott Jorgensen,Young Guns
474,Kyle Bradley,
475,Tim Boetsch,The Barbarian
477,Paul Daley,Semtex
480,Julie Kedzie,Fireball
483,Evan Tanner,
484,Rob Yundt,
485,Chris Wilson,The Professor
486,David Bielkheden,The Brazilian Swede
487,Andrei Arlovski,The Pitbull
488,Jake O'Brien,Irish
489,John Halverson,The Hurricane
490,Charles McCarthy,Chainsaw
494,Josh Neer,The Dentist
495,Samy Schiavo,The Dog
497,Josh Grispi,The Fluke
498,Mark Hominick,The Machine
499,Dave Herman,Pee-Wee
508,Damacio Page,The Angel of Death
509,Duane Ludwig,Bang
510,Takanori Gomi,The Fireball Kid
512,Josh Barnett,The Warmaster
515,Maurice Smith,Mo
518,Brad Blackburn,Bad
525,Jake Ellenberger,The Juggernaut
526,Pat Healy,Bam Bam
529,Josh Haynes,Bring The Pain
530,Alexandre Ferreira,Cacareco
533,Ian Loveland,The Barn Owl
538,Siyar Bahadurzada,The Great
542,Antônio Braga Neto,
545,Nick Thompson,The Goat
546,Jason Day,Dooms
547,Don Frye,The Predator
549,Gary Goodridge,Big Daddy
552,Ken Shamrock,The World's Most Dangerous Man
554,Jean Silva,Lord
556,Neil Grove,Goliath
557,Rob Broughton,The Bear
559,Tom Watson,Kong
562,Tim McKenzie,Wrecking Machine
570,Brad Morris,
578,Martin Kampmann,Hitman
583,Russell Doane,
584,Tyson Nam,
601,Mark Coleman,The Hammer
606,Carmelo Marrero,The Fury
607,Mike Ciesnolevicz,"""Mike C"""
609,Goran Reljić,Ghost
610,Antonio Mendes,Samuray
611,Yoshiyuki Yoshida,Zenko
612,Dong Hyun Kim,Stun Gun
617,Cris Cyborg,
620,Shane Del Rosario,
621,Chris Cariaso,Kamikaze
623,Ryan Roberts,Are You Ready?
628,Darren Uyenoyama,BC
629,Dan Hardy,The Outlaw
630,Andre Winner,
633,Jim Wallhead,Judo
637,Ivan Salaverry,
638,Rousimar Palhares,Toquinho
639,Shane Carwin,The Engineer
643,Gegard Mousasi,The Dreamcatcher
646,Neil Wain,Old Skool
648,Kevin Randleman,The Monster
651,Yuki Sasaki,
654,Eiji Mitsuoka,Kanaami no Mōshigo
656,Mike Brown,
659,José Aldo,Junior
660,Dominick Cruz,The Dominator
663,Mark Muñoz,The Filipino Wrecking Machine
666,Matt Lindland,The Law
675,Tony Fryklund,The Freak
677,Brad Imes,The Hillbilly Heartthrob
679,Aaron Rosa,
682,Mike Stumpf,
683,Joe Jordan,Porkchop
688,Mike Whitehead,Iron
689,Dan Miller,
692,John Howard,Doomsday
696,Danillo Villefort,Indio
697,Mike Massenzio,The Master of Disaster
700,Roger Gracie,
701,Travis Wiuff,Diesel
704,Evan Dunham,
705,Milton Vieira,Miltinho
707,Sérgio Moraes,The Panther
710,Wilson Reis,
717,Calvin Kattar,The Boston Finisher
720,Zach Makovsky,Fun Size
725,Ronaldo Souza,Jacaré
727,Danny Castillo,Last Call
732,Kevin Burns,The Fire
739,Kazuo Takahashi,Yoshiki
741,Sanae Kikuta,
742,Rodrigo Damm,
743,Ben Rothwell,Big
754,Antônio Rogério Nogueira,Minotouro
755,Vitor Belfort,The Phenom
762,Hector Urbina,El Toro
766,Dan Evensen,The Viking
771,Reese Andy,Riptide
772,Amir Sadollah,
773,Dante Rivera,
774,Matt Riddle,Deep Waters
775,Matt Brown,The Immortal
776,Cale Yarbrough,Aquaman
777,Tim Credeur,Crazy
778,Rob Kimmons,The Rosedale Reaper
779,Shonie Carter,Mr. International
783,Miesha Tate,Cupcake
784,Brodie Farber,
785,James Giboo,
786,Dale Hartt,
787,Shannon Gugerty,
788,Andre Gusmao,
792,Jesse Taylor,JT Money
793,Johnny Rees,The Hater Hurter
794,Nate Loughran,
796,James McSweeney,The Hammer
797,Mostapha Al Turk,
801,Razak Al-Hassan,Razor
803,Shayna Baszler,The Queen of Spades
810,Mark Hunt,Super Samoan
811,Jake Rosholt,
812,Steve Steinbeiss,The Hooligan
813,Johny Hendricks,Big Rig
816,Rafael Cavalcante,Feijão
819,Jon Jones,Bones
820,Ryan Thomas,The Tank Engine
821,Shane Roller,
825,Dong Yi Yang,The Ox
828,Mizuto Hirota,Pugnus
830,Mike Patt,
831,Dan Lauzon,The Upgrade
834,Jason High,The Kansas City Bandit
835,Chase Gormley,
844,Falaniko Vitale,Niko
849,David Baron,
851,Junior dos Santos,Cigano
855,Adriano Martins,
856,Joe Vedepo,The Doctor
857,Jason Brilz,The Hitman
859,Mike Pierce,
883,Seth Petruzelli,The Silverback
893,Nick Catone,The Jersey Devil
894,Josh Hendricks,Heavy
895,Rafael dos Anjos,
904,Brandon Wolff,
905,Aaron Riley,
909,Ryan Jimmo,The Big Deal
910,Victor Valimaki,The Matrix
912,Tim Hague,The Thrashing Machine
914,Jonathan Brookins,
915,Aaron Simpson,A-Train
928,Luke Rockhold,
930,Pat Barry,HD
931,Pat Miletich,The Croation Sensation
934,Diego Nunes,The Gun
936,Roger Hollett,The Hulk
938,Joseph Benavidez,
939,Danny Martinez,The Gremlin
948,Derrick Noble,The Eraser
962,Ryan McGillivray,The Kid
965,Ivan Serati,Il Terrible
966,John Hathaway,The Hitman
967,Tom Egan,The Tank
973,Ramiro Hernandez,Junior
974,Jesse Lennox,The Ox
977,Gilbert Yvel,The Hurricane
984,Efrain Escudero,Hecho en Mexico
985,Phillipe Nover,The Filipino Assassin
986,Vinny Magalhães,Pezão
987,Ryan Bader,Darth
988,Dave Kaplan,Diamond
989,Junie Browning,The Lunatik
990,Shane Primm,Low Down Dirty
991,Eliot Marshall,The Fire
992,Jules Bruchez,Cotton Mouth From The South
993,Kyle Kingsbury,Kingsbu
994,Tom Lawlor,Filthy
995,George Roop,
996,Shane Nelson,Sugar
997,John Polakowski,Buckets of Blood
998,Roli Delgado,The Crazy Cuban
999,Dan Cramer,Cosmo
1001,Semmy Schilt,Hightower
1002,Alexandre Barros,Baixinho
1004,Mike Wessel,The Juggernaut
1005,Denis Stojnić,The Menace
1007,Maximo Blanco,Maxi
1011,Edgar Garcia,
1014,Fredson Paixão,
1021,Stefan Struve,The Skyscraper
1023,Paulo Thiago,Caveira
1029,Brian Cobb,The Bandit
1030,Cyrille Diabate,The Snake
1032,Xavier Foupa-Pokam,Professor X
1034,Lavar Johnson,Big
1042,Michael McDonald,Mayday
1045,Phil Davis,Mr. Wonderful
1049,Chad Mendes,Money
1054,Ben Nguyen,10
1058,Benson Henderson,Smooth
1060,Bobby Green,King
1061,Ryan Madigan,The Lion
1062,Derek Downey,The Gentleman
1063,TJ Grant,
1066,Ulysses Gomez,Useless
1068,Matt Veach,
1072,Jesse Sanders,Iron Jaw
1075,Zak Cummings,
1078,Marcus Jones,Big Baby
1087,Vagner Rocha,Ceará
1098,Buddy Roberts,
1109,Gabe Ruediger,Godzilla
1115,Antonio McKee,Mandingo
1129,Takeya Mizugaki,
1130,Ricardo Lamas,The Bully
1131,Todd Duffee,
1136,Henry Martinez,Sicario
1139,Joe Soto,One Bad Mofo
1140,Estevan Payan,El Terrible
1146,Nick Denis,The Ninja of Love
1147,Hatsu Hioki,
1150,Chan Sung Jung,The Korean Zombie
1153,Masanori Kanehara,
1161,Lyman Good,Cyborg
1164,Dave Menne,The Warrior
1168,Jessica Aguilar,Jag
1169,Rosi Sexton,The Surgeon
1170,Raphael Assunção,
1171,Anthony Pettis,Showtime
1173,Eddie Wineland,
1175,Peter Sobotta,
1191,Kris McCray,Savage
1194,Rick Story,The Horror
1200,Daniel Sarafian,
1213,Leonardo Santos,
1214,Keiichiro Yamamiya,Fierce Dog
1222,Stanislav Nedkov,Staki
1228,Sarah Kaufman,
1231,Joey Beltran,Mexicutioner
1232,Sherman Pendergarst,The Tank
1238,Cole Escovedo,The Apache Kid
1240,Daniel Pineda,The Pit
1246,Jacob Volkmann,Christmas
1248,Leslie Smith,The Peacemaker
1249,Jared Hamman,The Messenger
1250,Waylon Lowe,
1252,Justin Edwards,Fast Eddie
1253,Jessica Penne,
1257,Chuck O'Neil,Cold Steel
1271,Javier Vazquez,Showtime
1284,Jorge Patino,Macaco
1287,David Branch,
1288,Kyle Watson,
1295,Chris Tuchscherer,The Crowbar
1299,Tyron Woodley,The Chosen One
1305,Fabrício Camões,Morango
1318,James Krause,The
1323,Jay Silva,The Spider Killer
1334,Francisco Rivera Jr.,Cisco
1353,Josh Stansbury,The Sandman
1357,Katsunori Kikuno,
1360,Nick Ring,The Promise
1364,Shawn Jordan,The Savage
1378,Nick Pace,
1379,Jimmie Rivera,El Terror
1382,Uriah Hall,Prime Time
1383,Brad Pickett,One Punch
1392,John Salter,
1410,Tateki Matsuda,Tech
1420,Ross Pearson,The Real Deal
1421,DaMarques Johnson,Darkness
1422,James Wilks,Lightning
1435,Humberto Brown Morrison,El Gato Negro
1438,Frank Lester,The Tank
1439,Cameron Dollar,Money Man
1440,Jason Dent,Dynamite
1442,Nick Osipczak,Slick
1456,Rafaello Oliveira,Tractor
1457,Lucio Linhares,Spartan
1459,Ronys Torres,
1464,Erik Koch,The Phoenix
1465,Yves Jabouin,Tiger
1466,Tarec Saffiedine,Sponge
1475,Jason Von Flue,Livewire
1477,Glover Teixeira,
1479,Fábio Maldonado,Caipira de Aço
1480,Vitor Miranda,Lex Luthor
1485,Leandro Silva,Apollo
1496,Blagoy Ivanov,Baga
1497,Kevin Jordan,The Shaman
1498,Patrick Smith,
1500,Pat Audinwood,Awesomely Awesome
1504,Igor Pokrajac,The Duke
1523,Takenori Sato,
1533,Steve Lopez,
1542,Nik Lentz,The Carny
1547,Zach Light,The Lisbon Outlaw
1550,War Machine,
1558,Julio Paulino,Dominican Demon
1559,Alexander Gustafsson,The Mauler
1560,Gerald Harris,Hurricane
1571,Bobby Voelker,Vicious
1576,Drew Dober,
1583,Daniel Cormier,DC
1588,Paul Bradley,The Gentleman
1598,David Mitchell,Bulletproof
1603,Will Campuzano,
1613,Mackens Semerzier,Da Menace
1620,Shamar Bailey,The Watchman
1621,Ricardo Funch,Golden Boy
1623,Mike Guymon,The Joker
1624,Rory MacDonald,Red King
1625,Rodney Wallace,Sho Nuff the Master
1633,Rolles Gracie,
1634,Kamal Shalorus,Prince of Persia
1635,Phil Harris,Billy
1638,Travis Fulton,The Ironman
1646,Roxanne Modafferi,The Happy Warrior
1647,Dustin Neace,The Beast
1649,Tyler Toner,Thunder
1650,Joe Brammer,The Hammer
1657,James Te Huna,
1658,Renzo Gracie,
1665,Michael Chandler,Iron
1671,Francimar Barroso,Bodão
1672,Chris Haseman,The Hammer
1673,Elvis Sinosic,The King of Rock n Rumble
1674,Brendan Schaub,Big Brown
1675,Matt Mitrione,
1676,Jon Madsen,
1677,Justin Wren,The Big Pygmy
1678,Darrill Schoonover,The Boss
