event_id,name
502,UFC 146: dos Santos vs. Mir
506,UFC 148: Silva vs. Sonnen II
517,UFC 147: Silva vs. Franklin II
521,UFC on FX: Maynard vs. Guida
522,UFC on FX: Johnson vs. McCall
524,The Ultimate Fighter: Live Finale
527,UFC 149: Faber vs. Barão
545,UFC on Fuel TV: Muñoz vs. Weidman
546,UFC on Fox: Shogun vs. Vera
547,UFC 150: Henderson vs. Edgar II
561,UFC 152: Jones vs. Belfort
565,UFC 154: St-Pierre vs. Condit
569,UFC on Fuel TV: Struve vs. Miocic
571,UFC 153: Silva vs. Bonnar
579,UFC on FX: Browne vs. Bigfoot
582,UFC on Fuel TV: Franklin vs. Le
584,UFC on Fox: Henderson vs. Diaz
585,UFC 155: dos Santos vs. Velasquez 2
594,UFC on FX: Sotiropoulos vs. Pearson
602,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
611,UFC 156: Aldo vs. Edgar
612,UFC on FX: Belfort vs. Bisping
613,UFC on Fox: Johnson vs. Dodson
618,UFC 157: Rousey vs. Carmouche
625,UFC on Fuel TV: Silva vs. Stann
627,UFC 158: St-Pierre vs. Diaz
632,UFC on Fuel TV: Barão vs. McDonald
633,UFC 159: Jones vs. Sonnen
634,UFC on Fox: Henderson vs. Melendez
636,UFC on Fuel TV: Mousasi vs. Latifi
647,UFC 160: Velasquez vs. Bigfoot 2
648,UFC on FX: Belfort vs. Rockhold
656,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale
660,UFC 161: Evans vs. Henderson
661,UFC 162: Silva vs. Weidman
668,UFC on Fuel TV: Nogueira vs. Werdum
674,UFC on Fox: Johnson vs. Moraga
683,UFC 163: Aldo vs. Korean Zombie
685,UFC Fight Night: Shogun vs. Sonnen
691,UFC 164: Henderson vs. Pettis
692,UFC Fight Night: Condit vs. Kampmann 2
697,UFC 165: Jones vs. Gustafsson
698,UFC 166: Velasquez vs. dos Santos III
699,UFC 167: St-Pierre vs. Hendricks
705,UFC Fight Night: Teixeira vs. Bader
706,UFC 168: Weidman vs. Silva 2
712,UFC Fight Night: Machida vs. Muñoz
713,UFC Fight Night: Maia vs. Shields
720,The Ultimate Fighter: Team Rousey vs. Team Tate Finale
725,UFC Fight Night: Belfort vs. Henderson
726,UFC: Fight for the Troops 3
728,UFC Fight Night: Hunt vs. Bigfoot
729,UFC on Fox: Johnson vs. Benavidez 2
737,UFC 169: Barão vs. Faber II
751,UFC Fight Night: Gustafsson vs. Manuwa
756,UFC 170: Rousey vs. McMann
758,UFC Fight Night: Machida vs. Mousasi
761,UFC Fight Night: Saffiedine vs. Lim
762,UFC Fight Night: Rockhold vs. Philippou
771,UFC 171: Hendricks vs. Lawler
772,UFC 172: Jones vs. Teixeira
777,UFC on Fox: Henderson vs. Thomson
778,The Ultimate Fighter China Finale: Kim vs. Hathaway
779,UFC on Fox: Werdum vs. Browne
784,UFC Fight Night: Shogun vs. Henderson 2
786,UFC 173: Barão vs. Dillashaw
790,UFC Fight Night: Nogueira vs. Nelson
794,UFC Fight Night: Brown vs. Silva
799,UFC Fight Night: Muñoz vs. Mousasi
800,UFC Fight Night: Swanson vs. Stephens
805,UFC 175: Weidman vs. Machida
806,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
807,UFC 174: Johnson vs. Bagautinov
812,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
822,UFC Fight Night: Henderson vs. Khabilov
823,UFC Fight Night: Te Huna vs. Marquardt
824,UFC 180: Werdum vs. Hunt
826,UFC Fight Night: Cowboy vs. Miller
827,UFC Fight Night: McGregor vs. Brandao
829,UFC on Fox: Lawler vs. Brown
832,The Ultimate Fighter: Team Edgar vs. Team Penn Finale
835,UFC Fight Night: Bisping vs. Le
836,UFC 178: Johnson vs. Cariaso
845,UFC Fight Night: Bader vs. Saint Preux
846,UFC Fight Night: Henderson vs. dos Anjos
847,UFC Fight Night: Hunt vs. Nelson
849,UFC 177: Dillashaw vs. Soto
850,UFC Fight Night: Bigfoot vs. Arlovski
851,UFC Fight Night: Jacaré vs. Mousasi
853,UFC 181: Hendricks vs. Lawler II
855,UFC 179: Aldo vs. Mendes 2
856,UFC 183: Silva vs. Diaz
860,UFC Fight Night: Nelson vs. Story
861,UFC Fight Night: MacDonald vs. Saffiedine
864,UFC 182: Jones vs. Cormier
879,UFC on Fox: dos Santos vs. Miocic
880,UFC Fight Night: Machida vs. Dollaway
892,UFC Fight Night: Edgar vs. Swanson
893,UFC Fight Night: Shogun vs. Saint Preux
894,UFC Fight Night: Rockhold vs. Bisping
895,UFC Fight Night: McGregor vs. Siver
896,UFC 184: Rousey vs. Zingano
906,UFC on Fox: Gustafsson vs. Johnson
912,The Ultimate Fighter: A Champion Will Be Crowned Finale
915,UFC Fight Night: Henderson vs. Thatch
923,UFC Fight Night: Bigfoot vs. Mir
925,UFC 185: Pettis vs. dos Anjos
927,UFC on Fox: Machida vs. Rockhold
929,UFC 186: Johnson vs. Horiguchi
930,UFC 188: Velasquez vs. Werdum
932,UFC Fight Night: Mendes vs. Lamas
934,UFC Fight Night: Maia vs. LaFlare
936,UFC Fight Night: Gonzaga vs. Cro Cop 2
942,UFC 189: Mendes vs. McGregor
945,UFC 187: Johnson vs. Cormier
946,UFC Fight Night: Edgar vs. Faber
947,UFC Fight Night: Boetsch vs. Henderson
950,UFC Fight Night: Miocic vs. Hunt
957,UFC Fight Night: Condit vs. Alves
960,UFC 190: Rousey vs. Correia
964,UFC Fight Night: Jędrzejczyk vs. Penne
965,UFC Fight Night: Mir vs. Duffee
967,UFC on Fox: Dillashaw vs. Barão 2
971,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
973,UFC Fight Night: Machida vs. Romero
975,UFC Fight Night: Bisping vs. Leites
976,UFC Fight Night: Holohan vs. Smolka
979,UFC Fight Night: Teixeira vs. Saint Preux
984,UFC Fight Night: Holloway vs. Oliveira
990,UFC 192: Cormier vs. Gustafsson
992,UFC 191: Johnson vs. Dodson 2
997,UFC Fight Night: Belfort vs. Henderson 3
999,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum
1002,UFC 193: Rousey vs. Holm
1003,UFC Fight Night: Barnett vs. Nelson
1005,UFC 194: Aldo vs. McGregor
1008,UFC on Fox: dos Anjos vs. Cowboy 2
1011,The Ultimate Fighter: Team McGregor vs. Team Faber Finale
1012,UFC 195: Lawler vs. Condit
1013,UFC Fight Night: Henderson vs. Masvidal
1022,UFC Fight Night: Dillashaw vs. Cruz
1023,UFC Fight Night: Namajunas vs. VanZant
1038,UFC on Fox: Johnson vs. Bader
1052,UFC Fight Night: Silva vs. Bisping
1056,UFC Fight Night: Hendricks vs. Thompson
1057,UFC Fight Night: Cowboy vs. Cowboy
1060,UFC 196: McGregor vs. Diaz
1062,UFC Fight Night: Hunt vs. Mir
1067,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale
1070,UFC 198: Werdum vs. Miocic
1073,UFC on Fox: Teixeira vs. Evans
1077,UFC Fight Night: Rothwell vs. dos Santos
1080,UFC 197: Jones vs. Saint Preux
1081,UFC 199: Rockhold vs. Bisping 2
1088,UFC Fight Night: Overeem vs. Arlovski
1098,UFC Fight Night: MacDonald vs. Thompson
1102,UFC 200: Tate vs. Nunes
1104,UFC Fight Night: Almeida vs. Garbrandt
1114,UFC on Fox: Holm vs. Shevchenko
1118,UFC Fight Night: dos Anjos vs. Alvarez
1120,UFC Fight Night: McDonald vs. Lineker
1129,UFC 201: Lawler vs. Woodley
1135,The Ultimate Fighter: Tournament of Champions Finale
1138,UFC 203: Miocic vs. Overeem
1139,UFC Fight Night: Arlovski vs. Barnett
1143,UFC 202: Diaz vs. McGregor 2
1146,UFC Fight Night: Rodríguez vs. Caceres
1150,UFC on Fox: Maia vs. Condit
1160,UFC Fight Night: Poirier vs. Johnson
1164,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson
1165,UFC Fight Night: Lineker vs. Dodson
1167,UFC Fight Night: Cyborg vs. Länsberg
1168,UFC 204: Bisping vs. Henderson 2
1184,UFC Fight Night: Mousasi vs. Hall 2
1185,UFC Fight Night: Bader vs. Nogueira 2
1188,UFC 205: Alvarez vs. McGregor
1191,UFC Fight Night: Whittaker vs. Brunson
1203,UFC Fight Night: Lewis vs. Abdurakhimov
1204,UFC 206: Holloway vs. Pettis
1207,UFC on Fox: VanZant vs. Waterson
1210,UFC 207: Nunes vs. Rousey
1219,UFC Fight Night: Rodríguez vs. Penn
1225,UFC on Fox: Shevchenko vs. Peña
1226,UFC Fight Night: Bermudez vs. The Korean Zombie
1228,UFC Fight Night: Lewis vs. Browne
1229,UFC 208: Holm vs. de Randamie
1231,UFC Fight Night: Belfort vs. Gastelum
1234,UFC 209: Woodley vs. Thompson 2
1246,UFC Fight Night: Manuwa vs. Anderson
1248,UFC 210: Cormier vs. Johnson 2
1252,UFC 211: Miocic vs. dos Santos 2
1257,UFC 212: Aldo vs. Holloway
1258,UFC Fight Night: Swanson vs. Lobov
1259,UFC on Fox: Johnson vs. Reis
1265,UFC Fight Night: Gustafsson vs. Teixeira
1275,UFC Fight Night: Lewis vs. Hunt
1276,UFC Fight Night: Chiesa vs. Lee
1277,UFC Fight Night: Holm vs. Correia
1282,UFC 213: Romero vs. Whittaker
1289,The Ultimate Fighter: Redemption Finale
1292,UFC on Fox: Weidman vs. Gastelum
