ufcstats_id,bestfightodds_id,betmma_id,espn_id,fightmatrix_id,fightoddsio_id,mmadecisions_id,sherdog_id,tapology_id
01afe0916a40c7c5,9925,2257,4020699,138031,RmlnaHRlck5vZGU6MjM0MzI=,5748,179185,81052-shavkat-rakhmonov
01b352b6a9074d5c,5994,1029,3952937,128498,RmlnaHRlck5vZGU6ODE5Mg==,3924,159319,55773-chase-sherman
01b39decaf0abf6a,331,,2497958,2274,RmlnaHRlck5vZGU6ODE1,541,2294,benji-radach-razor
01d2ed8c502e3828,2009,,2558612,45408,RmlnaHRlck5vZGU6MTA2MQ==,1196,45430,caros-fodor-the-future
01daf32100ed7517,4120,,2486935,247,RmlnaHRlck5vZGU6NDY0,223,249,koji-oishi
01f022fa494188e2,1961,,2504645,42759,RmlnaHRlck5vZGU6OTg0,,21971,josh-bryant-the-beast
01fcef7e3d051722,5294,59,2977004,38735,RmlnaHRlck5vZGU6NjE1NQ==,3234,20939,9929-enrique-briones-henry-bure
01fed6f61ebea01f,6313,2012,4062287,95548,RmlnaHRlck5vZGU6ODg1Mw==,4007,99689,20858-jay-parrin
0232cabbc30a2372,4952,1733,3998248,88422,RmlnaHRlck5vZGU6MzA4NQ==,3723,86354,34063-adrian-yanez
02500fb9fd79a974,286,,2354359,2327,RmlnaHRlck5vZGU6ODIy,,2347,jason-reinhardt
025f0b1b58fbad01,8215,1490,3996934,99540,RmlnaHRlck5vZGU6MjQzMDc=,4852,107757,86260-darko-stosic
029880cdbf5ca089,41,,2335678,275,RmlnaHRlck5vZGU6NTMx,251,277,sean-sherk-the-muscle-shark
029afd138865d20a,8132,2410,3120449,93985,RmlnaHRlck5vZGU6MjM1NDM=,5883,96651,38728-rafael-alves-rafa-thai
029e1293e609fd74,5746,1530,3895515,88589,RmlnaHRlck5vZGU6NzcwNQ==,3547,86474,65871-abubakr-nurmagomedov
029eaff01e6bb8f0,2034,383,2506549,51041,RmlnaHRlck5vZGU6MTI3MQ==,916,50529,dustin-poirier-the-diamond
02bb48869eb7ac8f,15719,4223,4601333,164980,RmlnaHRlck5vZGU6MzM5NDI=,6584,230789,188018-rayanne-amanda
02d276b7d62b3472,,,2951334,112,RmlnaHRlck5vZGU6NTE3,,114,rudyard-moncayo
02e52b3a595f0786,1497,,2431272,10384,RmlnaHRlck5vZGU6NzEy,,4399,kevin-jordan-the-shaman
02f2a9702ba3d167,3540,792,3016689,75461,RmlnaHRlck5vZGU6MzYxOA==,2835,73700,13910-Artem-Lobov
02f8fedc18cbd26c,6534,1213,4034272,151602,RmlnaHRlck5vZGU6OTE5NA==,3904,207407,70991-emily-ducote
02fc8f50f56eb307,,,2335757,23,RmlnaHRlck5vZGU6NTU0,,23,trent-jenkins
030f08370fd1c2bb,,,2354537,390,RmlnaHRlck5vZGU6ODU1,,397,kerry-schall-meat-truck
032cc3922d871c7f,3050,469,2611557,56833,RmlnaHRlck5vZGU6MTIzNQ==,1985,56035,18536-khabib-nurmagomedov
0359313549d230a1,172,,2335480,13765,RmlnaHRlck5vZGU6ODYx,302,7795,pete-sell-drago
03688dc3c3af3ac1,,,2557850,212,RmlnaHRlck5vZGU6MzQ1,175,214,bas-rutten-el-guapo
036e96c1c12b8a59,15042,5030,5122794,162724,RmlnaHRlck5vZGU6MzE3MDE=,6373,230223,136412-nick-fiore
03c9994c5b8958ec,2296,913,2552663,27894,RmlnaHRlck5vZGU6MTAwNg==,1390,35867,john-cholish
03dee485905dbc9f,12971,4506,5248207,154589,RmlnaHRlck5vZGU6NTc0NjA=,,213673,121735-zach-scroggins
03f982ca3735070c,2995,11,3023815,73529,RmlnaHRlck5vZGU6NTgwMg==,2711,72046,17046-walter-harris
040426baba8a45e8,,,2475133,253,RmlnaHRlck5vZGU6NDg5,,255,nate-schroeder
040a74bb0a465c54,4218,526,3902098,94462,RmlnaHRlck5vZGU6MzYxNg==,2512,97499,23359-arnold-allen
045f25b3a4c08e81,2755,1073,2976993,47562,RmlnaHRlck5vZGU6NDYyNg==,2883,47545,16561-jack-marshman
04643fd03d9159cc,124,,2335683,10815,RmlnaHRlck5vZGU6NTc4,277,4833,marcus-aurelio-maximus
047a91d3d9c79b05,9539,2462,4686739,187070,RmlnaHRlck5vZGU6MzAyNTk=,,280415,119395-collin-anglin
04835018f90b118c,10524,2647,4699589,137553,RmlnaHRlck5vZGU6MzYxNTE=,5819,175007,74768-casey-oneill
049d698d773eb3e1,334,,2335761,14620,RmlnaHRlck5vZGU6Njk5,634,8654,matt-horwich-suave
04b39f4e8eb59d7c,5755,595,3918015,97326,RmlnaHRlck5vZGU6NzcyNg==,3551,103153,42964-oluwale-bamgbose
04c15b52c3cc1cab,16,,2335815,14363,RmlnaHRlck5vZGU6Nzc4,369,8396,nate-mohr
04c8b08b16a5b99e,7638,1936,4232775,103201,RmlnaHRlck5vZGU6MTc5NjE=,5450,114961,35149-tanner-boser
04d5718ed2661e8c,51,,2410613,10011,RmlnaHRlck5vZGU6Njc4,313,4025,jorge-gurgel-jg
04f9fe830cf13482,,,2501538,2307,RmlnaHRlck5vZGU6ODg1,,2327,gerald-strebendt-the-finishing-machine
052ceb8976695342,835,,2501130,43033,RmlnaHRlck5vZGU6MTA3OQ==,,22247,chase-gormley
05339613bf8e9808,4984,761,3090451,79160,RmlnaHRlck5vZGU6NjIwMA==,3041,76100,rob-font
0541480fbf719d86,133,,2335529,2332,RmlnaHRlck5vZGU6MjA5,267,2352,houston-alexander-the-assassin
054defd5420a551f,778,,2335756,21826,RmlnaHRlck5vZGU6NzE5,600,9863,rob-kimmons-the-rosedale-reaper
05560764359161e4,2611,225,2553304,18574,RmlnaHRlck5vZGU6MTI2NQ==,1395,32432,costantinos-phillippou
056c493bbd76a918,4438,151,3023388,111411,RmlnaHRlck5vZGU6MzIzMA==,3266,125297,42359-henry-cejudo
0577808d22dfe79c,2398,,2493017,2852,RmlnaHRlck5vZGU6MTIzOA==,1776,2873,jon-olav-einemo
05866d8c3a321856,214,,2335749,336,RmlnaHRlck5vZGU6NjM5,416,339,marvin-eastman-the-beastman
058e4e08a1ad8aba,786,,2335805,23903,RmlnaHRlck5vZGU6Njg0,,11970,dale-hartt-the-demon
0597a4528ebd1307,,,2354224,26027,RmlnaHRlck5vZGU6ODEx,,14121,chris-price-exorcist
05b43e0ead3df345,5230,93,3129344,63961,RmlnaHRlck5vZGU6NjE3Nw==,3254,62703,43275-kailin-curran
05fa626cb33d15b8,5260,1162,3153106,122823,RmlnaHRlck5vZGU6NjgxNw==,4122,149037,47916-andrea-lee
0641c21bec209472,6182,816,3960472,64570,RmlnaHRlck5vZGU6MzAxMA==,3711,63272,20057-mike-jackson
064b7dc68d786254,4401,374,3134018,86831,RmlnaHRlck5vZGU6NTc5OQ==,2633,84645,41544-cain-carrizosa
065eb44700e641a4,6435,1099,4021523,65485,RmlnaHRlck5vZGU6OTA1Mw==,3842,64166,13384-Devin-Powell
06626b6287e1ae1e,6093,6988,3163772,110581,RmlnaHRlck5vZGU6ODQ5NQ==,,124527,56978-chris-padilla
06734ca9d88dec3a,9999,569,4421784,202831,RmlnaHRlck5vZGU6NTU0NTY=,6566,309711,218307-sharaputdin-magomedov-golden-boy
06827d70c53ff0d9,3766,513,3075571,32806,RmlnaHRlck5vZGU6NDE4OA==,3151,40518,13953-scott-askham
068f8a189a47fea6,6618,1730,3154884,99959,RmlnaHRlck5vZGU6MTE4NTU=,4985,85198,31086-maurice-greene-the-pirate
06a80a685ea98573,5818,2293,3928533,80494,RmlnaHRlck5vZGU6Nzc4Nw==,5630,78383,61333-irwin-rivera
06e4245d16fc5315,13883,2040,5075333,196056,RmlnaHRlck5vZGU6NDQyMDA=,6310,297989,143238-ailin-luciana-perez
06f0ffa6446c5b6d,89,,2500527,430,RmlnaHRlck5vZGU6Njk1,,437,branden-lee-hinkle-the-iron-lion
06f36cf4bd97ec77,29,146,2335754,12537,RmlnaHRlck5vZGU6Njkx,362,6561,ed-herman-short-fuse
07047eb7d17fb0a2,14690,3923,4894780,213165,RmlnaHRlck5vZGU6NDI0NDY=,6647,334747,229363-dariya-zheleznyakova
07225ba28ae309b6,1893,120,2504169,16466,RmlnaHRlck5vZGU6MTIzOQ==,787,30300,charles-oliveira-do-bronx
072a10e85f7d4bff,4945,389,3023856,43878,RmlnaHRlck5vZGU6NjEwNQ==,3090,43885,13894-milana-dudieva
0749d968e932df53,1466,707,2504957,42700,RmlnaHRlck5vZGU6NDczNA==,1187,21912,tarec-saffiedine-sponge
0778f94eb5d588a5,6023,801,3947131,66276,RmlnaHRlck5vZGU6NzkyNQ==,3686,64975,43005-joey-gomez
07797f10b9569cfc,13017,3501,4893608,91165,RmlnaHRlck5vZGU6MjExOTk=,6655,90675,20352-angel-pacheco
077e3ace32b72be9,10793,3147,4396359,73574,RmlnaHRlck5vZGU6MzEzMw==,6090,72117,38340-carlos-vergara
07a18ae55dfc3cd9,,,2951121,110,RmlnaHRlck5vZGU6NDk5,61,112,paul-varelans-the-polar-bear
07a2bdaa0afdd831,8547,1754,4280789,114327,RmlnaHRlck5vZGU6NzgxNg==,5071,132211,53276-rogrio-bontorin
07f72a2a7591b409,819,186,2335639,8116,RmlnaHRlck5vZGU6NzEx,623,27944,jon-jones-bones
07f959e6596307bb,7002,3829,4684059,112244,RmlnaHRlck5vZGU6MTUyMzg=,6608,127691,43109-carlos-vera
082eba4cd80f736f,8222,4275,5093447,151690,RmlnaHRlck5vZGU6NDEyMjU=,6313,207605,112766-jarno-errens
0845c81e37d3bcb3,4473,1112,3110836,71672,RmlnaHRlck5vZGU6NTg0NA==,2680,58503,35488-volkan-oezdemir-cousin
0871254cd790c250,3093,,2615258,17100,RmlnaHRlck5vZGU6MTEwMQ==,,30943,4996-tommy-hayden
0876d21328cf4a45,4564,837,3082806,92684,RmlnaHRlck5vZGU6NjAyNw==,2778,93863,22492-dave-galera
08a7080ff5904661,,,2502197,129,RmlnaHRlck5vZGU6NTA0,,131,rafael-carino-earthquake
08ae5cd9aef7ddd3,,,2557318,43,RmlnaHRlck5vZGU6NDYy,33,43,kimo-leopoldo
08af939f41b5a57b,4633,219,3085551,57379,RmlnaHRlck5vZGU6NjA3Nw==,2786,56583,20010-beneil-dariush-benny
08e908ed6d18d6a0,3222,189,2960676,20363,RmlnaHRlck5vZGU6MTEzNw==,2097,34236,11278-myles-jury-the-fury
093e1f5bb73850be,6092,1189,4290956,88873,RmlnaHRlck5vZGU6MzAzMjQ=,5075,86783,41538-anthony-hernandez
0941df56f6ac954b,813,98,2354130,4741,RmlnaHRlck5vZGU6MTEwNg==,703,24539,johny-hendricks
0978385b2bd9ef9b,15050,5044,5123586,197291,RmlnaHRlck5vZGU6NTAyMjA=,6371,297869,194945-nick-aguirre
09a4447655fd4b7b,18575,7652,5212598,217246,RmlnaHRlck5vZGU6NTc3NzE=,,344561,236274-rafael-lima-rafael-bjj
09c44b317c98bf96,,,2499293,241,RmlnaHRlck5vZGU6Mzc5,,243,david-velasquez-little
09e62c450e754913,1923,2333,2989380,61677,RmlnaHRlck5vZGU6MTc3MQ==,5805,60460,jimmy-flick
09f579be4520394a,5279,31,3155410,83993,RmlnaHRlck5vZGU6NjE1Mg==,3207,81835,53833-diego-rivas-pitbull
0a1942069c9ad6b6,2474,1037,3074102,62334,RmlnaHRlck5vZGU6MTcxMA==,2245,61146,13893-Jack-Hermansson
0a73acff6325c1e2,11124,2821,4781218,170122,RmlnaHRlck5vZGU6MzgwMTk=,5885,245853,132976-yilan-sha
0a95c474e61a6c44,8459,1590,4364223,141503,RmlnaHRlck5vZGU6MTg3NzU=,,186189,89121-adam-yandiev
0a97691039c4bbfb,498,,2501722,10711,RmlnaHRlck5vZGU6ODY=,467,4728,mark-hominick-the-machine
0aa92558424ced9e,79,,2335338,164,RmlnaHRlck5vZGU6NTA2,120,166,randy-couture-the-natural
0b31f87be71ebbb1,1760,643,2500597,41180,RmlnaHRlck5vZGU6MTQ3Nw==,,42390,ben-askren-funky
