ufcstats_id,bestfightodds_id,betmma_id,espn_id,fightmatrix_id,fightoddsio_id,mmadecisions_id,sherdog_id,tapology_id,wikipedia_id
6420efac0578988b,,,400255729,1022,RXZlbnROb2RlOjExOQ==,,7,ufc-1-the-beginning,1
a6a9ab5a824e8f66,,,400255726,1025,RXZlbnROb2RlOjEyMA==,,8,ufc-2-no-way-out,2
1a49e0670dfaca31,,,400255721,1028,RXZlbnROb2RlOjEyMQ==,,9,ufc-3-the-american-dream,3
b60391da771deefe,,,400255719,1031,RXZlbnROb2RlOjEyMg==,,10,ufc-4-revenge-of-the-warriors,4
dedc3bb440d09554,,,400255714,1034,RXZlbnROb2RlOjEyMw==,5,11,ufc-5-return-of-the-beast,5
1c3f5e85b59ec710,,,400255712,1037,RXZlbnROb2RlOjEyNA==,,12,ufc-6-clash-of-the-titans,6
5af480a3b2e1726b,,,400255710,1040,RXZlbnROb2RlOjEyNQ==,7,13,ufc-7-the-brawl-in-buffalo,7
31bbd46d57dfbcb7,,,400255707,1043,RXZlbnROb2RlOjEyNg==,8,14,ufc-75-ultimate-ultimate-1995,8
b63e800c18e011b5,,,400255705,1046,RXZlbnROb2RlOjEyNw==,9,15,ufc-8-david-vs-goliath,9
a390eb8a9b2df298,,,400255701,1049,RXZlbnROb2RlOjEyOA==,10,16,ufc-9-motor-city-madness,10
aee8eecfc4bfb1e7,,,400255697,1052,RXZlbnROb2RlOjEyOQ==,11,17,ufc-10-the-tournament,11
6ceff86fae4f6b3b,,,400255694,1055,RXZlbnROb2RlOjEzMA==,12,18,ufc-11-the-proving-ground,12
9b5b5a75523728f3,,,400255688,1058,RXZlbnROb2RlOjEzMQ==,,19,ufc-115-ultimate-ultimate-1996,13
96eff1a628adcc7f,,,400255685,1061,RXZlbnROb2RlOjEzMg==,14,20,ufc-12-judgement-day,14
5bd533d50c8e7b8a,,,400255678,1064,RXZlbnROb2RlOjEzMw==,15,21,ufc-13-ultimate-force,15
dc950d59dc590aca,,,400255669,1067,RXZlbnROb2RlOjEzNQ==,16,22,ufc-14-showdown,16
07a18ae55dfc3cd9,,,400255653,1070,RXZlbnROb2RlOjEzNw==,17,23,ufc-15-collision-course,17
29f935654825331b,,,400255645,1073,RXZlbnROb2RlOjEzOA==,18,24,ufc-155-ultimate-japan,18
749685d24e2cac50,,,400255637,1076,RXZlbnROb2RlOjEzOQ==,19,25,ufc-16-battle-in-the-bayou,19
4a01dc8376736ef5,,,400255629,1079,RXZlbnROb2RlOjE0MQ==,20,26,ufc-17-redemption,20
32a3025d5db456ae,,,400255609,1082,RXZlbnROb2RlOjE0NA==,21,27,ufc-175-ultimate-brazil,21
c9bbf1a0285a8076,,,400255591,1085,RXZlbnROb2RlOjE0NQ==,22,28,ufc-18-the-road-to-the-heavyweight-title,22
a220be6d41d6f97d,,,400255576,1088,RXZlbnROb2RlOjE0Ng==,23,29,ufc-19-ultimate-young-guns,23
a7b48e18ca27795d,,,400255552,1091,RXZlbnROb2RlOjE0OA==,24,30,ufc-20-battle-for-the-gold,24
1a1a4d7a29041d77,,,400255529,1094,RXZlbnROb2RlOjE1MA==,25,31,ufc-21-return-of-the-champions,25
afaad7d6a581e307,,,400255511,1097,RXZlbnROb2RlOjE1Mg==,26,32,ufc-22-only-one-can-be-champion,26
a8fa0c4e95512806,,,400255493,1100,RXZlbnROb2RlOjE1Mw==,27,33,ufc-23-ultimate-japan-2,27
20ec0061400178ca,,,400255459,1103,RXZlbnROb2RlOjE1Ng==,28,34,ufc-24-first-defense,28
d2b1c1317a39f6c6,,,400255445,1106,RXZlbnROb2RlOjE1Nw==,29,35,ufc-25-ultimate-japan-3,29
cedfdf8d423d500c,,,400255423,1109,RXZlbnROb2RlOjE2MA==,30,36,ufc-26-ultimate-field-of-dreams,30
31652c9267606d54,,,400255377,1112,RXZlbnROb2RlOjE2Mg==,31,37,ufc-27-ultimate-bad-boyz,31
da6dfd09cca1d705,,,400255359,1115,RXZlbnROb2RlOjE2NA==,32,38,ufc-28-high-stakes,32
08ae5cd9aef7ddd3,,,400255343,1118,RXZlbnROb2RlOjE2NQ==,33,39,ufc-29-defense-of-the-belts,33
2b1587a3376ab743,,,400255324,1121,RXZlbnROb2RlOjE2Nw==,34,40,ufc-30-battle-on-the-boardwalk,34
20bd6c3e03c46ee6,,,400255284,1847,RXZlbnROb2RlOjE3MA==,35,282,ufc-31-locked-and-loaded,35
7b9aa973e5c04624,,,400255263,2288,RXZlbnROb2RlOjE3Mg==,36,429,ufc-32-showdown-in-the-meadowlands,36
c75b99887c8c3f5a,,,400255224,2291,RXZlbnROb2RlOjE3Ng==,37,430,ufc-33-victory-in-vegas,37
4dc496aa0cfc0d95,,,400255208,2621,RXZlbnROb2RlOjE3OA==,38,540,ufc-34-high-voltage,38
946f341df6472ee0,,,400255174,3005,RXZlbnROb2RlOjE4Mg==,39,668,ufc-35-throwdown,39
02fc8f50f56eb307,,,400255147,3314,RXZlbnROb2RlOjE4Nw==,40,771,ufc-36-worlds-collide,40
9fd1f08dd4aec14a,,,400255123,3551,RXZlbnROb2RlOjE4OQ==,41,850,ufc-37-high-impact,41
9ccdd2ce45903f34,,,400255100,3704,RXZlbnROb2RlOjE5Mg==,42,901,ufc-375-as-real-as-it-gets,42
1dc56b59cb28425d,,,400255089,3770,RXZlbnROb2RlOjE5NA==,43,923,ufc-38-brawl-at-the-hall,43
0cf935519d439ba6,,,400255053,4256,RXZlbnROb2RlOjIwMA==,44,1085,ufc-39-the-warriors-return,44
e06fd1260ac865a7,,,400255022,4661,RXZlbnROb2RlOjIwNA==,,1220,ufc-40-vendetta,45
bba678d312590087,,,400254969,5273,RXZlbnROb2RlOjIxMQ==,46,1424,ufc-41-onslaught,46
ae58685caf8e4a0d,,,400254929,5408,RXZlbnROb2RlOjIxNQ==,47,1469,ufc-42-sudden-impact,47
108afe61a26bcbf4,,,400254903,5843,RXZlbnROb2RlOjIxNw==,48,1614,ufc-43-meltdown,48
c61f66d8c3fd5f07,,,400254829,6065,RXZlbnROb2RlOjIyMg==,49,1688,ufc-44-undisputed,49
