fighter_id,bout_id,gym_id,gym_name,gym_purpose
sam-alvey,158318-ufc-fight-night-55-smilin-sam-alvey-vs-dylan-the-villain-andrews,902-team-quest,Team Quest,
14961-carlos-augusto-inocente-filho-guto,155910-ufc-fight-night-55-anthony-the-hippo-perosh-vs-guto-inocente,31-blackzilians,Blackzilians Performance Institute,
anthony-perosh-the-hippo,155910-ufc-fight-night-55-anthony-the-hippo-perosh-vs-guto-inocente,2852-sinosic-perosh-martial-arts,Team Perosh Mixed Martial Arts,
vagner-rocha,158317-ufc-fight-night-55-jake-the-celtic-kid-matthews-vs-vagner-cear-rocha,1422-team-popovitch-academy,Team Popovitch Academy,
45260-jake-matthews,158317-ufc-fight-night-55-jake-the-celtic-kid-matthews-vs-vagner-cear-rocha,,Nexus,
17046-walter-harris,165603-ufc-fight-night-55-soa-the-hulk-palelei-vs-walt-the-big-ticket-harris,29-american-top-team,American Top Team,
soa-palelei-the-hulk,165603-ufc-fight-night-55-soa-the-hulk-palelei-vs-walt-the-big-ticket-harris,,Team Hulk,
7861-clint-hester,158315-ufc-fight-night-55-robert-the-reaper-whittaker-vs-clint-headbussa-hester,1444-x3-sports,X3 Sports,
17398-robert-whittaker,158315-ufc-fight-night-55-robert-the-reaper-whittaker-vs-clint-headbussa-hester,6717-gracie-jiu-jitsu-smeaton-grange,Gracie Jiu-Jitsu Smeaton Grange,
ross-pearson-the-real-deal,162673-ufc-fight-night-55-ragin-al-iaquinta-vs-ross-the-real-deal-pearson,233-alliance-mma,Alliance MMA,
15047-al-iaquinta,162673-ufc-fight-night-55-ragin-al-iaquinta-vs-ross-the-real-deal-pearson,1696-serra-jiu-jitsu,Serra Jiu-Jitsu,
michael-bisping-the-count,156918-ufc-fight-night-55-luke-rockhold-vs-michael-the-count-bisping,6110-rvca,RVCA,
luke-rockhold,156918-ufc-fight-night-55-luke-rockhold-vs-michael-the-count-bisping,63-american-kickboxing-academy,American Kickboxing Academy,
54000-wagner-gomes,160788-ufc-fight-night-56-colby-chaos-covington-vs-wagner-wagno-silva,10094-ct-wr,CT WR,
23634-colby-covington,160788-ufc-fight-night-56-colby-chaos-covington-vs-wagner-wagno-silva,29-american-top-team,American Top Team,
9339-tim-gorman,158464-ufc-fight-night-56-thomas-thominhas-almeida-vs-tim-the-psycho-gorman,1148-des-moines-mma-academy,Des Moines MMA Academy,
36576-thomas-de-almeida,158464-ufc-fight-night-56-thomas-thominhas-almeida-vs-tim-the-psycho-gorman,248-bronxs-gold-team-texas,Gold Team Texas,
charlie-brenneman-the-spaniard,164246-ufc-fight-night-56-leandro-buscap-silva-vs-charlie-the-spaniard-brenneman,185-ama-fight-club,AMA Fight Club,
31763-leandro-silva-buscape,164246-ufc-fight-night-56-leandro-buscap-silva-vs-charlie-the-spaniard-brenneman,98-team-nogueira,Team Nogueira,
19696-caio-magalhaes-hellboy,159837-ufc-fight-night-56-caio-hellboy-magalhes-vs-trevor-hot-sauce-smith,7510-teixeira-mma-fitness,Teixeira MMA & Fitness,
8243-rodolfo-rubio,166545-ufc-fight-night-56-diego-pitbull-rivas-vs-rodolfo-fito-rubio-perez,804-entram-gym,Entram Gym,
53833-diego-rivas-pitbull,166545-ufc-fight-night-56-diego-pitbull-rivas-vs-rodolfo-fito-rubio-perez,845-kings-mma,Kings MMA,Primary
53833-diego-rivas-pitbull,166545-ufc-fight-night-56-diego-pitbull-rivas-vs-rodolfo-fito-rubio-perez,8849-elemental-dojo,Elemental Dojo,Other
11224-nina-ansaroff,160811-ufc-fight-night-56-juliana-ju-thai-lima-vs-nina-the-strina-ansaroff,181-mma-masters,MMA MASTERS,
39648-juliana-lima-ju-thai,160811-ufc-fight-night-56-juliana-ju-thai-lima-vs-nina-the-strina-ansaroff,278-gracie-barra-belo-horizonte,Gracie Barra Belo Horizonte,
47547-jorge-antonio-cezario-de-oliveira-blade,167686-ufc-fight-night-56-dhiego-lima-vs-jorge-blade-de-oliveira,2857-renovao-fight-team,Renovação Fight Team,
dhiego-lima,167686-ufc-fight-night-56-dhiego-lima-vs-jorge-blade-de-oliveira,1386-american-top-team-atlanta,American Top Team Atlanta,
21429-leon-edwards,160916-ufc-fight-night-56-claudio-hannibal-silva-vs-leon-rocky-edwards,2930-ultimate-training-centre,Ultimate Training Centre,
claudio-henrique-da-silva-mineiro,160916-ufc-fight-night-56-claudio-hannibal-silva-vs-leon-rocky-edwards,29-american-top-team,American Top Team,
alan-jouban,160577-ufc-fight-night-56-warlley-alves-vs-alan-brahma-jouban,850-legends-mma,Legends MMA,
37561-warley-alves,160577-ufc-fight-night-56-warlley-alves-vs-alan-brahma-jouban,54-xgym,XGym,
mauricio-rua-shogun,167159-ufc-fight-night-56-ovince-osp-st-preux-vs-maurcio-shogun-rua,845-kings-mma,Kings MMA,Other
mauricio-rua-shogun,167159-ufc-fight-night-56-ovince-osp-st-preux-vs-maurcio-shogun-rua,9829-shogun-team,Shogun Team,Primary
ovince-st-preux,167159-ufc-fight-night-56-ovince-osp-st-preux-vs-maurcio-shogun-rua,1242-knoxville-martial-arts-academy,Knoxville Martial Arts Academy,
48144-marlon-vera-chito,168846-ufc-180-marco-antonio-el-psycho-beltran-vs-marlon-chito-vera,60-jacksons-mma,Jackson Wink MMA Academy,
44921-marco-beltran-el-psycho,168846-ufc-180-marco-antonio-el-psycho-beltran-vs-marlon-chito-vera,,Top Brother Mexico,
12196-guido-canetti-ninja,166883-ufc-180-enrique-henry-bure-briones-vs-guido-ninja-cannetti,5044-our-town-mma,Our Town MMA,
9929-enrique-briones-henry-bure,166883-ufc-180-enrique-henry-bure-briones-vs-guido-ninja-cannetti,804-entram-gym,Entram Gym,
19082-humberto-brown-morrison,168844-ufc-180-gabriel-moggly-benitez-vs-humberto-el-gato-negro-brown-morrison,,Alleycat Panama,
27087-gabriel-benitez-moggly,168844-ufc-180-gabriel-moggly-benitez-vs-humberto-el-gato-negro-brown-morrison,804-entram-gym,Entram Gym,
leslie-smith,160855-ufc-180-jessica-evil-eye-vs-leslie-the-peacemaker-smith,783-cesar-gracie-jiu-jitsu,Cesar Gracie Jiu Jitsu,
67614-jose-alberto-quinones-el-teco,167328-ufc-180-alejandro-el-diablito-perez-vs-jose-alberto-el-teco-quiones-iii,233-alliance-mma,Alliance MMA,Primary
67614-jose-alberto-quinones-el-teco,167328-ufc-180-alejandro-el-diablito-perez-vs-jose-alberto-el-teco-quiones-iii,804-entram-gym,Entram Gym,Other
2598-alejandro-perez,167328-ufc-180-alejandro-el-diablito-perez-vs-jose-alberto-el-teco-quiones-iii,804-entram-gym,Entram Gym,
70997-leonardo-morales-chimmy,168845-ufc-180-yair-el-pantera-rodriguez-vs-leonardo-chimmy-morales,2778-xtreme-kombat-managua,Xtreme Kombat Academy,
70995-yair-rodriguez,168845-ufc-180-yair-el-pantera-rodriguez-vs-leonardo-chimmy-morales,3133-valle-flow-striking,VFS Academy,
edgar-garcia-cabello-,162088-ufc-180-hector-el-toro-urbina-vs-edgar-garcia,449-arizona-athletic-club,Arizona Athletic Club,
hector-urbina-el-toro,162088-ufc-180-hector-el-toro-urbina-vs-edgar-garcia,,Wolfpack MMA,
38901-chris-heatherly,164047-ufc-180-augusto-dodger-montao-vs-chris-stump-heatherly,,Fit or Fight Gym,
24547-salvador-augusto-montano-dogerdes,164047-ufc-180-augusto-dodger-montao-vs-chris-stump-heatherly,2373-bonebreakers-mma,Bonebreakers MMA,
11408-dennis-bermudez-the-menace,153202-ufc-180-ricardo-the-bully-lamas-vs-dennis-the-menace-bermudez,61-long-island-mma,Long Island MMA,
ricardo-lamas-the-bully,153202-ufc-180-ricardo-the-bully-lamas-vs-dennis-the-menace-bermudez,181-mma-masters,MMA MASTERS,Primary
ricardo-lamas-the-bully,153202-ufc-180-ricardo-the-bully-lamas-vs-dennis-the-menace-bermudez,956-team-top-notch,Team Top Notch,Strength & Conditioning
jake-ellenberger-the-juggernaut,155112-ufc-180-kelvin-gastelum-vs-jake-the-juggernaut-ellenberger,67-reign-mma,Reign MMA,
41355-kelvin-gastelum,155112-ufc-180-kelvin-gastelum-vs-jake-the-juggernaut-ellenberger,454-yuma-united-mixed-martial-arts,Yuma United Mixed Martial Arts,
fabricio-werdum-vai-cavalo,165912-ufc-180-fabrcio-vai-cavalo-werdum-vs-mark-super-samoan-hunt,845-kings-mma,Kings MMA,
53906-juan-puig-fenix,156884-ufc-fight-night-57-doo-ho-the-korean-superboy-choi-vs-juan-manuel-fenix-puig,2373-bonebreakers-mma,Bonebreakers MMA,
doo-ho-choi,156884-ufc-fight-night-57-doo-ho-the-korean-superboy-choi-vs-juan-manuel-fenix-puig,6-gumi-mma,Team Hon,
43275-kailin-curran,155193-ufc-fight-night-57-12-gauge-paige-vanzant-vs-kailin-curran,67-reign-mma,Reign MMA,
29691-paige-vanzant,155193-ufc-fight-night-57-12-gauge-paige-vanzant-vs-kailin-curran,728-reno-academy-of-combat,Reno Academy of Combat,
yves-edwards-the-texas-gunslinger,159413-ufc-fight-night-57-akbarh-el-caballero-arreola-vs-yves-thugjitsu-master-edwards,236-american-top-team-beaumont,American Top Team Beaumont,
akbarh-arreola-el-caballero,159413-ufc-fight-night-57-akbarh-el-caballero-arreola-vs-yves-thugjitsu-master-edwards,804-entram-gym,Entram Gym,
31468-nick-hein,157279-ufc-fight-night-57-james-the-texecutioner-vick-vs-sergeant-nick-hein,,Combat Club Cologne,
16488-james-vick,157279-ufc-fight-night-57-james-the-texecutioner-vick-vs-sergeant-nick-hein,1568-team-lloyd-irvin,Team Lloyd Irvin,
21203-luke-barnatt-the-bigslow,156636-ufc-fight-night-57-roger-the-silverback-narvaez-vs-luke-the-bigslow-barnatt,3328-tsunami-gym,Tsunami Gym,
21951-rogelio-narvaez,156636-ufc-fight-night-57-roger-the-silverback-narvaez-vs-luke-the-bigslow-barnatt,268-full-contact-fight-academy,Full Contact Fight Academy,
40014-joshua-copeland,156883-ufc-fight-night-57-ruslan-leopard-magomedov-vs-joshua-cuddly-bear-copeland,201-grudge-tc,Genesis Training Academy,
25817-ruslan-magomedov,156883-ufc-fight-night-57-ruslan-leopard-magomedov-vs-joshua-cuddly-bear-copeland,63-american-kickboxing-academy,American Kickboxing Academy,
isaac-vallie-flag,155376-ufc-fight-night-57-handsome-matt-wiman-vs-isaac-vallie-flagg,60-jacksons-mma,Jackson Wink MMA Academy,
matt-wiman-handsome,155376-ufc-fight-night-57-handsome-matt-wiman-vs-isaac-vallie-flagg,,Tulsa Top Team,
dustin-ortiz,155192-ufc-fight-night-57-joseph-the-beefcake-benavidez-vs-dustin-ortiz,1244-nashville-mma,Nashville MMA Training Camp,
joseph-benavidez,155192-ufc-fight-night-57-joseph-the-beefcake-benavidez-vs-dustin-ortiz,108-team-alpha-male,Team Alpha Male,
14727-jared-rosholt-the-big-show,156688-ufc-fight-night-57-oleksiy-the-boa-constrictor-oliynyk-vs-jared-the-big-show-rosholt,333-team-takedown,Team Takedown,
alexey-oleinik,156688-ufc-fight-night-57-oleksiy-the-boa-constrictor-oliynyk-vs-jared-the-big-show-rosholt,1004-rusfighters-mma,RusFighters MMA,Primary
alexey-oleinik,156688-ufc-fight-night-57-oleksiy-the-boa-constrictor-oliynyk-vs-jared-the-big-show-rosholt,2921-oleksiy-oliynyk-mma-school,Oleksiy Oliynyk MMA School,Other
brad-pickett-one-punch,160822-ufc-fight-night-57-chico-the-king-camus-vs-brad-one-punch-pickett,29-american-top-team,American Top Team,
chico-camus-king,160822-ufc-fight-night-57-chico-the-king-camus-vs-brad-one-punch-pickett,1150-roufusport-mma-academy,Roufusport MMA Academy,
bobby-green-king,160820-ufc-fight-night-57-edson-junior-barboza-vs-bobby-king-green,65-pinnacle-mma,Pinnacle MMA,
edson-barboza-mendes-junior,160820-ufc-fight-night-57-edson-junior-barboza-vs-bobby-king-green,1424-the-armory,The Armory,Other
edson-barboza-mendes-junior,160820-ufc-fight-night-57-edson-junior-barboza-vs-bobby-king-green,29-american-top-team,American Top Team,Primary
cub-swanson,160818-ufc-fight-night-57-frankie-the-answer-edgar-vs-cub-swanson,60-jacksons-mma,Jackson Wink MMA Academy,
frankie-edgar-the-answer,160818-ufc-fight-night-57-frankie-the-answer-edgar-vs-cub-swanson,672-ricardo-almeida-jiu-jitsu,Ricardo Almeida Jiu Jitsu,
31517-alex-white-the-spartan,165200-ufc-181-cassius-clay-collard-vs-alex-the-spartan-white,1194-team-destruction,Team Destruction,
18435-clay-collard,165200-ufc-181-cassius-clay-collard-vs-alex-the-spartan-white,718-the-pit-elevated-fight-team,The Pit Elevated Fight Team,
matt-hobar,163886-ufc-181-sergio-the-phenom-pettis-vs-matt-the-crowbar-hobar,310-octagon-mma,Octagon MMA,
17135-sergio-pettis,163886-ufc-181-sergio-the-phenom-pettis-vs-matt-the-crowbar-hobar,1150-roufusport-mma-academy,Roufusport MMA Academy,
28705-ashlee-evans-smith,170977-ufc-181-rocky-raquel-pennington-vs-ashlee-evans-smith,67-reign-mma,Reign MMA,
26224-raquel-pennington,170977-ufc-181-rocky-raquel-pennington-vs-ashlee-evans-smith,597-altitude-mma,Altitude MMA,
37069-justin-jones,171751-ufc-181-corey-beastin-258-anderson-vs-justin-lazy-bones-jones,915-victory-mma,Victory MMA,
29807-corey-anderson,171751-ufc-181-corey-beastin-258-anderson-vs-justin-lazy-bones-jones,,Kennel Fight Club,
15051-ed-gordon,160583-ufc-181-josh-anqa-samman-vs-eddie-truck-gordon,1696-serra-jiu-jitsu,Serra Jiu-Jitsu,
josh-samman,160583-ufc-181-josh-anqa-samman-vs-eddie-truck-gordon,181-mma-masters,MMA MASTERS,
francisco-rivera-cisco,164966-ufc-181-the-california-kid-urijah-faber-vs-francisco-cisco-rivera-jr,2-csw-training-center,CSW Training Center,
urijah-faber-the-california-kid,164966-ufc-181-the-california-kid-urijah-faber-vs-francisco-cisco-rivera-jr,108-team-alpha-male,Team Alpha Male,
11520-abel-trujillo,160825-ufc-181-tony-el-cucuy-ferguson-vs-abel-killa-trujillo,31-blackzilians,Blackzilians Performance Institute,
tony-ferguson-el-cucuy,160825-ufc-181-tony-el-cucuy-ferguson-vs-abel-killa-trujillo,824-knuckleheadz-mma,Knuckleheadz Boxing,
19031-anthony-hamilton,159782-ufc-181-todd-duffee-vs-anthony-freight-train-hamilton,60-jacksons-mma,Jackson Wink MMA Academy,
todd-duffee,159782-ufc-181-todd-duffee-vs-anthony-freight-train-hamilton,63-american-kickboxing-academy,American Kickboxing Academy,
brendan-schaub-the-hybrid,157946-ufc-181-travis-hapa-browne-vs-brendan-big-brown-schaub,201-grudge-tc,Genesis Training Academy,
travis-browne-hapa,157946-ufc-181-travis-hapa-browne-vs-brendan-big-brown-schaub,60-jacksons-mma,Jackson Wink MMA Academy,
gilbert-melendez-el-nino,149571-ufc-181-anthony-showtime-pettis-vs-gilbert-el-nino-melendez,783-cesar-gracie-jiu-jitsu,Cesar Gracie Jiu Jitsu,
anthony-pettis-showtime,149571-ufc-181-anthony-showtime-pettis-vs-gilbert-el-nino-melendez,1150-roufusport-mma-academy,Roufusport MMA Academy,
johny-hendricks,160478-ufc-181-ruthless-robbie-lawler-vs-johny-big-rig-hendricks-ii,333-team-takedown,Team Takedown,
robbie-lawler-ruthless,160478-ufc-181-ruthless-robbie-lawler-vs-johny-big-rig-hendricks-ii,29-american-top-team,American Top Team,
57525-angela-hill-overkill,173483-the-ultimate-fighter-20-finale-angela-overkill-hill-vs-emily-kagan,233-alliance-mma,Alliance MMA,
31692-alex-chambers,173482-the-ultimate-fighter-20-finale-aisling-ais-the-bash-daly-vs-alex-astro-girl-chambers,11234-vt1-martial-arts,VT1 Martial Arts,
aisling-daly-ais-the-bash,173482-the-ultimate-fighter-20-finale-aisling-ais-the-bash-daly-vs-alex-astro-girl-chambers,36-straight-blast-gym-ireland,SBG Ireland,
angela-magana,173480-the-ultimate-fighter-20-finale-the-tiny-tornado-tecia-torres-vs-angela-your-majesty-magana,14-phuket-top-team,Phuket Top Team,
32610-tecia-torres-the-tiny-tornado,173480-the-ultimate-fighter-20-finale-the-tiny-tornado-tecia-torres-vs-angela-your-majesty-magana,29-american-top-team,American Top Team,
10097-seo-hee-ham,173481-the-ultimate-fighter-20-finale-joanne-jo-jo-calderwood-vs-seo-hee-ham,5-busan-team-mad,Busan Team MAD,
22500-joanne-calderwood,173481-the-ultimate-fighter-20-finale-joanne-jo-jo-calderwood-vs-seo-hee-ham,730-syndicate-mma,Syndicate MMA,
25143-bec-hyatt-rowdy,173479-the-ultimate-fighter-20-finale-heather-hurricane-clark-vs-bec-rowdy-rawlings,6383-gamebred-academy,Gamebred Academy,
12603-heather-clark-hurricane,173479-the-ultimate-fighter-20-finale-heather-hurricane-clark-vs-bec-rowdy-rawlings,60-jacksons-mma,Jackson Wink MMA Academy,
lisa-ward,173478-the-ultimate-fighter-20-finale-felice-the-lil-bulldog-herrig-vs-lisa-ellis,1102-united-training-center,United Training Center,
felice-herrig-lil-bulldog,173478-the-ultimate-fighter-20-finale-felice-the-lil-bulldog-herrig-vs-lisa-ellis,971-team-curran-mma,Team Curran MMA,
20984-randa-markos,174615-the-ultimate-fighter-20-finale-jessica-penne-vs-randa-quiet-storm-markos,963-michigan-top-team,Michigan Top Team,
jessica-pene,174615-the-ultimate-fighter-20-finale-jessica-penne-vs-randa-quiet-storm-markos,67-reign-mma,Reign MMA,
joe-proctor,159796-the-ultimate-fighter-20-finale-yancy-the-kid-medeiros-vs-joe-proctor,133-lauzon-mixed-martial-arts,Lauzon Mixed Martial Arts,
yancy-medeiros-frisson,159796-the-ultimate-fighter-20-finale-yancy-the-kid-medeiros-vs-joe-proctor,,Team Hakuilua,
kj-noons-king-karl,163883-the-ultimate-fighter-20-finale-detroit-superstar-daron-cruickshank-vs-kj-king-karl-noons,786-city-boxing,City Boxing,
daron-cruickshank,163883-the-ultimate-fighter-20-finale-detroit-superstar-daron-cruickshank-vs-kj-king-karl-noons,66-mash-fight-team,Mash Fight Team,
jeremy-stephens-lil-heathen,162133-the-ultimate-fighter-20-finale-charles-do-bronx-oliveira-vs-jeremy-lil-heathen-stephens,773-arena-mma,The Arena MMA,
charles-oliveira-do-bronx,162133-the-ultimate-fighter-20-finale-charles-do-bronx-oliveira-vs-jeremy-lil-heathen-stephens,248-bronxs-gold-team-texas,Gold Team Texas,
39227-rose-namajunas-the-riveter,174614-the-ultimate-fighter-20-finale-the-cookie-monster-carla-esparza-vs-thug-rose-namajunas,201-grudge-tc,Genesis Training Academy,
carla-esparza,174614-the-ultimate-fighter-20-finale-the-cookie-monster-carla-esparza-vs-thug-rose-namajunas,899-team-oyama,Team Oyama,
13551-Anthony-Birchak,160573-ufc-on-fox-13-ian-enty-entwistle-vs-anthony-el-toro-birchak,447-apex-mma,Apex MMA,
11144-dustin-kimura,165765-ufc-on-fox-13-henry-the-messenger-cejudo-vs-dustin-the-diamond-kimura,1628-gracie-technics,Gracie Technics,
42359-henry-cejudo,165765-ufc-on-fox-13-henry-the-messenger-cejudo-vs-dustin-the-diamond-kimura,451-fight-ready-mma,Fight Ready MMA,
24974-garett-whiteley,163884-ufc-on-fox-13-david-bulldawg-michaud-vs-garett-goodnight-whiteley,1213-indy-boxing-grappling,Indy Boxing & Grappling,
35899-david-michaud,163884-ufc-on-fox-13-david-bulldawg-michaud-vs-garett-goodnight-whiteley,1137-next-edge-academy-of-martial-arts,Next Edge Academy of Martial Arts,
5106-joe-ellenberger,159774-ufc-on-fox-13-bryan-bam-bam-barberena-vs-joe-excalibur-ellenberger,67-reign-mma,Reign MMA,
16876-bryan-barberena,159774-ufc-on-fox-13-bryan-bam-bam-barberena-vs-joe-excalibur-ellenberger,193-mma-lab,MMA Lab,
jamie-varner-c-4,158198-ufc-on-fox-13-drew-dober-vs-jamie-c-4-varner,193-mma-lab,MMA Lab,
drew-dober,158198-ufc-on-fox-13-drew-dober-vs-jamie-c-4-varner,588-mid-america-martial-arts,Mid-America Martial Arts,
joe-riggs-diesel,160487-ufc-on-fox-13-ben-killa-b-saunders-vs-joe-diesel-riggs,193-mma-lab,MMA Lab,
ben-saunders-killa-b,160487-ufc-on-fox-13-ben-killa-b-saunders-vs-joe-diesel-riggs,29-american-top-team,American Top Team,
willie-gates,172058-ufc-on-fox-13-john-moraga-vs-willie-whoop-ass-gates,65-pinnacle-mma,Pinnacle MMA,
12848-john-moraga,172058-ufc-on-fox-13-john-moraga-vs-willie-whoop-ass-gates,193-mma-lab,MMA Lab,
24807-claudia-gadelha,165230-ufc-on-fox-13-joanna-jdrzejczyk-vs-cludia-claudinha-gadelha,53-nova-unio,Nova União,
37708-joanna-jedrzejczyk,165230-ufc-on-fox-13-joanna-jdrzejczyk-vs-cludia-claudinha-gadelha,10-arrachion-olsztyn,Arrachion Olsztyn,
gabriel-gonzaga-napao,159830-ufc-on-fox-13-matt-meathead-mitrione-vs-gabriel-napo-gonzaga,291-team-link,Team Link,
stefan-struve-skyscraper,159695-ufc-on-fox-13-alistair-the-reem-overeem-vs-stefan-skyscraper-struve,3920-team-schreiber,Team Schreiber,Primary
stefan-struve-skyscraper,159695-ufc-on-fox-13-alistair-the-reem-overeem-vs-stefan-skyscraper-struve,6661-hard-knocks-365,Hard Knocks 365,Other
alistair-overeem-demolition-man,159695-ufc-on-fox-13-alistair-the-reem-overeem-vs-stefan-skyscraper-struve,60-jacksons-mma,Jackson Wink MMA Academy,
nate-diaz,160606-ufc-on-fox-13-rafael-dos-anjos-vs-nate-diaz,783-cesar-gracie-jiu-jitsu,Cesar Gracie Jiu Jitsu,
rafael-dos-anjos,160606-ufc-on-fox-13-rafael-dos-anjos-vs-nate-diaz,845-kings-mma,Kings MMA,
stipe-miocic,159679-ufc-on-fox-13-junior-cigano-dos-santos-vs-stipe-miocic,1532-strong-style-fight-team,Strong Style Fight Team,
junior-dos-santos-cigano,159679-ufc-on-fox-13-junior-cigano-dos-santos-vs-stipe-miocic,53-nova-unio,Nova União,
17087-jake-collier,165118-ufc-fight-night-58-vitor-lex-luthor-miranda-vs-jake-the-prototype-collier,10851-pat-smith-s-pit,Pat Smith's Pit,
11126-vitor-miranda,165118-ufc-fight-night-58-vitor-lex-luthor-miranda-vs-jake-the-prototype-collier,98-team-nogueira,Team Nogueira,
50934-marcio-alexandre-jr-lyoto,165211-ufc-fight-night-58-tim-the-dirty-bird-means-vs-marcio-lyoto-alexandre-jr,,Team Tavares,
3224-tim-means-the-dirty-bird,165211-ufc-fight-night-58-tim-the-dirty-bird-means-vs-marcio-lyoto-alexandre-jr,64-fit-nhb,Fit NHB,
19984-yuta-sasaki-ulka,163885-ufc-fight-night-58-leandro-brodinho-issa-vs-yuta-ulka-sasaki,4419-longo-and-weidman-mma,Longo's MMA,
leandro-thomas-issa-brodinho,163885-ufc-fight-night-58-leandro-brodinho-issa-vs-yuta-ulka-sasaki,167-evolve-mma,Evolve MMA,
darren-elkins,169403-ufc-fight-night-58-hacran-barnabe-dias-vs-darren-the-damage-elkins,1209-duneland-vale-tudo,Duneland Vale Tudo,
hacran-dias-barnabe,169403-ufc-fight-night-58-hacran-barnabe-dias-vs-darren-the-damage-elkins,53-nova-unio,Nova União,
3031-tom-niinimaki,174608-ufc-fight-night-58-renato-moicano-carneiro-vs-tom-stoneface-niinimaki,31-blackzilians,Blackzilians Performance Institute,
16950-renato-carneiro-moicano,174608-ufc-fight-night-58-renato-moicano-carneiro-vs-tom-stoneface-niinimaki,744-constrictor-team,Constrictor Team,
igor-pokrajac,160578-ufc-fight-night-58-marcos-pezo-rogrio-de-lima-vs-igor-the-duke-pokrajac,3094-american-top-team-zagreb,American Top Team Zagreb,
marcos-rogerio-de-lima-pezao,160578-ufc-fight-night-58-marcos-pezo-rogrio-de-lima-vs-igor-the-duke-pokrajac,29-american-top-team,American Top Team,
37560-antnio-dos-santos-jr-junior-alpha,174296-ufc-fight-night-58-daniel-sarafian-vs-antnio-junior-alpha-dos-santos-jr,181-mma-masters,MMA MASTERS,
daniel-sarafian,174296-ufc-fight-night-58-daniel-sarafian-vs-antnio-junior-alpha-dos-santos-jr,,Demian Maia JJ,
18711-mike-rhoads,165874-ufc-fight-night-58-erick-indio-silva-vs-mike-biggie-rhodes,1150-roufusport-mma-academy,Roufusport MMA Academy,
erick-silva-indio,165874-ufc-fight-night-58-erick-indio-silva-vs-mike-biggie-rhodes,98-team-nogueira,Team Nogueira,
31930-elias-silverio,162410-ufc-fight-night-58-rashid-highlander-magomedov-vs-elias-xuxu-silvrio,9249-team-silverio,Team Silvério,
rashid-magomedov,162410-ufc-fight-night-58-rashid-highlander-magomedov-vs-elias-xuxu-silvrio,3377-gorets,Gorets FT,
54308-antnio-carlos-junior-cara-de-sapato,162271-ufc-fight-night-58-patrick-durkin-cummins-vs-antnio-carlos-cara-de-sapato-jnior,29-american-top-team,American Top Team,
patrick-cummins,162271-ufc-fight-night-58-patrick-durkin-cummins-vs-antnio-carlos-cara-de-sapato-jnior,67-reign-mma,Reign MMA,
michel-gagnon,164970-ufc-fight-night-58-renan-the-baron-baro-vs-mitch-the-machine-gagnon,1022-team-shredder,Team Shredder,
renan-barao-barao,164970-ufc-fight-night-58-renan-the-baron-baro-vs-mitch-the-machine-gagnon,53-nova-unio,Nova União,
cb-dollaway-the-doberman,158283-ufc-fight-night-58-lyoto-the-dragon-machida-vs-cb-the-doberman-dollaway,194-power-mma,Power MMA,
lyoto-machida-the-dragon,158283-ufc-fight-night-58-lyoto-the-dragon-machida-vs-cb-the-doberman-dollaway,779-black-house-mma,Black House MMA,
54500-alexis-dufresne,175953-ufc-182-marion-the-bruiser-reneau-vs-alexis-sneaky-zebra-dufresne,,Top Rank Fitness,
37101-marion-reneau,175953-ufc-182-marion-the-bruiser-reneau-vs-alexis-sneaky-zebra-dufresne,,Team Rhino Elite,
20250-mats-nilsson,166136-ufc-182-omari-wolverine-akhmedov-vs-mats-nilsson,9339-kaisho-kampsport-klubb,Kaisho Kampsport Klubb,
40111-omari-akhmedov,166136-ufc-182-omari-wolverine-akhmedov-vs-mats-nilsson,2944-dagfighter,DagFighter,
rodrigo-damm,164036-ufc-182-evan-dunham-vs-rodrigo-damm,,Alliance Jiu-Jitsu,
evan-dunham-the-kid,164036-ufc-182-evan-dunham-vs-rodrigo-damm,724-xtreme-couture,Xtreme Couture,
63163-jared-cannonier,165050-ufc-182-shawn-the-savage-jordan-vs-jared-killa-gorilla-cannonier,193-mma-lab,MMA Lab,
shawn-jordan,165050-ufc-182-shawn-the-savage-jordan-vs-jared-killa-gorilla-cannonier,60-jacksons-mma,Jackson Wink MMA Academy,
marcus-brimage,171539-ufc-182-cody-no-love-garbrandt-vs-marcus-the-bama-beast-brimage,29-american-top-team,American Top Team,
21780-cody-garbrandt-no-love,171539-ufc-182-cody-no-love-garbrandt-vs-marcus-the-bama-beast-brimage,1532-strong-style-fight-team,Strong Style Fight Team,Primary
21780-cody-garbrandt-no-love,171539-ufc-182-cody-no-love-garbrandt-vs-marcus-the-bama-beast-brimage,108-team-alpha-male,Team Alpha Male,Other
danny-castillo-last-call,174221-ufc-182-paul-the-irish-dragon-felder-vs-danny-last-call-castillo,108-team-alpha-male,Team Alpha Male,
19266-paul-felder,174221-ufc-182-paul-the-irish-dragon-felder-vs-danny-last-call-castillo,360-renzo-gracie-pennsylvania,Renzo Gracie Pennsylvania,
josh-burkman-the-peoples-warrior,162766-ufc-182-hector-showeather-lombard-vs-josh-the-peoples-warrior-burkman,902-team-quest,Team Quest,
hector-lombard-shango,162766-ufc-182-hector-showeather-lombard-vs-josh-the-peoples-warrior-burkman,29-american-top-team,American Top Team,
