fighter_id,bout_id,gym_id,gym_name,gym_purpose
don-frye-the-predator,1291-ufc-8-don-the-predator-frye-vs-gary-big-daddy-goodridge-i,,Team Frye,
cal-worsham,ufc-9-cal-worsham-vs-zane-nasty-frazier,,Worsham Team X,
rafael-carino-earthquake,ufc-9-rafael-earthquake-carino-vs-matt-andersen,53-nova-unio,Nova União,
don-frye-the-predator,2782-ufc-9-don-the-predator-frye-vs-amaury-bitetti,,Team Frye,
ken-shamrock-the-worlds-most-dangerous-man,2786-ufc-9-dan-the-beast-severn-vs-the-worlds-most-dangerous-man-ken-shamrock-ii,298-lions-den,Lion's Den,
don-frye-the-predator,2797-ufc-10-don-the-predator-frye-vs-mark-the-cobra-hall,,Team Frye,
mark-coleman-the-hammer,2805-ufc-10-mark-the-hammer-coleman-vs-moti-the-hammer-horenstein,7988-immortal-martial-arts-center,Immortal Martial Arts Center,
don-frye-the-predator,2818-ufc-10-don-the-predator-frye-vs-brian-fury-johnston,,Team Frye,
mark-coleman-the-hammer,2821-ufc-10-mark-the-hammer-coleman-vs-gary-big-daddy-goodridge,7988-immortal-martial-arts-center,Immortal Martial Arts Center,
don-frye-the-predator,1162-ufc-10-mark-the-hammer-coleman-vs-don-the-predator-frye-i,,Team Frye,
mark-coleman-the-hammer,1162-ufc-10-mark-the-hammer-coleman-vs-don-the-predator-frye-i,7988-immortal-martial-arts-center,Immortal Martial Arts Center,
roberto-traven-spider,ufc-11-roberto-spider-traven-vs-dave-berry,,Alliance Team,
mark-coleman-the-hammer,1179-ufc-11-mark-the-hammer-coleman-vs-julian-sanchez,7988-immortal-martial-arts-center,Immortal Martial Arts Center,
jerry-bohlander,1192-ufc-11-jerry-bohlander-vs-fabio-gurgel,298-lions-den,Lion's Den,
mark-coleman-the-hammer,1196-ufc-11-mark-the-hammer-coleman-vs-brian-fury-johnston,7988-immortal-martial-arts-center,Immortal Martial Arts Center,
don-frye-the-predator,2674-ufc-115-don-the-predator-frye-vs-gary-big-daddy-goodridge-ii,,Team Frye,
cal-worsham,2680-ufc-115-david-tank-abbott-vs-cal-worsham,,Worsham Team X,
ken-shamrock-the-worlds-most-dangerous-man,2690-ufc-115-the-worlds-most-dangerous-man-ken-shamrock-vs-brian-fury-johnston,298-lions-den,Lion's Den,
don-frye-the-predator,2696-ufc-115-don-the-predator-frye-vs-mark-the-cobra-hall,,Team Frye,
don-frye-the-predator,2705-ufc-115-don-the-predator-frye-vs-david-tank-abbott,,Team Frye,
jerry-bohlander,1039-ufc-12-jerry-bohlander-vs-rainy-martinez,298-lions-den,Lion's Den,
wallid-ismail,1044-ufc-12-kazuo-yoshiki-takahashi-vs-wallid-ismail,,Brazil Dojo,
