id,ufcstats_id,sherdog_id,bestfightodds_id,ufc_id,name,event_order
ufc-1-the-beginning,,7,,,UFC 1: The Beginning,1
ufc-2-no-way-out,,8,,,UFC 2: No Way Out,2
ufc-3-the-american-dream,,9,,,UFC 3: The American Dream,3
ufc-4-revenge-of-the-warriors,,10,,,UFC 4: Revenge of the Warriors,4
ufc-5-return-of-the-beast,,11,,,UFC 5: Return of the Beast,5
ufc-6-clash-of-the-titans,,12,,,UFC 6: Clash of the Titans,6
ufc-7-the-brawl-in-buffalo,,13,,,UFC 7: The Brawl in Buffalo,7
ufc-75-ultimate-ultimate-1995,,14,,,UFC 7.5: Ultimate Ultimate 1995,8
ufc-8-david-vs-goliath,,15,,,UFC 8: David vs Goliath,9
ufc-9-motor-city-madness,,16,,,UFC 9: Motor City Madness,10
ufc-10-the-tournament,,17,,,UFC 10: The Tournament,11
ufc-11-the-proving-ground,,18,,,UFC 11: The Proving Ground,12
ufc-115-ultimate-ultimate-1996,,19,,,UFC 11.5: Ultimate Ultimate 1996,13
ufc-12-judgement-day,,20,,,UFC 12: Judgement Day,14
ufc-13-ultimate-force,,21,,,UFC 13: Ultimate Force,15
ufc-14-showdown,,22,,,UFC 14: Showdown,16
ufc-15-collision-course,,23,,,UFC 15: Collision Course,17
ufc-155-ultimate-japan,,24,,,UFC 15.5: Ultimate Japan,18
ufc-16-battle-in-the-bayou,,25,,,UFC 16: Battle in the Bayou,19
ufc-17-redemption,,26,,,UFC 17: Redemption,20
ufc-175-ultimate-brazil,,27,,,UFC 17.5: Ultimate Brazil,21
ufc-18-the-road-to-the-heavyweight-title,,28,,,UFC 18: The Road to the Heavyweight Title,22
ufc-19-ultimate-young-guns,,29,,,UFC 19: Ultimate Young Guns,23
ufc-20-battle-for-the-gold,,30,,,UFC 20: Battle for the Gold,24
ufc-21-return-of-the-champions,,31,,,UFC 21: Return of the Champions,25
ufc-22-only-one-can-be-champion,,32,,,UFC 22: Only One Can be Champion,26
ufc-23-ultimate-japan-2,,33,,,UFC 23: Ultimate Japan 2,27
ufc-24-first-defense,,34,,,UFC 24: First Defense,28
ufc-25-ultimate-japan-3,,35,,,UFC 25: Ultimate Japan 3,29
ufc-26-ultimate-field-of-dreams,,36,,,UFC 26: Ultimate Field of Dreams,30
ufc-27-ultimate-bad-boyz,,37,,,UFC 27: Ultimate Bad Boyz,31
ufc-28-high-stakes,,38,,,UFC 28: High Stakes,32
ufc-29-defense-of-the-belts,,39,,,UFC 29: Defense of the Belts,33
ufc-30-battle-on-the-boardwalk,,40,,,UFC 30: Battle on the Boardwalk,34
ufc-31-locked-and-loaded,,282,,,UFC 31: Locked and Loaded,35
ufc-32-showdown-in-the-meadowlands,,429,,,UFC 32: Showdown in the Meadowlands,36
ufc-33-victory-in-vegas,,430,,,UFC 33: Victory in Vegas,37
ufc-34-high-voltage,,540,,,UFC 34: High Voltage,38
ufc-35-throwdown,,668,,,UFC 35: Throwdown,39
ufc-36-worlds-collide,,771,,,UFC 36: Worlds Collide,40
ufc-37-high-impact,,850,,,UFC 37: High Impact,41
ufc-375-as-real-as-it-gets,9ccdd2ce45903f34,901,,,UFC 37.5: As Real As It Gets,42
ufc-38-brawl-at-the-hall,1dc56b59cb28425d,923,,,UFC 38: Brawl at the Hall,43
ufc-39-the-warriors-return,0cf935519d439ba6,1085,,,UFC 39: The Warriors Return,44
ufc-40-vendetta,e06fd1260ac865a7,1220,,,UFC 40: Vendetta,45
ufc-41-onslaught,bba678d312590087,1424,,,UFC 41: Onslaught,46
