bout_id,fighter_id,weigh_in_result_lbs,fight_night_weight_lbs,weight_gain_lbs
436790-ufc-on-espn-13-livia-renata-the-brazilian-gangsta-souza-vs-brianna-the-bull-van-buren,36437-brianna-vanburen,115.0,123.2,8.2
436790-ufc-on-espn-13-livia-renata-the-brazilian-gangsta-souza-vs-brianna-the-bull-van-buren,43265-livia-renata-souza,116.0,123.2,7.2
434724-ufc-on-espn-13-pingyuan-liu-vs-jonathan-dragon-martinez,41237-jonathon-martinez,136.0,155.4,19.4
434724-ufc-on-espn-13-pingyuan-liu-vs-jonathan-dragon-martinez,17551-pingyuan-liu,136.0,150.6,14.6
431899-ufc-on-espn-13-darren-the-damage-elkins-vs-ryan-the-wizard-hall,37328-ryan-hall,144.5,157.0,12.5
431899-ufc-on-espn-13-darren-the-damage-elkins-vs-ryan-the-wizard-hall,darren-elkins,145.5,167.4,21.9
438958-ufc-on-espn-13-julianna-the-venezuelan-vixen-pena-vs-nicco-montano,julianna-pena-the-venezuelan-vixen,135.5,142.2,6.7
438958-ufc-on-espn-13-julianna-the-venezuelan-vixen-pena-vs-nicco-montano,78912-nicco-montano,135.5,153.2,17.7
433419-ufc-on-espn-13-andre-touchy-fili-vs-sheymon-moraes,11328-andre-fili-dre-duke,145.5,160.6,15.1
433419-ufc-on-espn-13-andre-touchy-fili-vs-sheymon-moraes,32709-sheymon-da-silva-moraes,146.0,170.2,24.2
442380-ufc-on-espn-13-slow-mike-rodriguez-vs-john-allan,20841-mike-rodriguez,204.5,216.8,12.3
442380-ufc-on-espn-13-slow-mike-rodriguez-vs-john-allan,55658-john-allan,203.0,218.4,15.4
427057-ufc-on-espn-13-cezar-mutante-ferreira-vs-marvin-the-italian-dream-vettori,50533-marvin-vettori,185.5,211.0,25.5
427057-ufc-on-espn-13-cezar-mutante-ferreira-vs-marvin-the-italian-dream-vettori,cesar-jesus-ferreira-mutante,185.5,200.0,14.5
437981-ufc-on-espn-13-karl-baby-k-roberson-vs-wellington-fofao-turman,45190-karl-robinson,185.5,206.4,20.9
437981-ufc-on-espn-13-karl-baby-k-roberson-vs-wellington-fofao-turman,70129-wellington-turman-fofo,185.0,202.2,17.2
432727-ufc-on-espn-13-josh-emmett-vs-mirsad-bektic,51295-josh-emmett,146.0,166.8,20.8
432727-ufc-on-espn-13-josh-emmett-vs-mirsad-bektic,mirsad-bektic,145.0,166.8,21.8
434614-ufc-on-espn-13-the-california-kid-urijah-faber-vs-ricky-simon,urijah-faber-the-california-kid,135.5,153.6,18.1
434614-ufc-on-espn-13-the-california-kid-urijah-faber-vs-ricky-simon,33229-ricky-simon,134.5,151.8,17.3
434913-ufc-on-espn-13-aspen-ladd-vs-germaine-the-iron-lady-de-randamie,germaine-de-randamie-the-iron-lady,136.0,148.0,12.0
434913-ufc-on-espn-13-aspen-ladd-vs-germaine-the-iron-lady-de-randamie,45561-aspen-ladd,135.0,159.0,24.0
