bout_id,fighter_id,ko_tko_percentage,submission_percentage,decision_percentage,overall_percentage,num_picks
613113-ufc-fight-night-loma-lookboonmee-vs-lupita-loopy-godinez,174166-looma-lookboonmee,3.7,1.0,95.3,64,3071
613113-ufc-fight-night-loma-lookboonmee-vs-lupita-loopy-godinez,133312-lupita-godinez,4.8,13.1,82.1,36,3071
597795-ufc-fight-night-rafa-gifted-garcia-vs-natan-levy,105452-rafael-garcia-gifted,23.5,7.6,68.9,27,3097
597795-ufc-fight-night-rafa-gifted-garcia-vs-natan-levy,121270-natan-levy,12.7,17.4,69.9,73,3097
608313-ufc-fight-night-top-gun-tucker-lutz-vs-pat-sabatini,29210-pat-sabatini,7.7,37.6,54.6,67,3096
608313-ufc-fight-night-top-gun-tucker-lutz-vs-pat-sabatini,39248-tucker-lutz,20.9,2.2,76.9,33,3096
600092-ufc-fight-night-adrian-yanez-vs-dangerous-davey-grant,18815-david-grant,45.7,6.5,47.8,10,3227
600092-ufc-fight-night-adrian-yanez-vs-dangerous-davey-grant,34063-adrian-yanez,81.0,1.4,17.7,90,3227
604559-ufc-fight-night-rani-yahya-vs-kyung-ho-mr-perfect-kang,rani-yahya,2.1,72.7,25.2,59,3119
604559-ufc-fight-night-rani-yahya-vs-kyung-ho-mr-perfect-kang,kyung-ho-kang,18.8,5.4,75.8,41,3119
605051-ufc-fight-night-joanne-jojo-calderwood-vs-taila-santos,74022-taila-santos,8.1,3.6,88.3,79,3192
605051-ufc-fight-night-joanne-jojo-calderwood-vs-taila-santos,22500-joanne-calderwood,5.3,1.9,92.8,21,3192
597254-ufc-fight-night-michael-maverick-chiesa-vs-sean-brady,32242-sean-brady,15.3,39.0,45.7,61,3277
597254-ufc-fight-night-michael-maverick-chiesa-vs-sean-brady,15253-mike-chiesa-maverick,3.5,35.1,61.5,39,3277
602873-ufc-fight-night-ketlen-fenomeno-vieira-vs-miesha-cupcake-tate,miesha-tate-takedown,15.7,13.7,70.6,76,3246
602873-ufc-fight-night-ketlen-fenomeno-vieira-vs-miesha-cupcake-tate,99972-ketlen-vieira-fenomeno,17.5,13.3,69.2,24,3246
604623-ufc-fight-night-louis-da-last-samurai-smolka-vs-vince-vandetta-morales,91401-vince-morales,16.6,4.8,78.6,12,3478
604623-ufc-fight-night-louis-da-last-samurai-smolka-vs-vince-vandetta-morales,38968-louis-smolka-da-last-samurai,12.4,22.5,65.0,88,3478
596614-ufc-fight-night-claudio-el-nino-puelles-vs-chris-gritz-gruetzemacher,chris-gruetzemacher-gritz,15.1,4.2,80.7,24,3437
596614-ufc-fight-night-claudio-el-nino-puelles-vs-chris-gritz-gruetzemacher,53808-claudio-puelles,4.7,17.7,77.6,76,3437
615892-ufc-fight-night-alonzo-atomic-menifield-vs-william-knightmare-knight,120996-william-knight,83.4,0.9,15.7,30,3434
615892-ufc-fight-night-alonzo-atomic-menifield-vs-william-knightmare-knight,69032-alonzo-menifield,70.1,3.5,26.4,70,3434
614862-ufc-fight-night-mallory-martin-vs-cheyanne-the-warrior-princess-buys,66199-mallory-martin,2.3,9.1,88.5,16,3378
614862-ufc-fight-night-mallory-martin-vs-cheyanne-the-warrior-princess-buys,59694-cheyanne-vlismas,10.2,2.6,87.2,84,3378
618392-ufc-fight-night-bryan-bam-bam-barberena-vs-darian-weeks,125166-darian-weeks,66.4,2.5,31.1,35,3079
618392-ufc-fight-night-bryan-bam-bam-barberena-vs-darian-weeks,16876-bryan-barberena,32.0,3.8,64.2,65,3079
602223-ufc-fight-night-zhalgas-zhako-zhumagulov-vs-manel-starboy-kape,70075-manel-kape-prodigio,60.7,0.8,38.5,79,3520
602223-ufc-fight-night-zhalgas-zhako-zhumagulov-vs-manel-starboy-kape,82310-zhalgas-zhumagalov,6.5,12.7,80.9,21,3520
613841-ufc-fight-night-maki-coconut-bombz-pitolo-vs-dusko-thunder-todorovic,61535-maki-pitolo,57.3,2.2,40.5,27,3434
613841-ufc-fight-night-maki-coconut-bombz-pitolo-vs-dusko-thunder-todorovic,114625-duko-todorovi,60.1,4.4,35.5,73,3434
613718-ufc-fight-night-alex-the-great-white-morono-vs-mickey-gall,16353-alex-morono,29.1,2.7,68.2,87,3562
613718-ufc-fight-night-alex-the-great-white-morono-vs-mickey-gall,63731-mickey-gall,9.5,52.4,38.1,13,3562
616405-ufc-fight-night-brendan-all-in-allen-vs-chris-the-action-man-curtis,91516-brendan-allen,9.8,47.2,43.0,82,3474
616405-ufc-fight-night-brendan-all-in-allen-vs-chris-the-action-man-curtis,14863-christopher-curtis-the-action-man,82.9,3.1,14.0,18,3474
607790-ufc-fight-night-clay-the-carpenter-guida-vs-leonardo-santos,clay-guida-the-carpenter,7.9,3.9,88.2,22,3576
607790-ufc-fight-night-clay-the-carpenter-guida-vs-leonardo-santos,leonardo-santos,12.0,27.8,60.2,78,3576
597796-ufc-fight-night-the-brute-jimmy-crute-vs-jamahal-sweet-dreams-hill,126283-jim-chute,21.5,59.4,19.1,79,3635
597796-ufc-fight-night-the-brute-jimmy-crute-vs-jamahal-sweet-dreams-hill,120815-jamahal-hill,75.3,2.3,22.5,21,3635
597055-ufc-fight-night-rafael-ataman-fiziev-vs-brad-quake-riddell,146061-brad-riddell-quake,15.8,0.7,83.5,48,3643
597055-ufc-fight-night-rafael-ataman-fiziev-vs-brad-quake-riddell,108035-rafael-fiziev,21.5,1.4,77.1,52,3643
602356-ufc-fight-night-rob-font-vs-jose-aldo-junior,jose-aldo-junior,22.3,1.2,76.4,53,3716
602356-ufc-fight-night-rob-font-vs-jose-aldo-junior,rob-font,28.9,0.9,70.2,47,3716
