cutoff_year,best_params,log_loss
2018,"{""k"": 11, ""C"": 2.4145178784698276}",0.6075017433000337
2019,"{""k"": 27, ""C"": 0.021197637118698816}",0.6094438971504486
2020,"{""k"": 37, ""C"": 0.010710475690463503}",0.6111459742728841
2021,"{""k"": 30, ""C"": 99.86780868415683}",0.6083235938006593
2022,"{""k"": 35, ""C"": 0.01551987352128103}",0.6079185216769544
2023,"{""k"": 97, ""C"": 0.006784801974808964}",0.6056520722482548
