id,event_id,bout_order,fighter_1_id,fighter_2_id,fighter_1_weight_lbs,fighter_2_weight_lbs,fighter_1_fighting_out_of,fighter_2_fighting_out_of,decision_type
815,39,1,519,143,170.0,169.0,"Concord, CA","Irvine, CA",Unanimous Decision
816,39,2,180,248,204.0,203.5,"Columbus, OH","Rio de Janeiro, Brazil",Unanimous Decision
819,39,3,151,537,205.0,197.5,,,Unanimous Decision
822,39,4,200,325,152.0,153.0,"Davenport, IA","Hilo, HI",Majority Decision
831,40,1,251,518,169.0,170.0,,,Unanimous Decision
840,41,1,511,487,170.0,168.5,,,Unanimous Decision
834,41,2,258,462,155.0,154.0,"Kanagawa, Japan","The Woodlands, TX",Unanimous Decision
844,42,1,541,546,169.0,167.0,"Olympia, WA","Long Island, NY",Unanimous Decision
846,42,2,151,111,204.0,205.0,"San Luis Obispo, CA","Rio de Janeiro, Brazil",Unanimous Decision
856,43,1,172,551,205.0,203.0,"Gresham, OR","Brisbane, Australia",Unanimous Decision
857,43,2,248,256,204.0,202.0,"Rio de Janeiro, Brazil","Sydney, Australia",Unanimous Decision
850,43,3,547,548,199.0,202.0,"Hesperia, CA","Watford, London, England",Unanimous Decision
860,44,1,250,389,183.5,184.0,"Eagle Creek, OR","Seattle, WA",Unanimous Decision
863,44,2,258,309,154.0,152.0,"Kanagawa, Japan","Orlando, FL",Unanimous Decision
864,44,3,325,329,154.0,154.0,"Wainaku, Hilo, HI","Long Island, NY",Unanimous Decision
887,46,1,309,329,155.0,154.0,"Orlando, FL","Long Island, NY",Split Decision
888,46,2,454,168,218.0,230.0,"Los Angeles, CA","Rio de Janeiro, Brazil",Unanimous Decision
889,46,3,250,253,184.0,184.0,"Eagle Creek, OR","Long Island, NY",Unanimous Decision
890,46,4,325,258,152.0,155.0,"Hilo, HI","Kanagawa, Japan",Split Draw
907,47,1,319,557,155.0,154.0,,,Unanimous Decision
908,47,2,488,521,155.0,155.0,,,Unanimous Decision
911,47,3,534,553,170.0,170.0,,,Unanimous Decision
913,47,4,204,251,170.0,168.0,"Hillsboro, IL","Oak Grove, MN",Unanimous Decision
811,48,1,462,535,155.0,154.0,,,Unanimous Decision
809,48,2,516,215,208.0,220.0,,,Split Draw
802,49,1,414,447,184.0,185.0,,,Unanimous Decision
805,49,2,120,113,205.0,204.0,"Gresham, OR","Huntington Beach, CA",Unanimous Decision
790,50,1,168,453,243.0,246.0,,,Unanimous Decision
791,50,2,511,241,169.0,169.0,,,Unanimous Decision
779,51,1,329,527,154.0,154.0,,,Unanimous Decision
780,51,2,514,319,155.0,155.0,,,Unanimous Decision
781,51,3,289,390,167.0,169.0,,,Unanimous Decision
785,51,4,513,156,174.0,175.0,,,Unanimous Decision
776,52,1,462,319,155.0,155.0,"The Woodlands, TX","Fort Lauderdale, FL",Split Decision
765,53,1,329,520,155.0,154.0,,,Unanimous Decision
766,53,2,172,253,185.0,183.0,,,Unanimous Decision
767,53,3,204,513,170.0,170.0,,,Unanimous Decision
735,54,1,390,436,169.0,168.0,,,Split Decision
