cutoff_year,best_params,log_loss
2016,"{""k"": 21, ""C"": 0.05057388215089057}",0.6149264733124198
2017,"{""k"": 25, ""C"": 0.015708841557212135}",0.6163787044605362
2018,"{""k"": 33, ""C"": 65.1650471786545}",0.613931126694693
2019,"{""k"": 16, ""C"": 8.071412649498418}",0.6166446069977488
2020,"{""k"": 53, ""C"": 0.008689414022565822}",0.6179642826191104
2021,"{""k"": 85, ""C"": 0.005081199129083133}",0.617586818815185
2022,"{""k"": 73, ""C"": 0.012761657180526832}",0.6115034331906477
2023,"{""k"": 59, ""C"": 0.02006834259030595}",0.6099297167462429
