bout_id,person_name,media_name,fighter_1_score,fighter_2_score,order
360,,Sherdog.com,30,27,3
361,,MMAWeekly.com,29,28,1
361,,Sherdog.com,29,28,2
361,,FightMetric.com,30,27,3
361,,MMAJunkie.com,30,27,4
363,,FightMetric.com,30,27,1
363,,MMAJunkie.com,29,28,2
363,,MMAWeekly.com,29,28,3
363,,Sherdog.com,29,28,4
867,,MMAWeekly.com,29,28,1
867,,Sherdog.com,29,29,2
868,,MMAWeekly.com,29,28,1
868,,Sherdog.com,29,28,2
871,,MMAWeekly.com,30,27,1
871,,Sherdog.com,30,27,2
874,,MMAWeekly.com,29,27,1
874,,Sherdog.com,29,28,2
875,,Sherdog.com,29,28,1
875,,MMAWeekly.com,29,28,2
898,,MMAWeekly.com,30,27,1
898,,Sherdog.com,30,27,2
900,,Sherdog.com,30,27,1
900,,MMAWeekly.com,30,27,2
902,,FightMetric.com,29,28,1
902,,MMAWeekly.com,29,28,2
902,,Sherdog.com,29,28,3
918,,Sherdog.com,30,27,1
1618,,MMAWeekly.com,30,27,1
1619,,MMAWeekly.com,30,27,1
923,,MMAWeekly.com,30,27,1
923,,MMAJunkie.com,29,28,2
923,,Sherdog.com,29,28,3
925,,MMAWeekly.com,30,27,1
925,,MMAJunkie.com,30,27,2
925,,Sherdog.com,30,27,3
932,Mike Fridley,Sherdog.com,29,28,1
932,,MMAJunkie.com,29,28,2
932,,FightMetric.com,29,28,3
932,Josh Gross,Sherdog.com,30,27,4
932,,MMAWeekly.com,29,28,5
935,,MMAJunkie.com,30,27,1
937,,MMAJunkie.com,30,27,1
955,,Sherdog.com,30,27,1
955,,MMAWeekly.com,29,28,2
955,,MMAJunkie.com,29,28,3
946,TJ DeSantis,Sherdog.com,30,27,1
946,,MMAWeekly.com,29,28,2
946,,MMAJunkie.com,29,28,3
946,Jordan Breen,Sherdog.com,29,28,4
946,Mike Fridley,Sherdog.com,29,28,5
948,,MMAJunkie.com,29,29,1
948,Mike Fridley,Sherdog.com,29,28,2
948,TJ DeSantis,Sherdog.com,29,28,3
948,,MMAWeekly.com,29,28,4
948,Jordan Breen,Sherdog.com,29,28,5
956,,MMAWeekly.com,29,28,1
956,,Sherdog.com,29,28,2
956,,MMAJunkie.com,29,28,3
957,,MMAWeekly.com,30,27,1
957,,MMAJunkie.com,30,27,2
957,,Sherdog.com,29,28,3
960,Jordan Breen,Sherdog.com,30,27,1
960,Mike Fridley,Sherdog.com,30,27,2
960,,MMAJunkie.com,30,27,3
960,Josh Gross,Sherdog.com,30,27,4
1626,,MMAWeekly.com,29,28,1
1626,,Sherdog.com,30,27,2
1630,,MMAWeekly.com,29,28,1
1630,TJ DeSantis,Sherdog.com,29,28,2
1630,Mike Fridley,Sherdog.com,30,27,3
1630,Jordan Breen,Sherdog.com,30,28,4
966,,MMAJunkie.com,29,28,1
966,,Sherdog.com,29,28,2
966,,MMAWeekly.com,30,27,3
969,,MMAWeekly.com,30,27,1
969,,MMAJunkie.com,30,27,2
969,,Sherdog.com,30,27,3
971,,MMAWeekly.com,29,28,1
971,Mike Fridley,Sherdog.com,29,28,2
971,TJ DeSantis,Sherdog.com,29,28,3
971,Josh Gross,Sherdog.com,29,28,4
971,,FightMetric.com,30,28,5
971,,MMAJunkie.com,30,27,6
974,,MMAWeekly.com,29,28,1
974,Josh Gross,Sherdog.com,29,28,2
974,TJ DeSantis,Sherdog.com,29,28,3
974,Mike Fridley,Sherdog.com,29,28,4
974,,MMAJunkie.com,29,28,5
1635,,Sherdog.com,29,29,1
1635,,MMAWeekly.com,29,28,2
1637,,Sherdog.com,30,27,1
1637,,MMAWeekly.com,30,27,2
1643,,Sherdog.com,30,27,1
1643,,MMAWeekly.com,30,27,2
981,,MMAWeekly.com,29,28,1
981,,Sherdog.com,30,27,2
981,,MMAJunkie.com,30,27,3
987,Mike Fridley,Sherdog.com,30,27,1
987,TJ DeSantis,Sherdog.com,30,27,2
987,,MMAWeekly.com,30,27,3
987,,MMAJunkie.com,29,28,4
990,,MMAWeekly.com,29,28,1
990,,MMAJunkie.com,29,28,2
990,,Sherdog.com,29,28,3
996,Mike Fridley,Sherdog.com,30,27,1
996,Jordan Breen,Sherdog.com,30,27,2
996,,MMAWeekly.com,30,27,3
996,,MMAJunkie.com,30,26,4
996,TJ DeSantis,Sherdog.com,30,27,5
1002,,MMAJunkie.com,29,28,1
1002,,Sherdog.com,29,28,2
1002,,MMAWeekly.com,29,28,3
1006,TJ DeSantis,Sherdog.com,30,27,1
1006,,MMAJunkie.com,30,28,2
1006,Mike Fridley,Sherdog.com,30,27,3
1006,,FightMetric.com,30,27,4
1006,,MMAWeekly.com,30,27,5
1006,Jordan Breen,Sherdog.com,30,27,6
1645,,Sherdog.com,30,27,1
1645,,MMAWeekly.com,29,28,2
1649,,Sherdog.com,29,28,1
1649,,MMAWeekly.com,29,28,2
1650,,Sherdog.com,29,28,1
1650,,MMAWeekly.com,30,27,2
1652,Jordan Breen,Sherdog.com,30,27,1
1652,TJ DeSantis,Sherdog.com,29,28,2
1652,Mike Fridley,Sherdog.com,29,28,3
1652,,MMAWeekly.com,29,28,4
1655,Mike Fridley,Sherdog.com,49,46,1
1655,,MMAWeekly.com,50,45,2
1655,Jordan Breen,Sherdog.com,50,45,3
1655,TJ DeSantis,Sherdog.com,50,45,4
1011,,Sherdog.com,29,28,1
1011,,MMAJunkie.com,29,28,2
1017,TJ DeSantis,Sherdog.com,28,27,1
1017,Mike Fridley,Sherdog.com,28,27,2
1017,,MMAJunkie.com,28,27,3
1017,,MMAWeekly.com,28,27,4
1017,,FightMetric.com,28,27,5
1017,Jordan Breen,Sherdog.com,28,27,6
1018,,MMAWeekly.com,29,27,1
1018,,MMAJunkie.com,29,27,2
1018,TJ DeSantis,Sherdog.com,29,27,3
1018,Mike Fridley,Sherdog.com,29,27,4
1018,Jordan Breen,Sherdog.com,28,28,5
1027,,MMAWeekly.com,30,27,1
1027,,MMAJunkie.com,30,27,2
1027,Jordan Breen,Sherdog.com,30,27,3
1027,Mike Fridley,Sherdog.com,30,27,4
1028,,MMAWeekly.com,29,28,1
1028,,MMAJunkie.com,29,28,2
1028,Jordan Breen,Sherdog.com,29,28,3
1028,Mike Fridley,Sherdog.com,29,28,4
1031,Mike Fridley,Sherdog.com,30,27,1
1031,,MMAWeekly.com,29,27,2
1031,,MMAJunkie.com,30,27,3
1031,Jordan Breen,Sherdog.com,30,27,4
1031,,FightMetric.com,30,27,5
1036,Mike Fridley,Sherdog.com,30,27,1
1036,TJ DeSantis,Sherdog.com,30,27,2
1036,,MMAJunkie.com,30,27,3
1036,,MMAWeekly.com,30,27,4
1036,Jordan Breen,Sherdog.com,30,27,5
1037,,MMAJunkie.com,30,27,1
1037,Mike Fridley,Sherdog.com,30,26,2
1037,,MMAWeekly.com,30,26,3
1037,TJ DeSantis,Sherdog.com,30,26,4
1037,Jordan Breen,Sherdog.com,30,26,5
1039,Mike Fridley,Sherdog.com,29,28,1
1039,Jordan Breen,Sherdog.com,29,28,2
1039,TJ DeSantis,Sherdog.com,29,28,3
1039,,MMAJunkie.com,29,28,4
1039,,FightMetric.com,29,28,5
1039,,MMAWeekly.com,29,28,6
1040,,MMAJunkie.com,48,47,1
1040,TJ DeSantis,Sherdog.com,49,46,2
1040,Jordan Breen,Sherdog.com,47,47,3
1040,,FightMetric.com,47,47,4
1040,Mike Fridley,Sherdog.com,48,46,5
1040,,MMAWeekly.com,48,46,6
1049,,MMAJunkie.com,30,27,1
1049,,Sherdog.com,30,27,2
1049,,MMAWeekly.com,30,27,3
1050,,Sherdog.com,30,27,1
1050,,MMAJunkie.com,30,27,2
1050,,MMAWeekly.com,30,27,3
1656,,Sherdog.com,30,27,1
1062,,MMAWeekly.com,30,27,1
1062,,Sherdog.com,30,27,2
1062,,MMAJunkie.com,30,26,3
1063,,MMAWeekly.com,30,27,1
1063,,MMAJunkie.com,30,27,2
1063,,Sherdog.com,30,27,3
1057,,MMAWeekly.com,30,27,1
1057,,MMAJunkie.com,30,27,2
1057,,Sherdog.com,30,27,3
1053,Greg Savage,Sherdog.com,30,27,1
1053,TJ DeSantis,Sherdog.com,30,27,2
1053,Jordan Breen,Sherdog.com,30,27,3
1053,,MMAWeekly.com,30,27,4
1053,,FightMetric.com,30,27,5
1053,,MMAJunkie.com,30,27,6
1055,,FightMetric.com,30,26,1
1055,,MMAWeekly.com,30,26,2
1055,Greg Savage,Sherdog.com,30,26,3
1055,,MMAJunkie.com,30,27,4
1055,Jordan Breen,Sherdog.com,30,27,5
1055,TJ DeSantis,Sherdog.com,30,27,6
1056,TJ DeSantis,Sherdog.com,50,44,1
1056,,MMAJunkie.com,50,44,2
1056,,FightMetric.com,50,44,3
1056,Greg Savage,Sherdog.com,50,43,4
1056,Jordan Breen,Sherdog.com,50,43,5
1056,,MMAWeekly.com,50,43,6
1064,,Sherdog.com,29,28,1
1064,,MMAWeekly.com,29,28,2
1064,,MMAJunkie.com,29,28,3
1067,,Sherdog.com,29,28,1
1067,,MMAJunkie.com,29,27,2
1067,,MMAWeekly.com,29,27,3
1068,Jordan Breen,Sherdog.com,29,28,1
1068,,MMAWeekly.com,29,28,2
1068,Mike Fridley,Sherdog.com,29,28,3
