id,name,promotion,date,venue,location,event_order
829,UFC 214: Cormier vs. Jones 2,UFC,2017-07-29,Honda Center,"Anaheim, California, USA",785
830,UFC Fight Night 114: Pettis vs. Moreno,UFC,2017-08-05,Arena Ciudad de México,"Mexico City, Mexico",786
831,Bellator 182: Koreshkov vs. Njokuani,BELLATOR,2017-08-25,Turning Stone Resort & Casino,"Verona, New York, USA",787
833,Invicta FC 25: Kunitskaya vs. Pa'aluhi,INVICTA,2017-08-31,Tachi Palace,"Lemoore, California, USA",788
834,UFC Fight Night 115: Volkov vs. Struve,UFC,2017-09-02,Ahoy Rotterdam,"Rotterdam, Netherlands",789
835,UFC 215: Nunes vs. Shevchenko 2,UFC,2017-09-09,Rogers Place,"Edmonton, Alberta, Canada",790
837,CWFC 86: Wood vs. Reed,CW,2017-09-16,indigo at the O2,"London, England",791
836,UFC Fight Night 116: Rockhold vs. Branch,UFC,2017-09-16,PPG Paints Arena,"Pittsburgh, Pennsylvania, USA",792
839,UFC Fight Night 117: Saint Preux vs. Okami,UFC,2017-09-23,Saitama Super Arena,"Saitama, Japan",793
840,Bellator 183: Henderson vs. Pitbull,BELLATOR,2017-09-23,SAP Center,"San Jose, California, USA",794
841,Bellator 184: Dantas vs. Caldwell,BELLATOR,2017-10-06,WinStar World Casino,"Thackerville, Oklahoma, USA",795
842,UFC 216: Ferguson vs. Lee,UFC,2017-10-07,T-Mobile Arena,"Las Vegas, Nevada, USA",796
843,CWFC 87: Long vs. Soldic,CW,2017-10-14,Newport Centre,"Newport, Wales",797
844,Bellator 185: Mousasi vs. Shlemenko,BELLATOR,2017-10-20,Mohegan Sun Arena,"Uncasville, Connecticut, USA",798
845,UFC Fight Night 118: Cerrone vs. Till,UFC,2017-10-21,Ergo Arena,"Gdansk, Poland",799
846,KSW 40: Dublin,KSW,2017-10-22,3Arena,"Dublin, Ireland",800
847,CWFC 88: Fishgold vs Jacobsen,CW,2017-10-28,Echo Arena,"Liverpool, England",801
848,UFC Fight Night 119: Brunson vs. Machida,UFC,2017-10-28,Ginásio do Ibirapuera,"São Paulo, Brazil",802
849,Bellator 186: Bader vs. Vassell,BELLATOR,2017-11-03,Bryce Jordan Center,"University Park, Pennsylvania, USA",803
850,UFC 217: Bisping vs. St-Pierre,UFC,2017-11-04,Madison Square Garden,"New York City, New York, USA",804
851,Bellator 187: McKee vs. Moore,BELLATOR,2017-11-10,3Arena,"Dublin, Ireland",805
852,UFC Fight Night 120: Poirier vs. Pettis,UFC,2017-11-11,Ted Constant Convocation Center,"Norfolk, Virginia, USA",806
853,Bellator 188: Lahat vs. Labiano,BELLATOR,2017-11-16,Menora Mivtachim Arena,"Tel Aviv,",807
854,UFC Fight Night 121: Werdum vs. Tybura,UFC,2017-11-19,Qudos Bank Arena,"Sydney, Australia",808
855,UFC Fight Night 122: Bisping vs. Gastelum,UFC,2017-11-25,Mercedes Benz Arena,"Shanghai, China",809
856,CWFC 89: Amoussou vs. Steele,CW,2017-11-25,Lotto Arena,"Antwerp,",810
857,Bellator 189: Budd vs. Blencowe 2,BELLATOR,2017-12-01,WinStar World Casino,"Thackerville, Oklahoma, USA",811
858,TUF 26 Finale: A New World Champion Finale,UFC,2017-12-01,Park Theater,"Paradise, Nevada, USA",812
859,UFC 218: Holloway vs. Aldo 2,UFC,2017-12-02,Little Caesars Arena,"Detroit, Michigan, USA",813
860,Invicta FC 26: Maia vs. Niedwiedz,INVICTA,2017-12-08,Scottish Rite Temple,"Kansas City, Missouri, USA",814
861,UFC Fight Night 123: Swanson vs. Ortega,UFC,2017-12-09,Save Mart Center,"Fresno, California, USA",815
862,Bellator 190: Carvalho vs. Sakara,BELLATOR,2017-12-09,Nelson Mandela Forum,"Florence, Italy",816
863,Bellator 191: McDonald vs. Ligier,BELLATOR,2017-12-15,Metro Radio Arena,"Newcastle, England",817
864,UFC on Fox 26: Lawler vs. dos Anjos,UFC,2017-12-16,Bell MTS Place,"Winnipeg, Manitoba, Canada",818
865,KSW 41: Mankowski vs. Soldic,KSW,2017-12-23,Spodek,"Katowice, Poland",819
866,UFC 219: Cyborg vs. Holm,UFC,2017-12-30,T-Mobile Arena,"Paradise, Nevada, USA",820
867,Invicta FC 27: Kaufman vs. Kianzad,INVICTA,2018-01-13,Scottish Rite Temple,"Kansas City, Missouri, USA",821
868,UFC Fight Night 124: Stephens vs. Choi,UFC,2018-01-14,Scottrade Center,"St. Louis, Missouri, USA",822
869,Bellator 192: Rampage vs. Sonnen,BELLATOR,2018-01-20,The Forum,"Inglewood, California, USA",823
870,UFC 220: Miocic vs. Ngannou,UFC,2018-01-20,TD Garden,"Boston, Massachusetts, USA",824
871,Bellator 193: Larkin vs. Gonzalez,BELLATOR,2018-01-26,Pechanga Resort and Casino,"Temecula, California, USA",825
872,UFC on Fox 27: Jacaré vs. Brunson 2,UFC,2018-01-27,Spectrum Center,"Charlotte, North Carolina, USA",826
873,UFC Fight Night 125: Machida vs. Anders,UFC,2018-02-03,Arena Guilherme Paraense,"Belém, Brazil",827
874,UFC 221: Romero vs. Rockhold,UFC,2018-02-10,Perth Arena,"Perth, Australia",828
875,Bellator 194: Mitrione vs. Nelson 2,BELLATOR,2018-02-16,Mohegan Sun Arena,"Uncasville, Connecticut, USA",829
876,UFC Fight Night 126: Cowboy vs. Medeiros,UFC,2018-02-18,Frank Erwin Center,"Austin, Texas, USA",830
878,CWFC 90: McCann vs. Tyrell,CW,2018-02-24,Echo Arena,"Liverpool, England",831
877,UFC on Fox 28: Emmett vs. Stephens,UFC,2018-02-24,Amway Center,"Orlando, Florida, USA",832
879,Bellator 195: Caldwell vs. Higo,BELLATOR,2018-03-02,WinStar World Casino,"Thackerville, Oklahoma, USA",833
882,CWFC 91: Reed vs. Bouland,CW,2018-03-03,Newport Centre,"Newport, Wales",834
881,KSW 42: Khalidov vs. Narkun,KSW,2018-03-03,Atlas Arena,"Lodz, Poland",835
880,UFC 222: Cyborg vs. Kunitskaya,UFC,2018-03-03,T-Mobile Arena,"Las Vegas, Nevada, USA",836
883,UFC Fight Night 127: Werdum vs. Volkov,UFC,2018-03-17,The O2 Arena,"London, England",837
884,CWFC 92: Super Saturday,CW,2018-03-24,Indigo at the O2,"London, England",838
885,Invicta FC 28: Mizuki vs. Jandiroba,INVICTA,2018-03-24,Union Event Center,"Salt Lake City, Utah, USA",839
886,Bellator 196: Henderson vs. Huerta,BELLATOR,2018-04-06,Budapest Sports Arena,"Budapest, Hungary",840
887,UFC 223: Khabib vs. Iaquinta,UFC,2018-04-07,Barclays Center,"Brooklyn, New York, USA",841
888,Bellator 197: Chandler vs. Girtz,BELLATOR,2018-04-13,Family Arena,"St. Charles, Missouri, USA",842
889,KSW 43: Soldic vs. Du Plessis,KSW,2018-04-14,Centennial Hall,"Wrocław, Poland",843
890,UFC on Fox 29: Poirier vs. Gaethje,UFC,2018-04-14,Gila River Arena,"Glendale, Arizona, USA",844
891,UFC Fight Night 128: Barboza vs. Lee,UFC,2018-04-21,Boardwalk Hall,"Atlantic City, New Jersey, USA",845
893,Bellator 198: Fedor vs. Mir,BELLATOR,2018-04-28,Allstate Arena,"Rosemont, Illinois, USA",846
892,CWFC 93: Dalby vs Pedersoli Jr.,CW,2018-04-28,Lisebergshallen,"Gothenburg, Sweden",847
894,Invicta FC 29: Kaufman vs. Lehner,INVICTA,2018-05-04,Scottish Rite Temple,"Kansas City, Missouri, USA",848
896,UFC 224: Nunes vs. Pennington,UFC,2018-05-12,Jeunesse Arena,"Rio de Janeiro, Brazil",849
895,Bellator 199: Bader vs. King Mo,BELLATOR,2018-05-12,SAP Center,"San Jose, California, USA",850
897,UFC Fight Night 129: Maia vs. Usman,UFC,2018-05-19,Movistar Arena,"Santiago, Chile",851
899,Bellator 200: Carvalho vs. Mousasi,BELLATOR,2018-05-25,"The SSE Arena, Wembley","London, England",852
898,UFC Fight Night 130: Thompson vs. Till,UFC,2018-05-27,Echo Arena,"Liverpool, England",853
900,UFC Fight Night 131: Rivera vs. Moraes,UFC,2018-06-01,Adirondack Bank Center,"Utica, New York, USA",854
1170,PFL 1: 2018 Season,PFL,2018-06-07,Hulu Theater,"New York, New York, USA",855
902,UFC 225: Whittaker vs. Romero 2,UFC,2018-06-09,United Center,"Chicago, Illinois, USA",856
901,KSW 44: The Game,KSW,2018-06-09,Ergo Arena,"Gdansk, Poland",857
903,CWFC 94: Bouland vs. Topuria,CW,2018-06-16,Lotto Arena,"Antwerp,",858
1171,PFL 2: 2018 Season,PFL,2018-06-21,Chicago Theatre,"Chicago, Illinois, USA",859
904,UFC Fight Night 132: Cowboy vs. Edwards,UFC,2018-06-23,Singapore Indoor Stadium,"Kallang, Singapore",860
905,Bellator 201: Macfarlane vs. Lara,BELLATOR,2018-06-29,Pechanga Resort and Casino,"Temecula, California, USA",861
1172,PFL 3: 2018 Season,PFL,2018-07-05,Charles E. Smith Center,"Washington, District of Columbia, USA",862
906,TUF 27 Finale: Undefeated Finale,UFC,2018-07-06,Pearl Theatre,"Las Vegas, Nevada, USA",863
907,UFC 226: Miocic vs. Cormier,UFC,2018-07-07,T-Mobile Arena,"Las Vegas, Nevada, USA",864
908,Bellator 202: Budd vs. Nogueira,BELLATOR,2018-07-13,WinStar World Casino,"Thackerville, Oklahoma, USA",865
910,Bellator 203: Pitbull vs. Weichel 2,BELLATOR,2018-07-14,Foro Italico,"Rome, Italy",866
909,UFC Fight Night 133: dos Santos vs. Ivanov,UFC,2018-07-14,CenturyLink Arena,"Boise, Idaho, USA",867
1173,PFL 4: 2018 Season,PFL,2018-07-19,Nassau Coliseum,"Uniondale, New York, USA",868
911,CWFC 95: Janzemini vs. Paterno,CW,2018-07-21,O2 Indigo,"London, England",869
912,Invicta FC 30: Frey vs. Grusander,INVICTA,2018-07-21,Scottish Rite Temple,"Kansas City, Missouri, USA",870
913,UFC Fight Night 134: Shogun vs. Smith,UFC,2018-07-22,Barclaycard Arena,"Hamburg, Germany",871
914,UFC on Fox 30: Alvarez vs. Poirier 2,UFC,2018-07-28,Scotiabank Saddledome,"Calgary, Alberta, Canada",872
1174,PFL 5: 2018 Season,PFL,2018-08-02,Nassau Coliseum,"Uniondale, New York, USA",873
915,UFC 227: Dillashaw vs. Garbrandt 2,UFC,2018-08-04,Staples Center,"Los Angeles, California, USA",874
1175,PFL 6: 2018 Season,PFL,2018-08-16,Ocean Casino Resort,"Atlantic City, New Jersey, USA",875
916,Bellator 204: Caldwell vs. Lahat,BELLATOR,2018-08-17,Sanford Pentagon,"Sioux Falls, South Dakota, USA",876
917,UFC Fight Night 135: Gaethje vs. Vick,UFC,2018-08-25,Pinnacle Bank Arena,"Lincoln, Nebraska, USA",877
1176,PFL 7: 2018 Season,PFL,2018-08-30,Ocean Resort Casino,"Atlantic City, New Jersey, USA",878
918,CWFC 96: Pimblett vs. Bak,CW,2018-09-01,Echo Arena,"Liverpool, England",879
919,Invicta FC 31: Jandiroba vs. Morandin,INVICTA,2018-09-01,Scottish Rite Temple,"Kansas City, Missouri, USA",880
920,UFC 228: Woodley vs. Till,UFC,2018-09-08,Woodley vs. Till,"Dallas, Texas, USA",881
921,UFC Fight Night 136: Hunt vs. Oliynyk,UFC,2018-09-15,Olimpiyskiy Stadium,"Moscow, Russia",882
923,Bellator 205: McKee vs. Macapá,BELLATOR,2018-09-21,CenturyLink Arena,"Boise, Idaho, USA",883
924,UFC Fight Night 137: Santos vs. Anders,UFC,2018-09-22,Ginásio do Ibirapuera,"São Paulo, Brazil",884
925,CWFC 97: Shore vs. Maia,CW,2018-09-29,Ice Arena Wales,"Cardiff, Wales",885
926,Bellator 206: Mousasi vs. MacDonald,BELLATOR,2018-09-29,SAP Center,"San Jose, California, USA",886
1178,PFL 8: 2018 Season,PFL,2018-10-05,New Orleans Morial Convention Center,"New Orleans, Louisiana, USA",887
928,KSW 45: The Return to Wembley,KSW,2018-10-06,"The SSE Arena, Wembley","London, England",888
927,UFC 229: Khabib vs. McGregor,UFC,2018-10-06,T-Mobile Arena,"Las Vegas, Nevada, USA",889
929,Bellator 207: Mitrione vs. Bader,BELLATOR,2018-10-12,Mohegan Sun Arena,"Uncasville, Connecticut, USA",890
930,Bellator 208: Fedor vs. Sonnen,BELLATOR,2018-10-13,Nassau Coliseum,"Uniondale, New York, USA",891
1179,PFL 9: 2018 Season,PFL,2018-10-13,Long Beach Arena,"Long Beach, California, USA",892
931,CWFC 98: Paterno vs. Houston,CW,2018-10-20,Genting Arena,"Birmingham, England",893
1180,PFL 10: 2018 Season,PFL,2018-10-20,St. Elizabeths East Entertainment and Sports Arena,"Washington, District of Columbia, USA",894
932,UFC Fight Night 138: Volkan vs. Smith,UFC,2018-10-27,Avenir Centre,"Moncton, New Brunswick, Canada",895
933,UFC 230: Cormier vs. Lewis,UFC,2018-11-03,Madison Square Garden,"New York City, New York, USA",896
934,UFC Fight Night 139: Korean Zombie vs. Rodríguez,UFC,2018-11-10,Pepsi Center,"Denver, Colorado, USA",897
939,Bellator 209: Pitbull vs. Sanchez,BELLATOR,2018-11-15,Menora Mivtachim Arena,"Tel Aviv, Israel",898
935,Invicta FC 32: Spencer vs. Sorenson,INVICTA,2018-11-16,FireLake Arena,"Shawnee, Oklahoma, USA",899
936,CWFC 99: Webb vs. Radcliffe,CW,2018-11-17,Charter Hall,"Colchester, England",900
937,UFC Fight Night 140: Magny vs. Ponzinibbio,UFC,2018-11-17,Estadio Mary Terán de Weiss,"Buenos Aires, Argentina",901
938,UFC Fight Night 141: Blaydes vs. Ngannou 2,UFC,2018-11-24,Cadillac Arena,"Beijing, China",902
941,Bellator 210: Njokuani vs. Salter,BELLATOR,2018-11-30,WinStar World Casino and Resort,"Thackerville, Oklahoma, USA",903
940,TUF 28 Finale: Heavy Hitters,UFC,2018-11-30,Pearl Theatre at Palms Casino Resort,"Las Vegas, Nevada, USA",904
943,Bellator 211: Sakara vs. Kauppinen,BELLATOR,2018-12-01,RDS Stadium,"Genoa, Italy",905
942,KSW 46: Narkun vs. Khalidov,KSW,2018-12-01,Gliwice Arena,"Gliwice, Poland",906
944,UFC Fight Night 142: dos Santos vs. Tuivasa,UFC,2018-12-02,Adelaide Entertainment Centre,"Adelaide, Australia",907
947,UFC 231: Holloway vs. Ortega,UFC,2018-12-08,Scotiabank Arena,"Toronto, Ontario, Canada",908
948,Bellator 212: Primus vs. Chandler 2,BELLATOR,2018-12-14,Neal S. Blaisdell Arena,"Honolulu, Hawaii, USA",909
950,Bellator 213: Macfarlane vs. Létourneau,BELLATOR,2018-12-15,Neal S. Blaisdell Arena,"Honolulu, Hawaii, USA",910
949,UFC on Fox 31: Lee vs. Iaquinta 2,UFC,2018-12-15,Fiserv Forum,"Milwaukee, Wisconsin, USA",911
951,Invicta FC 33: Frey vs. Grusander II,INVICTA,2018-12-15,Scottish Rite Temple,"Kansas City, Missouri, USA",912
952,UFC 232: Jones vs. Gustafsson 2,UFC,2018-12-29,The Forum,"Inglewood, California, USA",913
1181,PFL 11: 2018 Season,PFL,2018-12-31,Hulu Theater at Madison Square Garden,"New York, New York, USA",914
953,UFC Fight Night on ESPN+ 1: Cejudo vs. Dillashaw,UFC,2019-01-19,Barclays Center,"Brooklyn, New York, USA",915
954,Bellator 214: Fedor vs. Bader,BELLATOR,2019-01-26,The Forum,"Inglewood, California, USA",916
955,UFC on ESPN+ 2: Assunção vs. Moraes 2,UFC,2019-02-02,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil",917
956,Bellator Newcastle: Pitbull vs. Scope,BELLATOR,2019-02-09,Utilita Arena,"Newcastle, England",918
957,UFC 234: Adesanya vs. Silva,UFC,2019-02-10,Rod Laver Arena,"Melbourne, Australia",919
959,Invicta FC 34: Porto vs. Gonzalez,INVICTA,2019-02-15,Memorial Hall,"Kansas City, Missouri, USA",920
958,Bellator 215: Mitrione vs. Kharitonov,BELLATOR,2019-02-15,Mohegan Sun Arena,"Uncasville, Connecticut, USA",921
960,Bellator 216: MVP vs. Daley,BELLATOR,2019-02-16,Mohegan Sun Arena,"Uncasville, Connecticut, USA",922
961,CW 101: Cage Warriors 101,CW,2019-02-16,Exhibition Centre,"Liverpool, England",923
962,UFC on ESPN 1: Ngannou vs. Velasquez,UFC,2019-02-17,Talking Stick Resort Arena,"Phoenix, Arizona, USA",924
964,Bellator 217: Gallagher vs. Graham,BELLATOR,2019-02-23,3Arena,"Dublin, Ireland",925
963,UFC on ESPN+ 3: Blachowicz vs. Santos,UFC,2019-02-23,O2 Arena,"Prague, Czech Republic",926
966,CW 102: Webb vs. Robertsen,CW,2019-03-02,Indigo at the O2,"London, England",927
965,UFC 235: Jones vs. Smith,UFC,2019-03-02,T-Mobile Arena,"Las Vegas, Nevada, USA",928
968,UFC on ESPN+ 4: Lewis vs. dos Santos,UFC,2019-03-09,Intrust Bank Arena,"Wichita, Kansas, USA",929
967,CW 103: Dalby vs. Lohore,CW,2019-03-09,K.B. Hallen,"Copenhagen, Denmark",930
969,UFC on ESPN+ 5: Till vs. Masvidal,UFC,2019-03-16,The O2 Arena,"London, England",931
970,Bellator 218: Sanchez vs. Karakhanyan 2,BELLATOR,2019-03-22,WinStar World Casino,"Thackerville, Oklahoma, USA",932
971,UFC on ESPN+ 6: Thompson vs. Pettis,UFC,2019-03-23,Bridgestone Arena,"Nashville, Tennessee, USA",933
972,KSW 47: The X-Warriors,KSW,2019-03-23,Atlas Arena,"Lodz, Poland",934
973,Bellator 219: Awad vs. Girtz,BELLATOR,2019-03-29,Pechanga Resort & Casino,"Temecula, California, USA",935
974,UFC on ESPN 2: Barboza vs. Gaethje,UFC,2019-03-30,Wells Fargo Center,"Philadelphia, Pennsylvania, USA",936
975,UFC 236: Holloway vs. Poirier 2,UFC,2019-04-13,State Farm Arena,"Atlanta, Georgia, USA",937
976,UFC on ESPN+ 7: Overeem vs. Oleinik,UFC,2019-04-20,Yubileyny Sports Palace,"Saint Petersburg, Russia",938
980,KSW 48: Szymanski vs. Parnasse,KSW,2019-04-27,Hala Globus,"Lubin, Poland",939
979,CW 104: Shore vs. Malone,CW,2019-04-27,Viola Arena,"Cardiff, Wales",940
978,Bellator 220: MacDonald vs. Fitch,BELLATOR,2019-04-27,SAP Center,"San Jose, California, USA",941
977,UFC on ESPN+ 8: Jacaré vs. Hermansson,UFC,2019-04-27,BB&T Center,"Sunrise, Florida, USA",942
982,Invicta: Phoenix Series 1,INVICTA,2019-05-03,Memorial Hall,"Kansas City, Missouri, USA",943
983,Birmingham: Primus vs. Wilde,BELLATOR,2019-05-04,Resorts World Arena,"Birmingham, England",944
981,UFC on ESPN+ 9: Iaquinta vs. Cowboy,UFC,2019-05-04,Canadian Tire Centre,"Ottawa, Ontario, Canada",945
1185,PFL 1: 2019 Season,PFL,2019-05-09,Nassau Coliseum,"Uniondale, New York, USA",946
985,UFC 237: Namajunas vs. Andrade,UFC,2019-05-11,Jeunesse Arena,"Rio de Janeiro, Brazil",947
984,Bellator 221: Chandler vs. Pitbull,BELLATOR,2019-05-11,Allstate Arena,"Rosemont, Illinois, USA",948
986,KSW 49: Materla vs. Askham 2,KSW,2019-05-18,Ergo Arena,"Gdansk, Poland",949
987,UFC on ESPN+ 10: dos Anjos vs. Lee,UFC,2019-05-18,Blue Cross Arena,"Rochester, New York, USA",950
1186,PFL 2: 2019 Season,PFL,2019-05-23,Nassau Coliseum,"Uniondale, New York, USA",951
989,CW 105: Barnett vs. Carter,CW,2019-05-31,Colchester Charter Hall,"Colchester, England",952
988,UFC on ESPN+ 11: Gustafsson vs. Smith,UFC,2019-06-01,Ericsson Globe,"Stockholm, Sweden",953
1187,PFL 3: 2019 Season,PFL,2019-06-06,Nassau Coliseum,"Uniondale, New York, USA",954
990,Invicta FC 35: Bennett vs. Rodriguez II,INVICTA,2019-06-07,Memorial Hall,"Kansas City, Kansas, USA",955
991,UFC 238: Cejudo vs. Moraes,UFC,2019-06-08,United Center,"Chicago, Illinois, USA",956
992,Bellator 222: MacDonald vs. Gracie,BELLATOR,2019-06-14,Madison Square Garden,"New York City, New York, USA",957
994,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,UFC,2019-06-22,Bon Secours Wellness Arena,"Greenville, South Carolina, USA",958
993,Bellator 223: Bellator London,BELLATOR,2019-06-22,SSE Arena,"London, England",959
995,CW 106: Night of Champions,CW,2019-06-29,Hammersmith Apollo,"London, England",960
996,UFC on ESPN 3: Ngannou vs. dos Santos,UFC,2019-06-29,Target Center,"Minneapolis, Minnesota, USA",961
997,UFC 239: Jones vs. Santos,UFC,2019-07-06,T-Mobile Arena,"Las Vegas, Nevada, USA",962
1188,PFL 4: 2019 Season,PFL,2019-07-11,Ocean Resort Casino,"Atlantic City, New Jersey, USA",963
998,Bellator 224: Budd vs. Rubin,BELLATOR,2019-07-12,WinStar World Casino,"Thackerville, Oklahoma, USA",964
999,UFC on ESPN+ 13: de Randamie vs. Ladd,UFC,2019-07-13,Golden 1 Center,"Sacramento, California, USA",965
1000,UFC on ESPN 4: dos Anjos vs. Edwards,UFC,2019-07-20,AT&T Center,"San Antonio, Texas, USA",966
1190,PFL 5: 2019 Season,PFL,2019-07-25,Ocean Resort Casino,"Atlantic City, New Jersey, USA",967
1001,UFC 240: Holloway vs. Edgar,UFC,2019-07-27,Rogers Place,"Edmonton, Alberta, Canada",968
1002,UFC on ESPN 5: Covington vs. Lawler,UFC,2019-08-03,Prudential Center,"Newark, New Jersey, USA",969
1191,PFL 6: 2019 Season,PFL,2019-08-08,Ocean Resort Casino,"Atlantic City, New Jersey, USA",970
1004,Invicta FC 36: Sorenson vs. Young,INVICTA,2019-08-09,Memorial Hall,"Kansas City, Kansas, USA",971
1003,UFC on ESPN+ 14: Shevchenko vs. Carmouche 2,UFC,2019-08-10,Antel Arena,"Montevideo,",972
1005,UFC 241: Cormier vs. Miocic 2,UFC,2019-08-17,Honda Center,"Anaheim, California, USA",973
1007,UFC on ESPN+ 15: Andrade vs. Zhang,UFC,2019-08-31,Shenzhen Universiade Sports Centre,"Shenzhen, China",974
1008,Cage Warriors: Unplugged 2,CW,2019-09-06,BT Sport Studios,"London, England",975
1009,Invicta: Phoenix Series 2,INVICTA,2019-09-06,Memorial Hall,"Kansas City, Missouri, USA",976
1010,UFC 242: Khabib vs. Poirier,UFC,2019-09-07,"The Arena, Yas Island","Abu Dhabi, United Arab Emirates",977
1011,Bellator 226: Bader vs. Kongo,BELLATOR,2019-09-07,SAP Center,"San Jose, California, USA",978
1013,KSW 50: London,KSW,2019-09-14,Wembley Arena,"London, England",979
1012,UFC on ESPN+ 16: Cerrone vs. Gaethje,UFC,2019-09-14,Rogers Arena,"Vancouver, British Columbia, Canada",980
1014,UFC on ESPN+ 17: Rodríguez vs. Stephens,UFC,2019-09-21,Mexico City Arena,"Mexico City, Mexico",981
1018,Bellator 228: Machida vs. Mousasi,BELLATOR,2019-09-28,The Forum,"Inglewood, California, USA",982
1015,UFC on ESPN+ 18: Hermansson vs. Cannonier,UFC,2019-09-28,Royal Arena,"Copenhagen, Denmark",983
1016,Bellator 227: Bellator Dublin,BELLATOR,2019-09-28,3Arena,"Dublin, Ireland",984
1017,CW 107: Aspinall vs. Ben Hamouda,CW,2019-09-28,Exhibition Centre Liverpool,"Liverpool, England",985
1019,Bellator 229: Koreshkov vs. Larkin,BELLATOR,2019-10-04,Pechanga Resort and Casino,"Temecula, California, USA",986
1020,Invicta FC 37: Gonzalez vs. Sanchez,INVICTA,2019-10-04,Memorial Hall,"Kansas City, Kansas, USA",987
1021,UFC 243: Whittaker vs. Adesanya,UFC,2019-10-06,Marvel Stadium,"Melbourne, Australia",988
1192,PFL 7: 2019 Season,PFL,2019-10-11,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",989
1024,CW 108: Jones vs. Mantykivi,CW,2019-10-12,Viola Arena,"Cardiff, Wales",990
1023,UFC on ESPN+ 19: Joanna vs. Waterson,UFC,2019-10-12,Amalie Arena,"Tampa, Florida, USA",991
1022,Bellator 230: Bellator Milan,BELLATOR,2019-10-12,PalaLido,"Milan, Italy",992
1193,PFL 8: 2019 Season,PFL,2019-10-17,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",993
1025,UFC on ESPN 6: Reyes vs. Weidman,UFC,2019-10-18,TD Garden,"Boston, Massachusetts, USA",994
1026,Bellator 231: Mir vs. Nelson 2,BELLATOR,2019-10-25,Mohegan Sun Arena,"Uncasville, Connecticut, USA",995
1027,UFC on ESPN+ 20: Maia vs. Askren,UFC,2019-10-26,Singapore Indoor Stadium,"Kallang, Singapore",996
1028,Bellator 232: MacDonald vs. Lima 2,BELLATOR,2019-10-26,Mohegan Sun Arena,"Uncasville, Connecticut, USA",997
1029,CW 109: Herbert vs Carrizosa,CW,2019-10-26,Resorts World Arena,"Birmingham, England",998
1194,PFL 9: 2019 Season,PFL,2019-10-31,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",999
1030,Invicta FC 38: Murata vs. Ducote,INVICTA,2019-11-01,Memorial Hall,"Kansas City, Kansas, USA",1000
1031,UFC 244: Masvidal vs. Diaz,UFC,2019-11-02,Madison Square Garden,"New York City, New York, USA",1001
1032,Bellator 233: Salter vs. van Steenis,BELLATOR,2019-11-08,WinStar World Casino,"Thackerville, Oklahoma, USA",1002
1035,KSW 51: Zagreb,KSW,2019-11-09,Arena Zagreb,"Zagreb, Croatia",1003
1034,CW 110: McKee vs. Foss,CW,2019-11-09,Neptune Stadium,"Cork, Ireland",1004
1033,UFC on ESPN+ 21: Magomedsharipov vs. Kattar,UFC,2019-11-09,CSKA Arena,"Moscow, Russia",1005
1037,Bellator 234: Kharitonov vs. Vassell,BELLATOR,2019-11-14,Menora Mivtachim Arena,"Tel Aviv,",1006
1036,UFC on ESPN+ 22: Blachowicz vs. Jacare,UFC,2019-11-16,GinÃ¡sio do Ibirapuera,"Sao Paulo, Brazil",1007
1039,CW 111: Cage Warriors 111,CW,2019-11-22,indigo at The O2,"London, England",1008
1038,Bellator London 2: MVP vs. Melillo,BELLATOR,2019-11-23,The SSE Arena,"London, England",1009
1041,KSW 52: The Race: Askham vs. Khalidov,KSW,2019-12-07,Gliwice Arena,"Gliwice, Poland",1010
1040,UFC on ESPN 7: Overeem vs. Rozenstruik,UFC,2019-12-07,Capital One Arena,"Washington, District of Columbia, USA",1011
1042,UFC 245: Usman vs. Covington,UFC,2019-12-14,T-Mobile Arena,"Las Vegas, Nevada, USA",1012
1044,Bellator 235: Miesch vs. Perez,BELLATOR,2019-12-20,Neal S. Blaisdell Arena,"Honolulu, Hawaii, USA",1013
1045,Bellator 236: Macfarlane vs. Jackson,BELLATOR,2019-12-21,Neal S. Blaisdell Arena,"Honolulu, Hawaii, USA",1014
1043,UFC on ESPN+ 23: Edgar vs. The Korean Zombie,UFC,2019-12-21,Sajik Arena,"Busan, South Korea",1015
1046,Bellator 237: Fedor vs. Rampage,BELLATOR,2019-12-29,Saitama Super Arena,"Saitama, Japan",1016
1195,PFL 10: 2019 Season,PFL,2019-12-31,Hulu Theater at Madison Square Garden,"New York, New York, USA",1017
1047,UFC 246: McGregor vs. Cowboy,UFC,2020-01-18,T-Mobile Arena,"Las Vegas, Nevada, USA",1018
1048,Bellator 238: Budd vs. Cyborg,BELLATOR,2020-01-25,The Forum,"Inglewood, California, USA",1019
1049,UFC on ESPN+ 24: Blaydes vs. dos Santos,UFC,2020-01-25,PNC Arena,"Raleigh, North Carolina, USA",1020
1050,Invicta FC 39: Frey vs. Cummins II,INVICTA,2020-02-07,Memorial Hall,"Kansas City, Kansas, USA",1021
1051,UFC 247: Jones vs. Reyes,UFC,2020-02-08,Toyota Center,"Houston, Texas, USA",1022
