id,name,promotion,date,venue,location,event_order
630,WSOF 21: Palmer vs. Horodecki,WSOF,2015-06-05,Edmonton Expo Centre,"Edmonton, Alberta, Canada",608
631,UFC Fight Night 68: Boetsch vs. Henderson,UFC,2015-06-06,Smoothie King Center,"New Orleans, Louisiana, USA",609
632,UFC 188: Velasquez vs. Werdum,UFC,2015-06-13,Arena Ciudad de México,"Mexico City, Mexico",610
633,Bellator 138: Unfinished Business,BELLATOR,2015-06-19,Scottrade Center,"St. Louis, Missouri, USA",611
634,UFC Fight Night 69: Jedrzejczyk vs. Penne,UFC,2015-06-20,O2 World,"Berlin, Germany",612
635,Bellator 139: Kongo vs. Volkov,BELLATOR,2015-06-26,Kansas Star Casino,"Mulvane, Kansas, USA",613
636,UFC Fight Night 70: Machida vs. Romero,UFC,2015-06-27,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, USA",614
810,Invicta FC 13: Cyborg vs. Van Duin,INVICTA,2015-07-09,Cosmopolitan of Las Vegas,"Las Vegas, Nevada, USA",615
637,UFC 189: Mendes vs. McGregor,UFC,2015-07-11,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",616
638,TUF 21 Finale: ATT vs. Blackzilians,UFC,2015-07-12,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",617
639,UFC Fight Night 71: Mir vs. Duffee,UFC,2015-07-15,Valley View Casino Center,"San Diego, California, USA",618
640,Bellator 140: Lima vs. Koreshkov,BELLATOR,2015-07-17,Mohegan Sun Arena,"Uncasville, Connecticut, USA",619
641,UFC Fight Night 72: Bisping vs. Leites,UFC,2015-07-18,The SSE Hydro,"Glasgow, Scotland",620
642,UFC on Fox 16: Dillashaw vs. Barao 2,UFC,2015-07-25,United Center,"Chicago, Illinois, USA",621
643,UFC 190: Rousey vs. Correia,UFC,2015-08-01,HSBC Arena,"Rio de Janeiro, Brazil",622
644,WSOF 22: Palhares vs. Shields,WSOF,2015-08-01,Planet Hollywood Resort & Casino,"Las Vegas, Nevada, USA",623
645,UFC Fight Night 73: Teixeira vs. Saint Preux,UFC,2015-08-08,Bridgestone Arena,"Nashville, Tennessee, USA",624
646,UFC Fight Night 74: Holloway vs. Oliveira,UFC,2015-08-23,SaskTel Centre,"Saskatoon, Saskatchewan, Canada",625
647,Bellator 141: Guillard vs. Girtz,BELLATOR,2015-08-28,Pechanga Resort and Casino,"Temecula, California, USA",626
648,UFC 191: Johnson vs. Dodson 2,UFC,2015-09-05,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",627
813,Invicta FC 14: Evinger vs. Kianzad,INVICTA,2015-09-12,Municipal Auditorium,"Kansas City, Missouri, USA",628
650,WSOF 23: Gaethje vs. Palomino II,WSOF,2015-09-18,Comerica Theatre,"Phoenix, Arizona, USA",629
651,Bellator 142: Dynamite!,BELLATOR,2015-09-19,SAP Center,"San Jose, California, USA",630
652,Bellator 143: Warren vs. Davis,BELLATOR,2015-09-25,State Farm Arena,"Hidalgo, Texas, USA",631
653,UFC Fight Night 75: Barnett vs. Nelson,UFC,2015-09-27,Saitama Super Arena,"Saitama, Japan",632
654,UFC 192: Cormier vs. Gustafsson,UFC,2015-10-03,Toyota Center,"Houston, Texas, USA",633
655,WSOF 24: Fitch vs. Okami,WSOF,2015-10-17,Foxwoods Resort Casino,"Mashantucket, Massachusetts, USA",634
656,Bellator 144: Halsey vs. Carvalho,BELLATOR,2015-10-23,Mohegan Sun Arena,"Uncasville, Connecticut, USA",635
657,UFC Fight Night 76: Holohan vs. Smolka,UFC,2015-10-24,3Arena,"Dublin, Ireland",636
658,KSW 32: Road to Wembley,KSW,2015-10-31,Wembley Arena,"London, England",637
660,Bellator 145: With a Vengeance,BELLATOR,2015-11-06,Scottrade Center,"St. Louis, Missouri, USA",638
661,UFC Fight Night 77: Belfort vs. Henderson 3,UFC,2015-11-07,Ginásio do Ibirapuera,"São Paulo, Brazil",639
662,UFC 193: Rousey vs. Holm,UFC,2015-11-15,Etihad Stadium,"Melbourne, Australia",640
664,WSOF 25: Lightweight Tournament,WSOF,2015-11-20,Comerica Theatre,"Phoenix, Arizona, USA",641
663,Bellator 146: Kato vs. Manhoef,BELLATOR,2015-11-20,WinStar World Casino,"Thackerville, Oklahoma, USA",642
665,UFC Fight Night 78: Magny vs. Gastelum,UFC,2015-11-21,Arena Monterrey,"Monterrey, Mexico",643
668,KSW 33: Khalidov vs. Materla,KSW,2015-11-28,Tauron Arena,"Krakow, Poland",644
667,UFC Fight Night 79: Henderson vs. Masvidal,UFC,2015-11-28,Olympic Gymnastics Arena,"Seoul, South Korea",645
670,Bellator 147: Thomson vs. Villaseca,BELLATOR,2015-12-04,San Jose State University,"San Jose, California, USA",646
671,UFC Fight Night 80: Namajunas vs. VanZant,UFC,2015-12-10,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada, USA",647
672,TUF 22 Finale: Team McGregor vs. Team Faber,UFC,2015-12-11,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada, USA",648
673,UFC 194: Aldo vs. McGregor,UFC,2015-12-12,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",649
