bout_id,fighter_last_name,ko_tko_percentage,submission_percentage,decision_percentage,overall_percentage,num_picks
44288-ufc-on-fuel-tv-2-james-head-vs-papy-makambo-abedi,Abedi,82.8,2.8,14.4,93.0,968
44288-ufc-on-fuel-tv-2-james-head-vs-papy-makambo-abedi,Head,12.3,33.9,53.9,7.0,968
44635-ufc-on-fuel-tv-2-brad-one-punch-pickett-vs-damacio-the-angel-of-death-page,Pickett,17.7,29.9,52.4,90.0,1031
44635-ufc-on-fuel-tv-2-brad-one-punch-pickett-vs-damacio-the-angel-of-death-page,Page,36.8,17.9,45.3,10.0,1031
43915-ufc-on-fuel-tv-2-john-the-one-maguire-vs-damarques-darkness-johnson,Johnson,22.6,15.8,61.6,61.0,997
43915-ufc-on-fuel-tv-2-john-the-one-maguire-vs-damarques-darkness-johnson,Maguire,6.1,34.0,60.0,39.0,997
46140-ufc-on-fuel-tv-2-dennis-siver-vs-diego-the-gun-nunes,Nunes,7.5,10.0,82.5,70.0,1054
46140-ufc-on-fuel-tv-2-dennis-siver-vs-diego-the-gun-nunes,Siver,44.7,2.3,53.1,30.0,1054
44414-ufc-on-fuel-tv-2-siyar-the-great-bahadurzada-vs-paulo-thiago,Thiago,6.8,58.4,34.8,78.0,1038
44414-ufc-on-fuel-tv-2-siyar-the-great-bahadurzada-vs-paulo-thiago,Bahadurzada,60.0,2.7,37.3,22.0,1038
44291-ufc-on-fuel-tv-2-all-american-brian-stann-vs-alessio-legionarius-sakara,Stann,85.4,2.8,11.9,94.0,1125
44291-ufc-on-fuel-tv-2-all-american-brian-stann-vs-alessio-legionarius-sakara,Sakara,62.5,7.8,29.7,6.0,1125
50212-ufc-on-fuel-tv-2-alexander-the-mauler-gustafsson-vs-thiago-silva,Silva,72.0,5.5,22.6,27.0,1068
50212-ufc-on-fuel-tv-2-alexander-the-mauler-gustafsson-vs-thiago-silva,Gustafsson,65.5,5.5,29.0,73.0,1068
45857-ufc-145-marcus-the-bama-beast-brimage-vs-maximo-maxi-blanco,Blanco,69.8,9.5,20.6,79.0,1216
45857-ufc-145-marcus-the-bama-beast-brimage-vs-maximo-maxi-blanco,Brimage,41.2,6.5,52.2,21.0,1216
44427-ufc-145-chris-the-menace-clements-vs-keith-the-polish-connection-wisniewski,Wisniewski,10.4,21.7,67.9,43.0,1141
44427-ufc-145-chris-the-menace-clements-vs-keith-the-polish-connection-wisniewski,Clements,46.1,7.6,46.3,57.0,1141
44362-ufc-145-mac-danzig-vs-efrain-hecho-en-mexico-escudero,Escudero,10.1,18.8,71.1,31.0,1289
44362-ufc-145-mac-danzig-vs-efrain-hecho-en-mexico-escudero,Danzig,8.4,15.7,75.9,69.0,1289
44845-ufc-145-anthony-the-assassin-njokuani-vs-john-the-bull-makdessi,Njokuani,36.2,2.8,61.0,77.0,1268
44845-ufc-145-anthony-the-assassin-njokuani-vs-john-the-bull-makdessi,Makdessi,28.6,8.2,63.2,23.0,1268
48084-ufc-145-matt-the-immortal-brown-vs-stephen-wonderboy-thompson,Thompson,67.2,6.5,26.3,84.0,1281
48084-ufc-145-matt-the-immortal-brown-vs-stephen-wonderboy-thompson,Brown,26.9,19.8,53.3,16.0,1281
43400-ufc-145-travis-hapa-browne-vs-chad-the-grave-digger-griggs,Browne,75.4,1.9,22.8,75.0,1332
43400-ufc-145-travis-hapa-browne-vs-chad-the-grave-digger-griggs,Griggs,84.5,2.5,13.0,25.0,1332
53798-ufc-145-mark-bocek-vs-john-the-natural-alessio,Bocek,2.7,53.7,43.5,90.0,1197
53798-ufc-145-mark-bocek-vs-john-the-natural-alessio,Alessio,7.0,16.7,76.3,10.0,1197
44194-ufc-145-eddie-the-filipino-phenom-yagin-vs-mark-the-machine-hominick,Yagin,23.1,25.6,51.3,3.0,1402
44194-ufc-145-eddie-the-filipino-phenom-yagin-vs-mark-the-machine-hominick,Hominick,60.5,6.5,33.1,97.0,1402
45856-ufc-145-michael-mayday-mcdonald-vs-miguel-torres,McDonald,25.8,3.3,70.8,36.0,1358
45856-ufc-145-michael-mayday-mcdonald-vs-miguel-torres,Torres,5.4,19.1,75.5,64.0,1358
43749-ufc-145-ben-rothwell-vs-brendan-big-brown-schaub,Rothwell,75.6,1.9,22.5,15.0,1403
43749-ufc-145-ben-rothwell-vs-brendan-big-brown-schaub,Schaub,63.1,0.9,36.1,85.0,1403
42887-ufc-145-rory-red-king-macdonald-vs-beautiful-che-mills,MacDonald,38.4,35.5,26.1,96.0,1412
42887-ufc-145-rory-red-king-macdonald-vs-beautiful-che-mills,Mills,74.2,8.1,17.7,4.0,1412
46428-ufc-145-jon-bones-jones-vs-sugar-rashad-evans,Jones,64.6,23.1,12.3,77.0,1459
46428-ufc-145-jon-bones-jones-vs-sugar-rashad-evans,Evans,55.4,4.0,40.7,23.0,1459
49639-ufc-on-fox-3-karlos-the-terminator-vemola-vs-the-master-of-disaster-mike-massenzio,Vémola,71.5,4.0,24.5,70.0,1021
49639-ufc-on-fox-3-karlos-the-terminator-vemola-vs-the-master-of-disaster-mike-massenzio,Massenzio,21.0,15.3,63.7,30.0,1021
55235-ufc-on-fox-3-stunning-roland-delorme-vs-nick-the-ninja-of-love-denis,Denis,73.8,3.3,23.0,91.0,964
55235-ufc-on-fox-3-stunning-roland-delorme-vs-nick-the-ninja-of-love-denis,Delorme,19.3,33.0,47.7,9.0,964
48220-ufc-on-fox-3-dennis-the-menace-bermudez-vs-pablo-the-scarecrow-garza,Garza,4.4,79.7,15.9,60.0,1054
48220-ufc-on-fox-3-dennis-the-menace-bermudez-vs-pablo-the-scarecrow-garza,Bermudez,38.1,9.8,52.1,40.0,1054
47837-ufc-on-fox-3-danny-last-call-castillo-vs-john-cholish,Cholish,7.2,43.8,49.1,27.0,1017
47837-ufc-on-fox-3-danny-last-call-castillo-vs-john-cholish,Castillo,11.0,4.4,84.6,73.0,1017
47312-ufc-on-fox-3-louis-goodnight-gaudinot-vs-john-hands-of-stone-lineker,Gaudinot,13.3,6.7,80.1,38.0,993
47312-ufc-on-fox-3-louis-goodnight-gaudinot-vs-john-hands-of-stone-lineker,Lineker,33.0,16.8,50.2,62.0,993
47647-ufc-on-fox-3-john-the-hitman-hathaway-vs-pascal-panzer-krauss,Krauss,25.0,21.0,54.1,14.0,1059
47647-ufc-on-fox-3-john-the-hitman-hathaway-vs-pascal-panzer-krauss,Hathaway,9.1,8.0,82.8,86.0,1059
55179-ufc-on-fox-3-john-the-magician-dodson-vs-tim-elliott,Elliott,11.1,33.3,55.6,3.0,1060
55179-ufc-on-fox-3-john-the-magician-dodson-vs-tim-elliott,Dodson,71.0,3.2,25.8,97.0,1060
52755-ufc-on-fox-3-michael-the-menace-johnson-vs-tony-el-cucuy-ferguson,Ferguson,55.7,5.0,39.3,87.0,1087
52755-ufc-on-fox-3-michael-the-menace-johnson-vs-tony-el-cucuy-ferguson,Johnson,23.7,4.3,71.9,13.0,1087
47207-ufc-on-fox-3-lavar-big-johnson-vs-pat-hd-barry,Barry,85.6,5.5,8.9,69.0,1205
47207-ufc-on-fox-3-lavar-big-johnson-vs-pat-hd-barry,Johnson,95.6,0.5,3.8,31.0,1205
48144-ufc-on-fox-3-alan-the-talent-belcher-vs-rousimar-toquinho-palhares,Belcher,48.9,2.3,48.9,22.0,1210
48144-ufc-on-fox-3-alan-the-talent-belcher-vs-rousimar-toquinho-palhares,Palhares,3.2,90.9,5.8,78.0,1210
48115-ufc-on-fox-3-johny-big-rig-hendricks-vs-josh-kos-koscheck,Koscheck,13.8,3.1,83.2,38.0,1209
48115-ufc-on-fox-3-johny-big-rig-hendricks-vs-josh-kos-koscheck,Hendricks,56.0,1.2,42.8,62.0,1209
46143-ufc-on-fox-3-nate-diaz-vs-jim-miller,Diaz,11.9,12.2,76.0,52.0,1240
46143-ufc-on-fox-3-nate-diaz-vs-jim-miller,Miller,4.4,8.3,87.3,48.0,1240
56560-ufc-on-fuel-tv-3-francisco-cisco-rivera-jr-vs-alex-extremo-soto,Rivera Jr.,80.3,2.2,17.5,60.0,755
56560-ufc-on-fuel-tv-3-francisco-cisco-rivera-jr-vs-alex-extremo-soto,Soto,24.8,14.9,60.3,40.0,755
49547-ufc-on-fuel-tv-3-johnny-eduardo-vs-jeff-the-big-frog-curran,Eduardo,21.6,23.3,55.2,14.0,843
49547-ufc-on-fuel-tv-3-johnny-eduardo-vs-jeff-the-big-frog-curran,Curran,5.5,19.8,74.7,86.0,843
49637-ufc-on-fuel-tv-3-rafael-dos-anjos-vs-kamal-prince-of-persia-shalorus,Shalorus,26.1,3.9,69.9,18.0,876
49637-ufc-on-fuel-tv-3-rafael-dos-anjos-vs-kamal-prince-of-persia-shalorus,dos Anjos,12.7,45.6,41.7,82.0,876
49056-ufc-on-fuel-tv-3-tj-grant-vs-carlo-neo-prater,Prater,23.9,24.7,51.4,18.0,830
49056-ufc-on-fuel-tv-3-tj-grant-vs-carlo-neo-prater,Grant,10.1,18.7,71.2,82.0,830
55824-ufc-on-fuel-tv-3-cody-ak-kid-mckenzie-vs-marcus-the-prospect-levesseur,LeVesseur,44.0,10.7,45.3,28.0,814
55824-ufc-on-fuel-tv-3-cody-ak-kid-mckenzie-vs-marcus-the-prospect-levesseur,McKenzie,2.0,90.1,8.0,72.0,814
48090-ufc-on-fuel-tv-3-brad-tavares-vs-dongi-the-ox-yang,Tavares,32.4,1.8,65.8,80.0,859
48090-ufc-on-fuel-tv-3-brad-tavares-vs-dongi-the-ox-yang,Yang,42.2,3.5,54.3,20.0,859
46232-ufc-on-fuel-tv-3-filthy-tom-lawlor-vs-jason-the-athlete-macdonald,Lawlor,49.8,5.9,44.3,67.0,902
46232-ufc-on-fuel-tv-3-filthy-tom-lawlor-vs-jason-the-athlete-macdonald,MacDonald,6.3,68.4,25.3,33.0,902
51175-ufc-on-fuel-tv-3-igor-the-duke-pokrajac-vs-fbio-caipira-de-ao-maldonado,Maldonado,64.5,4.5,31.1,57.0,844
51175-ufc-on-fuel-tv-3-igor-the-duke-pokrajac-vs-fbio-caipira-de-ao-maldonado,Pokrajac,70.0,5.4,24.6,43.0,844
52242-ufc-on-fuel-tv-3-yves-tiger-jabouin-vs-jeff-hellbound-hougland,Hougland,9.2,40.4,50.3,17.0,835
52242-ufc-on-fuel-tv-3-yves-tiger-jabouin-vs-jeff-hellbound-hougland,Jabouin,31.7,1.9,66.4,83.0,835
49294-ufc-on-fuel-tv-3-donald-cowboy-cerrone-vs-jeremy-lil-heathen-stephens,Stephens,35.8,0.0,64.2,7.0,973
49294-ufc-on-fuel-tv-3-donald-cowboy-cerrone-vs-jeremy-lil-heathen-stephens,Cerrone,14.1,40.2,45.7,93.0,973
48088-ufc-on-fuel-tv-3-amir-sadollah-vs-jorge-lil-monster-lopez,Lopez,37.6,0.6,61.8,17.0,924
48088-ufc-on-fuel-tv-3-amir-sadollah-vs-jorge-lil-monster-lopez,Sadollah,12.0,5.7,82.3,83.0,924
48058-ufc-on-fuel-tv-3-the-korean-zombie-chan-sung-jung-vs-dustin-the-diamond-poirier,Jung,30.1,28.9,41.0,33.0,982
48058-ufc-on-fuel-tv-3-the-korean-zombie-chan-sung-jung-vs-dustin-the-diamond-poirier,Poirier,22.2,17.2,60.7,67.0,982
51343-ufc-146-mike-brown-vs-daniel-the-pit-pineda,Pineda,17.4,38.2,44.4,29.0,1335
51343-ufc-146-mike-brown-vs-daniel-the-pit-pineda,Brown,13.5,8.1,78.4,71.0,1335
49067-ufc-146-glover-teixeira-vs-kyle-kingsbu-kingsbury,Kingsbury,23.7,3.8,72.5,29.0,1343
49067-ufc-146-glover-teixeira-vs-kyle-kingsbu-kingsbury,Teixeira,70.2,6.6,23.2,71.0,1343
48862-ufc-146-paul-sassangle-sass-vs-jacob-christmas-volkmann,Sass,8.2,77.0,14.8,31.0,1361
48862-ufc-146-paul-sassangle-sass-vs-jacob-christmas-volkmann,Volkmann,2.4,5.5,92.1,69.0,1361
