id,ufcstats_id,event_id,bout_order,fighter_1_id,fighter_2_id,outcome_method,end_round_time_info,billing,weight_class,fighter_1_odds,fighter_2_odds,fighter_1_weight,fighter_2_weight,fighter_1_gym_info,fighter_1_gym_ids,fighter_2_gym_info,fighter_2_gym_ids
1059-ufc-2-royce-gracie-vs-jason-delucia,,ufc-2-no-way-out,12,royce-gracie,jason-delucia,"Submission, Armlock",1:07 Round 1 of 1,Main Card (fight 12 of 15),,,,176.0 lbs (79.8 kgs),190.0 lbs (86.2 kgs),Gracie Humaita,831-gracie-humaita,N/A,
1064-ufc-2-patrick-pat-smith-vs-johnny-rhodes,,ufc-2-no-way-out,13,patrick-smith-pat,johnny-rhodes,"Submission, Guillotine Choke",1:07 Round 1 of 1,Main Card (fight 13 of 15),,,,219.0 lbs (99.3 kgs),210.0 lbs (95.3 kgs),N/A,,N/A,
1072-ufc-2-royce-gracie-vs-remco-grizzly-pardoel,,ufc-2-no-way-out,14,royce-gracie,remco-pardoel-grizzly,"Submission, Lapel Choke",1:31 Round 1 of 1,Main Card (fight 14 of 15),,,,176.0 lbs (79.8 kgs),260.0 lbs (117.9 kgs),Gracie Humaita,831-gracie-humaita,Pardoel Sports,7158-pardoel-sports
1077-ufc-2-royce-gracie-vs-patrick-pat-smith,,ufc-2-no-way-out,15,royce-gracie,patrick-smith-pat,"Submission, Strikes",1:17 Round 1 of 1,Main Event (fight 15 of 15),,,,176.0 lbs (79.8 kgs),219.0 lbs (99.3 kgs),Gracie Humaita,831-gracie-humaita,N/A,
1101-ufc-3-keith-the-giant-killer-hackney-vs-emmanuel-yarborough,,ufc-3-the-american-dream,1,keith-hackney-the-giant-killer,emmanuel-yarborough,"KO/TKO, Strikes",1:59 Round 1 of 1,Main Card (fight 1 of 6),,,,200.0 lbs (90.7 kgs),616.0 lbs (279.4 kgs),N/A,,N/A,
2540-ufc-3-the-worlds-most-dangerous-man-ken-shamrock-vs-cristophe-leninger,,ufc-3-the-american-dream,2,ken-shamrock-the-worlds-most-dangerous-man,cristophe-leninger,"Submission, Strikes",4:49 Round 1 of 1,Main Card (fight 2 of 6),,,,215.0 lbs (97.5 kgs),190.0 lbs (86.2 kgs),Lion's Den,298-lions-den,N/A,
2547-ufc-3-harold-howard-vs-roland-payne,,ufc-3-the-american-dream,3,harold-howard,roland-payne,"KO/TKO, Punch",0:46 Round 1 of 1,Main Card (fight 3 of 6),,,,230.0 lbs (104.3 kgs),205.0 lbs (93.0 kgs),N/A,,N/A,
2554-ufc-3-royce-gracie-vs-kimo-leopoldo,,ufc-3-the-american-dream,4,royce-gracie,kimo-leopoldo,"Submission, Armlock",4:40 Round 1 of 1,Main Card (fight 4 of 6),,,,176.0 lbs (79.8 kgs),250.0 lbs (113.4 kgs),Gracie Humaita,831-gracie-humaita,N/A,
2560-ufc-3-the-worlds-most-dangerous-man-ken-shamrock-vs-felix-mitchell,,ufc-3-the-american-dream,5,ken-shamrock-the-worlds-most-dangerous-man,felix-mitchell,"Submission, Rear Naked Choke",4:34 Round 1 of 1,Main Card (fight 5 of 6),,,,215.0 lbs (97.5 kgs),220.0 lbs (99.8 kgs),Lion's Den,298-lions-den,N/A,
2574-ufc-3-steve-jennum-vs-harold-howard,,ufc-3-the-american-dream,6,steve-jennum,harold-howard,"Submission, Strikes",1:27 Round 1 of 1,Main Event (fight 6 of 6),,,,215.0 lbs (97.5 kgs),230.0 lbs (104.3 kgs),N/A,,N/A,
ufc-4-joe-the-ghetto-man-charles-vs-kevin-rosier,,ufc-4-revenge-of-the-warriors,1,joe-charles-the-ghetto-man,kevin-rosier,"Submission, Armbar",0:14 Round 1 of 1,Preliminary Card (fight 1 of 10),,,,,,N/A,,N/A,
ufc-4-marcus-the-grasshopper-bossett-vs-eldo-dias-xavier,,ufc-4-revenge-of-the-warriors,2,marcus-bossett-the-grasshopper,eldo-dias-xavier,KO/TKO,4:55 Round 1 of 1,Preliminary Card (fight 2 of 10),,,,220.0 lbs (99.8 kgs),,N/A,,N/A,
2595-ufc-4-royce-gracie-vs-ron-black-dragon-van-clief,,ufc-4-revenge-of-the-warriors,3,royce-gracie,ron-van-clief-black-dragon,"Submission, Rear Naked Choke",3:59 Round 1 of 1,Main Card (fight 3 of 10),,,,180.0 lbs (81.6 kgs),190.0 lbs (86.2 kgs),Gracie Humaita,831-gracie-humaita,N/A,
890-ufc-4-keith-the-giant-killer-hackney-vs-joe-son,,ufc-4-revenge-of-the-warriors,4,keith-hackney-the-giant-killer,joe-son,"Submission, Choke",2:44 Round 1 of 1,Main Card (fight 4 of 10),,,,200.0 lbs (90.7 kgs),235.0 lbs (106.6 kgs),N/A,,N/A,
ufc-4-steve-jennum-vs-melton-the-punisher-bowen,,ufc-4-revenge-of-the-warriors,5,steve-jennum,melton-bowen-the-punisher,"Submission, Armlock",4:47 Round 1 of 1,Main Card (fight 5 of 10),,,,215.0 lbs (97.5 kgs),225.0 lbs (102.1 kgs),N/A,,N/A,
905-ufc-4-dan-the-beast-severn-vs-anthony-mad-dog-macias,,ufc-4-revenge-of-the-warriors,6,dan-severn-the-beast,anthony-macias-mad-dog,"Submission, Rear Naked Choke",1:45 Round 1 of 1,Main Card (fight 6 of 10),,,,260.0 lbs (117.9 kgs),180.0 lbs (81.6 kgs),N/A,,USA Stars MMA,427-usa-stars-mma
