id,ufcstats_id,sherdog_id,bestfightodds_id,ufc_id,wikipedia_url,name,nickname,date_of_birth,height,reach,nationality,birth_location
165655-denise-gomes,cffb87059e645bd1,382138,denise-gomes-13433,denise-gomes,https://en.wikipedia.org/wiki/Denise_Gomes,Denise Gomes,Dee,1999-12-30,"5'2"" (157cm)","63.0"" (160cm)",Brazil,"Sao Leopoldo, Rio Grande do Sul, Brazil"
16566-gunnar-nelson,fd55393021a8c255,25246,gunnar-nelson-3160,gunnar-nelson,https://en.wikipedia.org/wiki/Gunnar_Nelson_(fighter),Gunnar Nelson,Gunni,1988-07-28,"5'11"" (181cm)","72.0"" (183cm)",Iceland,"Akureyri, Iceland"
16589-colin-fletcher,7d09200f6a77b20e,34621,colin-fletcher-3210,,https://en.wikipedia.org/wiki/Colin_Fletcher_(fighter),Colin Fletcher,The Freakshow,1983-01-08,"6'2"" (188cm)","78.0"" (198cm)",England,"Sunderland, England"
16609-tom-breese,1588b787bda7b540,45986,tom-breese-2765,tom-breese,https://en.wikipedia.org/wiki/Tom_Breese,Tom Breese,N/A,1991-09-26,"6'3"" (191cm)","73.5"" (187cm)",United Kingdom,England
16615-bradley-scott,34e552520a934063,44442,brad-scott-3760,,https://en.wikipedia.org/wiki/Brad_Scott_(fighter),Brad Scott,Bear,1989-06-22,"6'1"" (185cm)","76.0"" (193cm)",United Kingdom,"Bath, Somerset, England"
166360-iasmin-lucindo,abcf2cc6efc42031,264861,iasmin-lucindo-14124,iasmin-lucindo,,Iasmin Lucindo,N/A,2002-01-08,"5'3"" (160cm)","66.0"" (168cm)",Brazil,"Fortaleza, Ceara, Brazil"
166396-valentine-woodburn,7a47e068f8017019,315963,val-woodburn-16106,val-woodburn,,Val Woodburn,The Animal,1993-08-10,"5'8"" (173cm)",N/A,Jamaica,United States
166442-kay-hansen,4100c7a09497ad41,270021,kay-hansen-7757,kay-hansen,https://en.wikipedia.org/wiki/Kay_Hansen,Kay Hansen,N/A,1999-08-14,"5'2"" (157cm)","63.0"" (160cm)",United States,United States
16651-vicente-luque,6d4b63c767106d3a,66474,vicente-luque-5744,vicente-luque,https://en.wikipedia.org/wiki/Vicente_Luque,Vicente Luque,The Silent Assassin,1991-11-27,"5'11"" (180cm)","76.0"" (193cm)",Brazil,"Westwood, New Jersey"
166556-hailey-cowan,3c26c420584d912d,271495,hailey-cowan-8154,hailey-cowan,,Hailey Cowan,All Hail,1992-02-12,"5'8"" (173cm)","69.3"" (176cm)",United States,United States
166857-mike-diamond-blood,9edf2c9082cc2cd8,266635,mike-mathetha-12831,mike-diamond,,Mike Mathetha,Blood Diamond,1988-07-10,"5'11"" (180cm)","76.0"" (193cm)",Zimbabwe,"Bulawayo, Zimbabwe"
16687-issei-tamura,57bf89d42364d39e,34371,issei-tamura-3145,,https://en.wikipedia.org/wiki/Issei_Tamura,Issei Tamura,N/A,1984-03-12,"5'5"" (165cm)","63.0"" (160cm)",Japan,"Shinigawa, Tokyo, Japan"
167232-khadis-ibragimov,c3218c810959d279,265067,khadis-ibragimov-9470,khadis-ibragimov,https://en.wikipedia.org/wiki/Khadis_Ibragimov,Khadis Ibragimov,N/A,1995-05-21,"6'3"" (190cm)","78.5"" (199cm)",Russia,"Dagestan, Russia"
167460-erin-blanchfield,669970f7feba8ecd,283251,erin-blanchfield-8336,erin-blanchfield,https://en.wikipedia.org/wiki/Erin_Blanchfield,Erin Blanchfield,Cold Blooded,1999-05-04,"5'4"" (163cm)","68.0"" (173cm)",United States,"Elmwood Park, New Jersey"
16753-stephen-thompson-wonderboy,4a28cb716c19157a,59608,stephen-thompson-3092,stephen-thompson,https://en.wikipedia.org/wiki/Stephen_Thompson_(fighter),Stephen Thompson,Wonderboy,1983-02-11,"6'0"" (183cm)","75.0"" (191cm)",United States,"Simpsonville, South Carolina, United States"
167636-rei-tsuruya,2f43a3e82661fa99,380465,rei-tsuruya-15872,rei-tsuruya?language_content_entity=en,https://en.wikipedia.org/wiki/鶴屋怜,Rei Tsuruya,N/A,2002-06-22,"5'6"" (168cm)","68.0"" (173cm)",Japan,"Kashiwa, Chiba, Japan"
16788-robert-whiteford,1dafccb62a0f98ec,47105,robert-whiteford-4468,,https://en.wikipedia.org/wiki/Rob_Whiteford,Robert Whiteford,The Hammer,1983-04-12,"5'9"" (175cm)","67.0"" (170cm)",Scotland,"Armadale, Scotland"
16789-mitch-clarke,c76ec2bc3a57666a,22556,mitch-clarke-2955,,https://en.wikipedia.org/wiki/Mitch_Clarke,Mitch Clarke,Danger Zone,1985-11-24,"5'10"" (178cm)","73.0"" (185cm)",Canada,"Saskatoon, Saskatchewan, Canada"
16819-matt-dwyer,8f0d576beba1cfcd,53933,matt-dwyer-5117,,,Matt Dwyer,N/A,1989-12-17,"6'4"" (194cm)","76.5"" (194cm)",Canada,"Kelowna, British Columbia, Canada"
16822-john-case,1f4b04a926ef1287,28017,johnny-case-4476,,https://en.wikipedia.org/wiki/Johnny_Case,Johnny Case,Hollywood,1989-06-28,"5'10"" (178cm)","72.5"" (184cm)",United States,"Jefferson, Iowa, United States"
16828-yan-cabral,7cdd3e5d3aa9cb39,27090,yan-cabral-2807,,https://en.wikipedia.org/wiki/Yan_Cabral,Yan Cabral,N/A,1983-05-13,"5'11"" (180cm)","73.0"" (185cm)",Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil"
168315-julia-polastri,abb68e3c7ca128f2,266047,julia-polastri-12394,julia-polastri?language_content_entity=en,,Julia Polastri,Psycho,1998-03-05,"5'2"" (157cm)","63.0"" (160cm)",Brazil,"Duque de Caxias, Rio de Janeiro, Brazil"
16834-michael-kuiper-judo,b7f38813485745da,42901,michael-kuiper-3058,,https://en.wikipedia.org/wiki/Michael_Kuiper,Michael Kuiper,Judo,1989-07-06,"6'0"" (183cm)","73.0"" (185cm)",Netherlands,"Rotterdam, Netherlands"
168430-mason-jones-the-dragon,f6ad6a1e4d600e0d,256311,mason-jones-7156,mason-jones,,Mason Jones,The Dragon,1995-04-26,"5'10"" (178cm)","74.0"" (188cm)",Wales,Wales
168712-marquel-mederos,e2be0c1a9b886d92,302655,marquel-mederos-10796,marquel-mederos,,MarQuel Mederos,N/A,1996-11-30,"5'10"" (178cm)","69.5"" (177cm)",United States,"Texas, United States"
168728-max-rohskopf,59a27d2e6d0802ac,264605,max-rohskopf-9906,max-rohskopf,,Max Rohskopf,Rated R,1994-09-27,"6'0"" (183cm)","69.5"" (177cm)",United States,"Killbuck, Ohio"
16876-bryan-barberena,a331233f597090a5,51471,bryan-barberena-4982,bryan-barberena,https://en.wikipedia.org/wiki/Bryan_Barberena,Bryan Barberena,Bam Bam,1989-05-03,"6'0"" (183cm)","72.0"" (183cm)",United States,"Montclair, California"
169-chris-wilson-the-professor,a56607a451e4c70d,9281,chris-wilson-485,,https://en.wikipedia.org/wiki/Chris_Wilson_(fighter),Chris Wilson,The Professor,1977-06-07,"6'1"" (186cm)",N/A,United States,United States
16904-garreth-mclellan-soldier-boy,f215cfbd4ba3c270,71237,garreth-mclellan-5472,,https://en.wikipedia.org/wiki/Garreth_McLellan,Garreth McLellan,Soldier Boy,1982-01-09,"6'1"" (185cm)","72.0"" (183cm)",South Africa,"Vereeniging, South Africa"
169093-joshua-weems,69888118d968ba52,259641,joshua-weems-12614,josh-weems,,Joshua Weems,Wide Open,1994-05-05,"5'8"" (173cm)","69.0"" (175cm)",United States,United States
16950-renato-carneiro-moicano,b6452706b373eea1,61700,renato-carneiro-5388,renato-moicano,https://en.wikipedia.org/wiki/Renato_Moicano,Renato Moicano,Money Moicano,1989-05-21,"5'11"" (181cm)","72.0"" (183cm)",Brazil,Brazil
169518-tereza-bieda,59c438c81fbf3ece,280807,tereza-bleda-10088,tereza-bleda,,Tereza Bledá,N/A,2001-11-30,"5'9"" (175cm)","71.0"" (180cm)",Czech Republic,Czech Republic
169557-greg-hardy,85073dbd1be65ed9,271461,greg-hardy-8191,greg-hardy,https://en.wikipedia.org/wiki/Greg_Hardy,Greg Hardy,The Prince of War,1988-07-28,"6'5"" (196cm)","80.5"" (204cm)",United States,"Millington, TN"
169642-jeka-a-saragih,57186c150c645200,282415,jeka-saragih-15072,jeka-saragih,https://en.wikipedia.org/wiki/Jeka_Saragih,Jeka Saragih,Si Tendangan Maut,1995-01-01,"5'8"" (172cm)","69.0"" (175cm)",Indonesia,"Bah Pasusang, Indonesia"
169724-billy-goff,fa07345cc9db5cc9,282365,billy-goff-8893,billy-goff,,Billy Goff,N/A,1998-06-18,"5'10"" (178cm)","72.5"" (184cm)",United States,United States
169818-cody-brundage,f14f644d41ade29f,281913,cody-brundage-10168,Cody-Brundage,https://en.wikipedia.org/wiki/Cody_Brundage,Cody Brundage,N/A,1994-05-16,"6'0"" (183cm)","72.0"" (183cm)",United States,"Chaplin, South Carolina, USA"
17032-chris-fishgold,bebb4ae55ac2bf6f,50861,chris-fishgold-3864,chris-fishgold,https://en.wikipedia.org/wiki/Chris_Fishgold,Chris Fishgold,N/A,1992-06-06,"5'8"" (173cm)","68.0"" (173cm)",England,England
17041-alberto-mina,4b1d46a1b5c0fd11,16705,alberto-mina-4701,,https://en.wikipedia.org/wiki/Alberto_Mina,Alberto Mina,Soldier of God,1982-05-02,"6'0"" (183cm)","77.5"" (197cm)",Brazil,Brazil
17046-walter-harris,03f982ca3735070c,72046,walter-harris-2995,walt-harris,https://en.wikipedia.org/wiki/Walt_Harris_(fighter),Walt Harris,The Big Ticket,1983-06-10,"6'5"" (196cm)","81.0"" (206cm)",United States,"Homewood, Alabama"
17082-john-cofer,8b260672a21d1fd6,33523,john-cofer-3283,,https://en.wikipedia.org/wiki/John_Cofer,John Cofer,The Potter,1984-04-29,"5'9"" (176cm)","73.0"" (185cm)",United States,"Savannah, Georgia, United States"
17086-aaron-phillips,34c2b3656f88f7ef,55298,aaron-phillips-4905,aaron-phillips,https://en.wikipedia.org/wiki/Aaron_Phillips_(fighter),Aaron Phillips,The Dragon,1989-08-05,"5'9"" (175cm)","71.0"" (180cm)",United States,United States
17087-jake-collier,92fa1401b7927da3,83599,jake-collier-3559,jake-collier,https://en.wikipedia.org/wiki/Jake_Collier,Jake Collier,The Prototype,1988-10-23,"6'3"" (191cm)","78.5"" (199cm)",United States,"St. Louis, Missouri, United States"
171056-jasmine-jasdavicious,a9e260472d321361,311001,jasmine-jasudavicius-9869,jasmine-jasudavicius,https://en.wikipedia.org/wiki/Jasmine_Jasudavicius,Jasmine Jasudavicius,N/A,1989-03-01,"5'7"" (170cm)","68.0"" (173cm)",Canada,Canada
17109-sam-sicilia,b8aef0faf4ce9b31,53205,sam-sicilia-3289,,https://en.wikipedia.org/wiki/Sam_Sicilia,Sam Sicilia,N/A,1986-02-01,"5'8"" (173cm)","67.0"" (170cm)",United States,"Spokane, Washington, United States"
17121-dominique-steele-nonstop-action-packed,68c11c27d4d56572,47845,dominique-steele-2834,,https://en.wikipedia.org/wiki/Dominique_Steele,Dominique Steele,Nonstop Action-Packed,1988-01-25,"5'10"" (178cm)","74.0"" (188cm)",United States,"Norwood, Ohio, United States"
17135-sergio-pettis,de75d1c45a39e221,50987,sergio-pettis-3647,sergio-pettis,https://en.wikipedia.org/wiki/Sergio_Pettis,Sergio Pettis,The Phenom,1993-08-18,"5'6"" (168cm)","69.0"" (175cm)",United States,"Milwaukee, Wisconsin"
171377-ian-garry,442c9011034ae1fd,268923,ian-garry-8934,ian-garry,https://en.wikipedia.org/wiki/Ian_Machado_Garry,Ian Machado Garry,The Future,1997-11-17,"6'3"" (191cm)","74.5"" (189cm)",Ireland,Ireland
17142-dileno-lopes,8270c00fae24c922,29635,dileno-lopes-5721,,,Dileno Lopes,N/A,1984-09-26,"5'5"" (165cm)","65.5"" (166cm)",Brazil,Brazil
171672-marnic-mann,b6203e0492a9336c,268753,marnic-mann-12701,marnic-mann,,Marnic Mann,The Sawed-Off Savage,1993-03-05,"5'0"" (152cm)","64.0"" (163cm)",United States,United States
17180-josh-stansbury-the-sandman,30ea504870f8597b,18495,josh-stansbury-1353,,https://en.wikipedia.org/wiki/Josh_Stansbury,Josh Stansbury,The Sandman,1984-11-19,"6'2"" (188cm)","74.0"" (188cm)",United States,"East Liverpool, Ohio, United States"
17184-neil-seery,49a74b9fb2e45fdf,14062,neil-seery-2894,,,Neil Seery,2 Tap,1979-08-30,"5'4"" (163cm)","65.0"" (165cm)",Ireland,"Dublin, Ireland"
17191-adam-milstead-the-prototype,72ffecf712673af1,60258,adam-milstead-6302,adam-milstead,https://en.wikipedia.org/wiki/Adam_Milstead,Adam Milstead,The Prototype,1987-07-03,"6'3"" (191cm)","76.0"" (193cm)",United States,"Calvert, Maryland, United States"
17229-chris-spang-the-kiss,411d012af19ecb59,40205,chris-spang-2895,,https://en.wikipedia.org/wiki/Chris_Spang,Chris Spang,The Kiss,1987-11-26,"6'2"" (188cm)","76.5"" (194cm)",Sweden,"Växjö, Sweden"
1727-henry-martinez,76729a829623e266,13237,henry-martinez-1136,,https://en.wikipedia.org/wiki/Henry_Martinez_(fighter),Henry Martinez,Sicario,1983-08-07,"5'7"" (171cm)","69.0"" (175cm)",United States,"Espanola, New Mexico, United States"
172890-klaudia-sygua,9f5e3c20ce40b344,328753,klaudia-sygula-11261,klaudia-sygula,,Klaudia Syguła,N/A,1998-12-30,"5'8"" (173cm)","59.0"" (150cm)",Poland,"Poddebice, Poland"
17303-danny-chaves,0de720c0f1d4ab9c,59478,danny-chavez-10259,danny-chavez,https://en.wikipedia.org/wiki/Danny_Chavez,Danny Chavez,The Colombian Warrior,1987-03-14,"5'8"" (173cm)","67.0"" (170cm)",United States,United States
