fighter_id,order,bout_id,opponent_id
002ca196477ce572,1,bc01ce748a5723df,a4de54ea806fb525
002ca196477ce572,2,0e3af9b5e1b3ae80,60425d07ef4b91a7
003d82fa384ca1d0,1,be575baad34db0d7,69037fc7730e4225
003d82fa384ca1d0,2,0bcb04163f8d8ead,be68b375707dcb85
003d82fa384ca1d0,3,e2abba69c3371618,681399317dbf4701
0052de90691d4a93,1,f4f5049e789b7716,1bcaac2d99b90fce
0052de90691d4a93,2,f9536ea60551b840,feaf00f3373435d6
0052de90691d4a93,3,5ea39e0fc3b64e83,2816ced060a21be3
0052de90691d4a93,4,933cf2674503c63d,3956bdc8ab2e54b3
0052de90691d4a93,5,65c1ca715dfdbe05,d2cd7a69cc55e7ed
0052de90691d4a93,6,849eb47d349f3fe4,275aca31f61ba28c
0052de90691d4a93,7,ecb24300bb3bef8c,eae48ff31db420c2
006efbb0c1621fd7,1,d784682682e30180,8be158ca1e5ea6a0
008c6e1a25751575,1,1e440a1425f1d0a7,9bff1b4c37ebbede
008cf84faae9c7a5,1,f54a156c054bca14,50d2f0018bcf9eef
008cf84faae9c7a5,2,39c0c09f8976dafa,4f853e98886283cf
008dc37cca279def,1,bd057764cb51f065,eef9b891edbd4604
008dc37cca279def,2,ed6a02c8dcc6f922,ebc1f40e00e0c481
008dc37cca279def,3,774f7eed6b0180be,80779d7441af1b52
008ea710276c9606,1,61fe99ff744ac061,f6f2ea21a67be3a7
008ea710276c9606,2,b5a8323de18f7e95,7d420039bbfe7c1a
008ea710276c9606,3,acec5f4c6fee1ae2,31bb0772f21cabd8
008ea710276c9606,4,7e20b0536fbbd560,55fa6ce3e522c8bb
009341ed974bad72,1,cd8cdb539deaa47f,0845c81e37d3bcb3
009341ed974bad72,2,394802bb096b403e,2e19380f34871c6a
009341ed974bad72,3,fd49f89b9d97566b,7ff97850e8c32bda
009341ed974bad72,4,b1f2ec122beda7a5,e5549c82bfb5582d
009341ed974bad72,5,eda1e8c285a0a788,333b9e5c723ac873
009341ed974bad72,6,bca5d01f8775f852,e5549c82bfb5582d
009c4420727149ea,1,6eb2195511126278,9a7ffa80766caa51
009c4420727149ea,2,c16bda7548181613,d4270315cbcf2569
009c4420727149ea,3,1b204fc28bb023e6,369ea36e450ae62a
009c4420727149ea,4,560a971c6ab8b854,6aae253467e8f9ce
009c4420727149ea,5,d564e3a6c77d0c85,4144798612ef96e5
00a35c92b03992b0,1,46b91d8d819079e6,bbab3baf66128ae2
00a3ff40c4b2cf21,1,431e7931d8be8b5d,b8c0f30ee9a98b69
00a3ff40c4b2cf21,2,f519753cc38362d0,6256b2b1562cb8e1
00a3ff40c4b2cf21,3,fae3f395669b7285,84ff027394f7e470
00a905a4a4a2b071,1,08d8ae9c65ef01d6,b98209144b63ae26
00a905a4a4a2b071,2,69e7f5780b7b038b,e361e5c858af6ff1
00b490982afd1b17,1,6ce8f19e0341c54d,d21113c9ff3788ae
00b490982afd1b17,2,1d74f34a01169c96,33fb306278dbb3e5
00debc804e2b1cd4,1,adf590055f922f5b,ddbe4fa2ea573393
00debc804e2b1cd4,2,a86b801279e0ef4a,c9f6385af6df66d7
00debc804e2b1cd4,3,adc1b34f6988bd68,92b62174c175ce19
00debc804e2b1cd4,4,920b8aae22c04f13,d156513a19acf856
00debc804e2b1cd4,5,8a39075a9ffaa971,34e552520a934063
00e11b5c8b7bfeeb,1,c0002de181334f3e,0b534765dca35e71
00e11b5c8b7bfeeb,2,8341fcd67319ebeb,ca936c67687789e9
00e11b5c8b7bfeeb,3,e8ac219311ea7d0b,36120738148f203f
00e11b5c8b7bfeeb,4,9fa30ed017f7cb6e,48544433372ecfa6
00e11b5c8b7bfeeb,5,d936b0208158d710,dd992d569aaebee6
00e11b5c8b7bfeeb,6,bc6378fadcb73273,c7011de4765d2497
00e11b5c8b7bfeeb,7,4bda39f114f1ccdb,7a703c565ccaa18f
00e11b5c8b7bfeeb,8,2ca03d08d37161cb,b9d0fd83bb8a147a
00e11b5c8b7bfeeb,9,fb7ddb21affc10c1,3c660c90d48fc80d
00e11b5c8b7bfeeb,10,110d18c0953bde1d,0ee783aa00e468f0
00e11b5c8b7bfeeb,11,0f3e6876516edeaf,05560764359161e4
00e11b5c8b7bfeeb,12,9b10db4499b211b7,c80095f6092271a7
00e11b5c8b7bfeeb,13,3d741cee0dffe165,2b93ebd9f5417ad2
00e11b5c8b7bfeeb,14,5965800d88e0677c,f7a7f7118d4b01b6
00e11b5c8b7bfeeb,15,ff389a4326fc9255,3a8176e15b9887c1
00e11b5c8b7bfeeb,16,812ff38f0ed409ca,2b93ebd9f5417ad2
00e11b5c8b7bfeeb,17,24438a644b975751,d2c55d1d2e67773b
00e11b5c8b7bfeeb,18,9444cfe0c7c0f6a7,f77c68bb4be8516d
00e11b5c8b7bfeeb,19,531d9676d767da66,99df7d0a2a08a8a8
00e11b5c8b7bfeeb,20,2de6652160cc7b9f,2e5c2aa8e4ab9d82
010986ee359fb863,1,db620510bbb3f0af,c4b81cdecd5d6abe
010986ee359fb863,2,c795c4b7beb89bee,2be6596a9db33bf5
010986ee359fb863,3,18cfc2f58d20c0f2,d0c29452d3272603
010986ee359fb863,4,5d576cd36b515c03,737d93a42b8c2e94
0112352cb32f5026,1,6ed495c177d69a3a,7ab478c397cd68ef
0112352cb32f5026,2,77acb96700e89c92,830f60497fab345a
0112352cb32f5026,3,983fab4080743ed0,285ae0b4a68221f4
0112352cb32f5026,4,f995ed679ef8bdf4,d1c65d2cf2925ddd
0112352cb32f5026,5,16109688429c09de,a93f94c923c3a9cb
0112352cb32f5026,6,e6851877e33d343f,4e6738062d469256
012fc7cd0779c09a,1,aa34a6bc5896a511,394f55ebca199124
012fc7cd0779c09a,2,982eea5a54537892,66e981516e2476d1
013da757877044a2,1,7f0e469103ab46b6,cf9d24e4bd0cf2ce
013da757877044a2,2,6190569c372725bf,f2c8ebbeafd45f2b
01641ba5df0c69b0,1,3849ded07678f6e3,31dbfbe4e7a6727c
01641ba5df0c69b0,2,7ed9e8f3258446c7,49ee5024966efc0d
01641ba5df0c69b0,3,4327fe98e1b6f222,b27a1fcb56a3035a
01641ba5df0c69b0,4,3a81276a9641c6a1,9d19d9e4aa2662e8
01641ba5df0c69b0,5,dad759ec50508147,1497e735d9f2560a
016a8d958883167c,1,9c256e94c6b584b6,7be74a12d7352df2
016a8d958883167c,2,e5fbb99bc3907516,fdbefee0827e1567
016a8d958883167c,3,b3096e8dd4e90718,2eeaefbfc7f9fcff
016a8d958883167c,4,8adc6266a7c2fd40,9cdd2da1a9104a0b
016a8d958883167c,5,97125cd6a94b6394,86d9dbe1bfcbade7
016a8d958883167c,6,711f00d287344c77,01784fbc27c68b14
016a8d958883167c,7,bfd672cac0726a9a,b1e5bcaad32a3cac
016a8d958883167c,8,80cf37627a129145,568bbad0eaced57c
01784fbc27c68b14,1,8b79a80f775d9f03,2db0c114414d4f06
01784fbc27c68b14,2,b3caae587e956f54,80d8aed0ca9b00f3
01784fbc27c68b14,3,7ddd21d48e3b34b9,4d5197f331c47290
01784fbc27c68b14,4,711f00d287344c77,016a8d958883167c
01afe0916a40c7c5,1,5b062be91c65fb73,57b10fca4f9c9a7a
01afe0916a40c7c5,2,086c2a0cae0835c4,e51fcd9cd84c0b93
01afe0916a40c7c5,3,6b4c2cc27855506a,a53d30163304aa6e
