bout_id,round_number,fighter_id,round_time_seconds,knockdowns_scored,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,submissions_attempted,reversals_scored,control_time_seconds,significant_strikes_landed,significant_strikes_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_distance_landed,significant_strikes_distance_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
8fbdde20b712b8da,1,319fa1bd3176bded,67,0,4,9,0,0,0,0,,4,9,2,5,0,0,2,4,4,9,0,0,0,0
aa161c7159741766,1,429e7d3725852ce9,91,0,0,0,1,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aa161c7159741766,1,749685d24e2cac50,91,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00835554f95fa911,1,429e7d3725852ce9,77,0,11,11,1,2,0,0,,4,4,3,3,0,0,1,1,0,0,1,1,3,3
00835554f95fa911,1,46c8ec317aff28ac,77,0,2,3,0,0,0,0,,1,2,0,0,1,2,0,0,0,1,1,1,0,0
8887948f0c097cd8,1,bf12aca029bfcc47,119,1,36,52,0,0,0,0,,34,50,29,45,0,0,5,5,6,8,2,3,26,39
8887948f0c097cd8,1,2299605af59fd309,119,0,4,9,0,1,0,0,,1,5,1,5,0,0,0,0,0,2,0,0,1,3
56315d5ac11594a5,1,63b65af1c5cb02cb,289,0,16,20,1,1,0,0,,8,9,5,6,3,3,0,0,0,1,0,0,8,8
56315d5ac11594a5,1,7269329bd87eb479,289,0,21,23,0,0,0,0,,1,2,1,2,0,0,0,0,1,2,0,0,0,0
ca837b002a318766,1,a2b06ca02bca14c0,46,1,12,15,0,1,0,0,,9,12,9,12,0,0,0,0,1,4,4,4,4,4
ca837b002a318766,1,2e04a3b4a2011b97,46,0,3,4,1,2,0,0,,3,4,0,0,2,2,1,2,2,2,1,2,0,0
f65b000b7e450bcf,1,429e7d3725852ce9,280,0,17,21,0,2,1,1,,2,6,1,1,0,2,1,3,0,0,2,6,0,0
f65b000b7e450bcf,1,08ae5cd9aef7ddd3,280,0,6,10,1,1,0,1,,6,9,3,6,2,2,1,1,0,1,3,3,3,5
5167a5aec41f8b6d,1,63b65af1c5cb02cb,274,0,7,7,1,2,1,0,,4,4,1,1,2,2,1,1,0,0,3,3,1,1
5167a5aec41f8b6d,1,6cbb7661c3258617,274,0,21,22,0,0,0,0,,3,3,0,0,1,1,2,2,0,0,3,3,0,0
323f543eb8abdb36,1,ad047e3073a775f3,87,0,7,13,1,1,0,0,,6,11,6,11,0,0,0,0,1,2,0,0,5,9
323f543eb8abdb36,1,a2b06ca02bca14c0,87,0,3,7,0,0,1,0,,2,6,2,6,0,0,0,0,1,4,1,1,0,1
8f8f47a728c3127e,1,946f341df6472ee0,133,0,23,34,1,1,0,0,,19,30,17,28,1,1,1,1,0,1,4,5,15,24
8f8f47a728c3127e,1,adea9f0090aa8e14,133,1,12,15,0,0,0,0,,9,12,5,8,2,2,2,2,1,4,4,4,4,4
0b71ada6c9209fc9,1,429e7d3725852ce9,229,0,27,31,1,1,1,0,,7,11,5,8,2,3,0,0,0,1,0,0,7,10
0b71ada6c9209fc9,1,23ab42947c1990e3,229,0,0,2,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,0,2
ccccc0a22b05eac6,1,bf12aca029bfcc47,164,0,10,16,0,0,1,0,,8,14,1,5,0,1,7,8,2,7,0,0,6,7
ccccc0a22b05eac6,1,83b743fedde154fb,164,0,4,4,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e7d7a488ea21f63,1,ad047e3073a775f3,287,0,29,70,2,3,1,0,,13,40,13,36,0,2,0,2,0,6,0,0,13,34
7e7d7a488ea21f63,1,81ca2c245b19b3c5,287,0,48,59,0,0,0,0,,1,4,1,4,0,0,0,0,0,3,1,1,0,0
040ecf01338dff9e,1,c670aa48827d6be6,105,0,0,0,2,5,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040ecf01338dff9e,1,dedc3bb440d09554,105,0,12,14,0,0,0,0,,8,9,4,4,2,2,2,3,2,3,3,3,3,3
9c74c2758a2c7c2e,1,429e7d3725852ce9,332,0,45,58,0,2,3,0,,11,23,7,15,3,5,1,3,2,10,9,13,0,0
9c74c2758a2c7c2e,1,bf12aca029bfcc47,332,0,7,16,0,0,0,0,,4,13,3,12,1,1,0,0,1,3,2,4,1,6
e65a23b80c869456,1,c670aa48827d6be6,52,0,0,0,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e65a23b80c869456,1,e8fb8e53bc2e29d6,52,0,2,3,0,0,0,0,,1,2,0,0,1,2,0,0,1,2,0,0,0,0
