fighter_id,bout_id,notice_time_days
4539,8459,7
3316,8665,4
3020,8869,5
1284,8850,18
1462,8735,15
182,8786,18
2442,9138,3
4376,9138,3
2303,8757,10
4933,8643,10
777,8645,5
3103,8771,15
2426,8770,15
2037,9297,7
5044,9213,4
5030,9214,16
331,9207,5
3892,8946,14
4333,8937,10
3663,9516,7
1933,8922,16
1410,9343,9
327,9341,7
1565,9361,9
2702,9357,11
4034,9668,3
1851,9332,6
1171,9603,17
2379,9556,3
2509,9434,16
2237,9535,12
5008,9844,3
3111,10042,4
2974,10317,3
3872,10330,9
2521,10185,14
2461,10326,6
2121,10201,10
3592,10199,2
5552,10097,9
3338,10616,4
2426,10280,9
3675,10323,10
4762,10593,9
2498,10604,15
2040,10606,14
3796,10659,10
5799,10288,10
5842,10677,7
5821,10298,4
3583,10736,5
5523,10760,3
2239,10486,16
2347,10509,22
3879,10823,9
2422,10874,4
1539,10718,16
761,10711,16
2424,10928,5
1962,10894,9
2502,10388,4
299,10589,10
3662,11030,15
3429,11151,5
3811,11147,4
4719,11033,19
3365,11115,9
2364,10985,8
2509,11042,24
2426,11106,18
4167,11330,2
4868,11327,2
5624,11489,1
5639,11465,6
3105,11301,8
5,11015,14
559,11014,10
1070,11013,11
6399,11641,3
3027,11462,4
1581,11672,5
4110,11169,15
4539,11640,17
3728,11742,4
3735,11539,4
1546,11832,9
312,11816,4
853,11834,15
1532,11533,9
4762,11927,22
2375,11929,24
4411,12087,2
4,12214,1
6754,12226,2
3317,12105,8
3084,12107,4
3262,12103,8
367,12095,22
3829,12017,28
4875,11863,1
1791,12058,27
969,12345,4
2749,12460,6
5228,12293,5
5594,12468,14
5368,12612,7
1462,12437,15
2238,12592,12
2117,12637,9
647,12636,9
3344,12564,3
6988,12712,5
1267,12701,25
4660,12970,4
3985,12929,4
7123,13057,2
7122,13077,2
3329,12953,11
5229,13166,2
294,13231,7
5854,13137,5
1941,13138,3
853,13097,16
2303,13097,8
1243,13285,1
2909,13256,8
6090,13397,10
7282,13459,4
5392,13513,3
5249,13418,13
2624,13417,8
2639,13566,8
3258,13570,4
2754,13580,16
7272,13671,6
2881,13673,5
4138,13648,4
6168,13816,4
7515,13798,3
2337,13654,4
4762,13631,11
4612,13980,10
3662,13822,16
4196,13826,21
5388,14059,8
7655,14156,4
3831,14219,3
3029,14207,7
7726,14351,3
7282,14354,9
4509,14346,3
4506,14313,4
952,14396,14
7768,14389,4
6128,14388,18
3957,14492,10
1291,14521,15
4069,14278,21
