id,name,nickname,date_of_birth,reach_inches,height_inches,stance,team_id,nationality,fighting_style
2335637,Andre Gusmao,,,,74,Orthodox,,,
2335638,Art Jimmerson,,,,73,Orthodox,,,
2335639,Jon Jones,Bones,1987-07-19,84.5,76,Orthodox,7728,USA,"Wrestling,Muay Thai,Striker"
2335640,Kyle Kingsbury,Kingsbu,1982-03-22,79.0,76,Orthodox,22,,
2335641,Tom Lawlor,Filthy,1983-05-15,75.0,72,Southpaw,830,USA,Wrestling
2335642,James Lee,,1973-09-22,,71,Southpaw,,,
2335643,Vinny Magalhaes,Pezao,1984-07-02,75.0,75,,2246,Brazil,Brazilian Jiu-Jitsu
2335644,Eliot Marshall,The Fire,1980-07-07,77.0,75,Orthodox,,,
2335645,Antonio Mendes,Samuray,1981-04-19,77.0,75,Southpaw,,,
2335646,Guy Mezger,The Sandman,1968-01-01,,73,Orthodox,,,
2335647,Mark Munoz,The Filipino Wrecking Machine,1978-02-09,72.0,72,Orthodox,121,USA,Wrestling
2335648,Jake O'Brien,,1984-09-25,76.5,75,Orthodox,,,
2335649,Michael Patt,,,,72,Orthodox,,,
2335650,Eric Schafer,Red,1977-09-20,76.5,75,Orthodox,,,
2335651,Krzysztof Soszynski,The Polish Experiment,1977-08-22,77.5,73,Open Stance,121,,
2335652,Brandon Vera,The Truth,1977-10-10,76.0,74,Orthodox,147,USA,Muay Thai
2335653,Ken Shamrock,The World's Most Dangerous Man,1964-02-11,72.5,73,Orthodox,1725,,Shootfighting
2335654,Cain Velasquez,,1982-07-28,77.0,73,Orthodox,22,USA,"Wrestling,Striker"
2335655,Cheick Kongo,,1975-05-17,84.0,76,Orthodox,10387,France,Kickboxing
2335656,Shane Carwin,,1975-01-04,80.0,74,Orthodox,426,,
2335657,Mostapha Al-Turk,,1973-07-14,77.5,74,Orthodox,,,
2335658,Pat Barry,HD,1979-07-07,74.5,71,Orthodox,41,,
2335659,Georges St-Pierre,Rush,1981-05-19,76.0,71,Orthodox,221,,
2335660,Thiago Alves,Pitbull,1983-10-03,70.0,69,Orthodox,25,Brazil,Striker
2335661,Matt Hughes,,1973-10-13,73.0,69,Switch,425,,
2335662,Matt Serra,The Terror,1974-06-02,68.0,66,Orthodox,402,,
2335663,Anthony Johnson,Rumble,1984-03-06,78.0,74,Orthodox,1071,USA,
2335664,Josh Koscheck,Kos,1977-11-30,73.0,70,Orthodox,22,,
2335665,Jon Fitch,,1978-02-24,76.0,72,Orthodox,22,USA,Wrestling
2335666,Matt Brown,The Immortal,1981-01-10,75.0,72,Orthodox,7750,USA,Striker
2335667,Ryo Chonan,Piranha,1976-10-08,70.0,69,Orthodox,,,
2335668,Akihiro Gono,,1974-10-07,68.0,69,Switch,,Japan,
2335669,Matt Arroyo,No Regard,1982-01-09,72.5,72,Orthodox,,,
2335670,Chris Lytle,Lights Out,1974-08-18,68.0,71,Orthodox,,,
2335671,Diego Sanchez,Nightmare,1981-12-31,72.0,70,Southpaw,81,USA,Wrestling
2335672,Joe Stevenson,Daddy,1982-06-15,70.0,67,Orthodox,3226,USA,Wrestling
2335673,Jeremy Stephens,Lil' Heathen,1986-05-25,70.0,69,Orthodox,147,USA,Striker
2335674,Clay Guida,The Carpenter,1981-12-08,70.0,67,Orthodox,82,USA,Wrestling
2335675,Kenny Florian,KenFlo,1976-05-26,74.0,70,Southpaw,1146,,
2335676,Joe Lauzon,J-Lau,1984-05-22,71.5,70,Orthodox,5992,USA,Brazilian Jiu-Jitsu
2335677,Tyson Griffin,,1984-04-20,68.5,66,Orthodox,22,USA,
2335678,Sean Sherk,The Muscle Shark,1973-08-05,67.0,66,Orthodox,261,,
2335679,Nate Diaz,,1985-04-16,76.0,72,Southpaw,146,USA,"Brazilian Jiu-Jitsu,Striker"
2335680,Junie Browning,Lunatik,1985-05-12,,70,Orthodox,,,
2335681,Roger Huerta,El Matador,1983-05-20,69.0,69,Orthodox,966,USA,Striker
2335682,Urijah Faber,The California Kid,1979-05-14,67.0,66,Orthodox,82,USA,Wrestling
2335683,Marcus Aurelio,Maximus,1973-08-18,74.0,70,Orthodox,,,
2335684,Rich Clementi,No Love,1977-03-31,72.5,69,Southpaw,845,,
2335685,Mac Danzig,,1980-01-02,70.0,68,Orthodox,994,,
2335686,Rolando Delgado,Roli,1981-11-22,77.0,75,Orthodox,,,
2335687,Rafael Dos Anjos,,1984-10-26,70.0,68,Southpaw,301,Brazil,Brazilian Jiu-Jitsu
2335688,Efrain Escudero,Hecho en Mexico,1986-01-15,77.0,69,Orthodox,23,Mexico,Wrestling
2335689,Gray Maynard,The Bully,1979-05-09,70.0,69,Orthodox,22,USA,Wrestling
2335690,Cole Miller,Magrinho,1984-04-28,74.0,73,Orthodox,25,USA,Brazilian Jiu-Jitsu
2335691,Josh Neer,The Dentist,1983-03-24,72.5,71,Orthodox,146,USA,"Brazilian Jiu-Jitsu,Striker"
2335692,Shane Nelson,,,70.0,69,Southpaw,,,
2335693,Phillipe Nover,The Filipino Assassin,1984-02-03,72.0,69,Orthodox,,USA,Brazilian Jiu-Jitsu
2335694,Frankie Edgar,The Answer,1981-10-16,68.0,66,Orthodox,162,USA,"Wrestling,Boxing"
2335695,Yushin Okami,Thunder,1981-07-21,75.0,74,Southpaw,928,Japan,Striker
2335696,Dan Miller,,1981-06-30,74.0,73,Orthodox,4712,,
2335697,Royce Gracie,,1966-12-12,,73,Southpaw,1010,,
2335698,Joe Riggs,Diesel,1982-09-23,70.0,72,Southpaw,23,USA,Striker
2335699,Frank Trigg,Twinkle Toes,1972-05-07,71.0,68,Southpaw,61,USA,
2335700,Renato Verissimo,Charuto,,,73,Orthodox,,,
2335701,Karo Parisyan,The Heat,1982-08-28,72.0,70,Orthodox,,,
2335702,Ivan Menjivar,Pride of El Salvador,1982-05-30,64.0,66,Orthodox,221,,
2335703,Jeff Curran,The Big Frog,1977-09-02,69.0,66,Orthodox,835,USA,Brazilian Jiu-Jitsu
2335704,Din Thomas,Dinyero,1976-09-28,,69,Orthodox,25,,
2335705,Kelly Dullanty,Psycho,1977-07-04,,68,Orthodox,,,
2335706,Yves Edwards,Thugjitsu Master,1976-09-30,73.0,69,Southpaw,25,,Thugjitsu
2335708,Hermes Franca,,1974-08-27,71.0,66,Orthodox,,Brazil,
2335709,Nick Diaz,,1983-08-02,76.0,73,Southpaw,146,USA,Striker
2335710,Joel Blanton,,1971-05-21,,66,,,,
2335711,Lee King,,1976-08-14,,73,,,,
2335712,Brodie Farber,,,,73,Orthodox,,,
2335714,Fedor Emelianenko,The Last Emperor,1976-09-28,74.0,72,Orthodox,10167,Russia,Striker
2335715,Bob Sapp,The Beast,1972-09-22,,77,Orthodox,,,
2335716,Spencer Fisher,The King,1976-05-09,70.0,67,Southpaw,974,USA,
2335717,Mark Bocek,,1981-10-24,75.0,68,Orthodox,221,,"Wrestling,Brazilian Jiu-Jitsu"
2335718,Jim Miller,A-10,1983-08-30,71.0,68,Southpaw,10907,USA,Wrestling
2335719,Steve Steinbeiss,The Hooligan,,75.0,75,Orthodox,,,
2335720,Deividas Taurosevicius,Taurus,1977-08-28,68.0,69,Southpaw,,,
2335724,Mike Ciesnolevicz,,1979-10-28,,72,Orthodox,,,
2335725,Junior Dos Santos,Cigano,1984-01-30,77.0,76,Orthodox,25,Brazil,Striker
2335726,Dan Severn,The Beast,1954-06-08,,74,Southpaw,,,
2335727,Stefan Struve,Skyscraper,1988-02-18,84.5,83,Orthodox,503,Netherlands,Brazilian Jiu-Jitsu
2335728,Zane Frazier,Nasty,1966-07-16,,78,Orthodox,,,
2335729,Justin Eilers,,1978-06-28,,73,Orthodox,,,
2335730,Antoni Hardonk,Mr. Wonderful,1976-05-02,78.0,76,Orthodox,,,
2335731,Neil Grove,Goliath,1971-01-18,,78,Orthodox,,,
2335732,Chris Wilson,,,75.0,73,Orthodox,,,
2335733,Brandon Wolff,,,,70,Orthodox,,,
2335734,Yoshiyuki Yoshida,Zenko,1974-05-10,70.0,71,Southpaw,,Japan,
2335735,Paulo Thiago,,1981-01-25,74.5,71,Orthodox,1113,Brazil,Brazilian Jiu-Jitsu
2335736,Paul Taylor,Relentless,1979-12-15,72.0,72,Orthodox,1035,,
2335737,Kendall Grove,Da Spyder,1982-12-11,79.0,78,Orthodox,,USA,Brazilian Jiu-Jitsu
2335738,Gerard Gordeau,,1959-03-30,,77,Orthodox,,,
2335739,Justin McCully,The Insane One,1976-02-18,73.0,74,Orthodox,,,
2335741,Denis Stojnic,The Menace,1980-02-02,,71,Orthodox,,Bosnia & Herzegovina,
2335742,Patrick Trey Smith,,1963-07-16,,74,Orthodox,,,
2335743,Mike Wessel,,1977-12-02,,72,Orthodox,,USA,
2335744,CB Dollaway,The Doberman,1983-08-10,76.0,74,Orthodox,910,USA,Wrestling
2335745,Alex Schoenauer,,,,75,Orthodox,,,
2335746,Ivan Serati,Il Terrible,,,72,Orthodox,,,
2335747,Derek Downey,The Gentleman,1980-04-27,,73,Orthodox,,,
2335748,Brian Stann,All American,1980-09-24,74.0,73,Orthodox,81,,
2335749,Marvin Eastman,The Beastman,1971-07-16,73.0,69,Orthodox,,,
2335750,Christian Wellisch,,1981-04-17,77.5,74,Orthodox,22,,
2335751,Denis Kang,,1977-09-17,77.0,71,Orthodox,25,,
2335752,Xavier Foupa-Pokam,Professor X,1982-03-07,,73,Open Stance,,,
2335754,Ed Herman,Short Fuse,1980-10-02,77.0,73,Orthodox,7367,USA,Striker
2335755,Alexandre Barros,Baixinho,,,69,Southpaw,,,
2335756,Rob Kimmons,The Rosedale Reaper,1981-01-30,73.0,70,Orthodox,,,
2335757,Trent Jenkins,,,,74,,,,
2335759,Brad Blackburn,Bad Brad,,73.0,70,Orthodox,,,
2335760,David Baron,,1973-02-15,,66,Switch,,,
2335761,Matt Horwich,Suave,1978-02-10,,71,Orthodox,,USA,
2335762,Nissen Osterneck,,,,74,Orthodox,,,
2335763,David Bielkheden,,1979-06-06,71.0,70,Orthodox,5961,Sweden,
2335764,Rousimar Palhares,Toquinho,1980-02-20,71.0,68,Orthodox,153,Brazil,Brazilian Jiu-Jitsu
2335765,Steve Bruno,Hollywood,,,70,Orthodox,25,,
2335766,Jorge Rivera,El Conquistador,1972-02-28,73.0,73,Orthodox,,,Dirty Boxing
2335767,Kyle Bradley,,1982-08-19,71.0,70,Orthodox,,USA,
2335768,Travis Lutter,The Serial Killer,1973-12-05,75.0,74,Orthodox,,,
2335769,Nate Loughran,,,,74,Orthodox,973,,
2335770,Justin Buchholz,,1983-08-22,73.0,71,Orthodox,82,USA,
2335771,Jason MacDonald,The Athlete,1975-06-03,80.0,75,Orthodox,831,,
2335772,Evan Dunham,,1981-12-18,70.0,70,Southpaw,61,USA,Brazilian Jiu-Jitsu
2335773,Nate Quarry,Rock,1972-03-18,72.5,72,Open Stance,282,,
2335774,Mike Massenzio,The Master of Disaster,1982-11-01,73.5,74,Southpaw,155,USA,
2335775,Per Eklund,,,72.0,70,Orthodox,,,
2335776,Jake Rosholt,,1982-02-09,,73,Orthodox,785,,
2335777,Goran Reljic,,1984-03-20,81.0,75,Southpaw,61,Croatia,
2335778,Demian Maia,,1977-11-06,72.0,73,Southpaw,4907,Brazil,Brazilian Jiu-Jitsu
2335779,Amir Sadollah,,1980-08-27,75.0,71,Orthodox,61,,
2335780,Rob Emerson,The Saint,1981-07-30,70.0,70,Orthodox,866,USA,
2335781,Charles McCarthy,Chainsaw,1980-08-06,71.5,70,Orthodox,25,,
2335782,Terry Etim,,1985-10-19,73.0,73,Orthodox,907,,
