id,name
1013,Perfect Team
1014,Top Notch Fitness
1015,Team Xplode MMA
1016,Ma Du Academy
1017,Marajo Brothers Team
1018,Ambition Training Academy
1019,Gracie Jiu-Jitsu
1020,Team Conquest
1021,China Top Team
1022,Ascension MMA
1023,Iron Clutch Fitness
1025,Mohler MMA
1026,Des Moines Jiu Jitsu
1027,Knoxville Martial Arts Academy
1028,Ultimate Training Centre
1029,Hardcore Gym
1030,Fight and Fitness
1032,Last Stand Fight Team
1035,Team Supreme
1045,CSW
1048,Team Vision
1050,Paradigm/Main Street Boxing Gym
1051,Gibson Kickboxing & Pankration
1052,Fight Firm
1056,The Arena
1065,Twisted Genetiks
1067,Champions Gym
1070,Legends MMA
1071,Blackzilians
1072,Zugec Ultimate Martial Arts
1073,Bellmore Kickboxing Academy
1075,Millennia MMA
1085,Gracie Barra Orlando
1105,Team Hakuilua
1106,Canadian Martial Arts Centre
1107,HALEO TOP TEAM
1108,Santa Fe Brazilian Jiu-Jitsu
1110,Disorderly Conduct
1111,Capital City Fighting Alliance
1112,Ring Demon Jiu-Jitsu
1113,X-Gym
1114,J-Sect
1116,Knoxville MMA
1117,Rodrigo Vaghi Jiu-Jitsu
1118,011 MMA Team
1120,Glendale Fighting Club
1125,Master Japan
1145,Bruckmann MMA
1146,Florian Martial Arts Center
1147,Hayastan Studio
1148,Titan Martial Arts
1149,South Shore Sport
1150,Gracie NEPA
1151,Alive
1165,Alliance Jiu-Jitsu
1185,Caveira Team
1226,ALIVE Shooto & Jiu-Jitsu Academy
1245,Haute Tension
1265,Marc Laimon's Cobra Kai
1305,Team Aggression
1306,Thugjitsu 
1325,Zingano BJJ
1348,Rusfighters Sport Club
1350,The Academy
1365,Sikjitsu
1366,Team Raging Warriors
1367,CM System
1386,Greatland Martial Arts
1405,Pellegrino MMA
1425,IFG
1445,Top Life Amazonas
1465,Mash Fight Team
1505,Fighting Arts Academy
1525,Sports Lab
1526,PMA Super Martial Arts Centre
1527,Atherton Submission Wrestling
1530,Vanguard
1531,Zen Jiu-Jitsu
1532,Icon Fitness MMA
1533,Remix MMA
1545,Paraestra Hachioji
1565,Champion
1566,KnuckleHeadz Boxing
1585,American Top Team Atlanta
1605,Underdawgs Fight Team
1645,Colorado Fight Factory
1665,American Top Team OKC
1685,Grappling Krakow
1725,Lion's Den
1746,High Altitude Martial Arts
1765,Team Taisumov
1766,Evolve MMA
1767,Team Fujita
1785,Team Balance
1786,Grace Fighting Systems
1787,Thaishodo MMA
1805,Mach Dojo
1807,Gracie Barra Alaska
1808,BTT Canada
1825,Hard Drive MMA
1845,Fight Nights Team
1846,Full Contact Fight Academy
1885,AVT Fight Team
1886,Ludus Magnus
1905,Arrachion MMA Olsztyn
1906,Paradigm Training Center
1907,Legion Fight Team
1925,Team Posse
1945,Gorec
1965,South Miami Sports Performance
1985,Tribe Tokyo MMA
1986,Des Moines MMA Academy
2006,Silverback Fight Club
2007,Gracie Barra Katy
2008,X3 Sports
2025,Underdog BJJ
2045,Total MMA Studios
2046,MMA Masters
2065,Yamauchi Team
2066,Pariah MMA
2085,K2L Grindhouse
2105,Crossfight
2106,Team MMA Spirit
2108,Hulett House MMA
2109,Fight Emperor
2111,Epic MMA
2112,Xian Sports University
2113,Lakay MMA
2125,Kukje Gym
2165,R-1 MMA
