cutoff_year,best_params,log_loss
2018,"{""k"": 97, ""n_estimators"": 956, ""num_leaves"": 22, ""max_depth"": 4, ""min_child_samples"": 136, ""subsample"": 0.5848536733446676, ""subsample_freq"": 2, ""colsample_bytree"": 0.7417742085578442, ""reg_alpha"": 1.7818567020982472, ""reg_lambda"": 0.062064962977052676}",0.5937193887856826
2019,"{""k"": 64, ""n_estimators"": 782, ""num_leaves"": 31, ""max_depth"": 3, ""min_child_samples"": 100, ""subsample"": 0.4936437880395516, ""subsample_freq"": 1, ""colsample_bytree"": 0.7537707236316162, ""reg_alpha"": 0.04365590774044701, ""reg_lambda"": 0.02395715401091471}",0.5996988469901663
2020,"{""k"": 86, ""n_estimators"": 987, ""num_leaves"": 8, ""max_depth"": 3, ""min_child_samples"": 146, ""subsample"": 0.8474292636053156, ""subsample_freq"": 7, ""colsample_bytree"": 0.6804618275928103, ""reg_alpha"": 0.3557141725654151, ""reg_lambda"": 0.017885386162566554}",0.5974967841658507
2021,"{""k"": 95, ""n_estimators"": 936, ""num_leaves"": 19, ""max_depth"": 4, ""min_child_samples"": 114, ""subsample"": 0.8083471972889004, ""subsample_freq"": 1, ""colsample_bytree"": 0.6826699798973181, ""reg_alpha"": 0.03317596526677775, ""reg_lambda"": 0.007070678060474566}",0.5972159434320774
2022,"{""k"": 83, ""n_estimators"": 986, ""num_leaves"": 9, ""max_depth"": 3, ""min_child_samples"": 109, ""subsample"": 0.6697395346617733, ""subsample_freq"": 1, ""colsample_bytree"": 0.8298903416268709, ""reg_alpha"": 0.02636246153539362, ""reg_lambda"": 0.06897584850617186}",0.5966782667893795
2023,"{""k"": 91, ""n_estimators"": 927, ""num_leaves"": 11, ""max_depth"": 3, ""min_child_samples"": 100, ""subsample"": 0.632542714392532, ""subsample_freq"": 1, ""colsample_bytree"": 0.8244773851967385, ""reg_alpha"": 0.13875071351076312, ""reg_lambda"": 0.23278650432147516}",0.5995410234844278
