id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTA3Mg==,1072,edgar-garcia-1072,Edgar Garcia,,1984-02-22,180.0,71.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTA3Mw==,1073,pablo-garza-1073,Pablo Garza,The Scarecrow,1983-09-16,186.0,74.0,,Brazilian Jiu-Jitsu,Orthodox,United States
RmlnaHRlck5vZGU6MTA3NA==,1074,azamat-gashimov-1074,Azamat Gashimov,Tough Guy,1990-04-07,176.0,67.0,,Wrestler,Orthodox,Russia
RmlnaHRlck5vZGU6MTA3NQ==,1075,kelvin-gastelum-1075,Kelvin Gastelum,,1991-10-24,175.0,71.0,39.0,Striker / Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTA3Ng==,1076,louis-gaudinot-1076,Louis Gaudinot,GoodNight,1984-08-28,161.0,63.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA3Nw==,1077,ulysses-gomez-1077,Ulysses Gomez,Useless,1983-04-25,166.0,66.0,,BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTA3OA==,1078,takanori-gomi-1078,Takanori Gomi,The Fireball Kid,1978-09-22,173.0,70.0,40.0,Striker,Southpaw,Japan
RmlnaHRlck5vZGU6MTA3OQ==,1079,chase-gormley-1079,Chase Gormley,,1983-08-11,191.0,77.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTA4,108,rick-glenn-108,Rick Glenn,THE GLADIATOR,1989-04-12,182.9,75.0,40.0,Striker / BJJ Grappler,Southpaw,United States
RmlnaHRlck5vZGU6MTA4MA==,1080,renzo-gracie-1080,Renzo Gracie,,1967-03-11,178.0,,,,Orthodox,Brazil
RmlnaHRlck5vZGU6MTA4MQ==,1081,roger-gracie-1081,Roger Gracie,,1981-09-26,193.0,79.0,,BJJ Grappler,Orthodox,Brazil
RmlnaHRlck5vZGU6MTA4Mg==,1082,tj-grant-1082,TJ Grant,,1984-02-26,180.0,72.0,,BJJ Grappler,Orthodox,"Calgary, Alberta, Canada"
RmlnaHRlck5vZGU6MTA4MjA=,10820,alex-perez-10820,Alex Perez,The Decision,1992-03-21,169.0,65.5,,Striker / Wrestler,Orthodox,"Lemoore, California"
RmlnaHRlck5vZGU6MTA4Mw==,1083,chad-griggs-1083,Chad Griggs,The Grave Digger,1978-05-15,190.0,73.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA4NA==,1084,josh-grispi-1084,Josh Grispi,The Fluke,1988-10-14,181.0,74.0,,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTA4NDU=,10845,sean-santella-10845,Sean Santella,Shorty Rock,1984-10-25,165.1,,,,,United States
RmlnaHRlck5vZGU6MTA4NQ==,1085,neil-grove-1085,Neil Grove,Goliath,1971-01-18,201.0,80.0,,,Orthodox,England
RmlnaHRlck5vZGU6MTA4NTA=,10850,hannah-goldy-10850,Hannah Goldy,Queen of Sparta,1992-05-18,163.0,61.0,,Striker,Orthodox,"Bondville, Vermont"
RmlnaHRlck5vZGU6MTA4NTk=,10859,adam-hunter-10859,Adam Hunter,Warhammer,1983-10-16,185.4,,,,,Canada
RmlnaHRlck5vZGU6MTA4Ng==,1086,nandor-guelmino-1086,Nandor Guelmino,The Hun,1972-12-20,191.0,76.0,,Striker,,Austria
RmlnaHRlck5vZGU6MTA4NjA=,10860,jeremy-kennedy-10860,Jeremy Kennedy,JBC,1992-09-16,180.3,71.0,39.0,Well Rounded,Orthodox,Canada
RmlnaHRlck5vZGU6MTA4NjQ=,10864,maia-kahaunaele-stevenson-10864,Maia Kahaunaele-Stevenson,,,162.6,62.0,36.0,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTA4Nw==,1087,marcelo-guimaraes-1087,Marcelo Guimaraes,Magrao,1983-06-25,182.9,73.0,,BJJ Grappler,Orthodox,Brazil
RmlnaHRlck5vZGU6MTA4NzY=,10876,ketlen-vieira-10876,Ketlen Vieira,Fenômeno,1991-08-26,175.0,68.0,,Striker / Bjj Grappler,Orthodox,Brazil
RmlnaHRlck5vZGU6MTA4OA==,1088,alexander-gustafsson-1088,Alexander Gustafsson,The Mauler,1987-01-15,196.0,76.0,46.0,Striker,Orthodox,Sweden
RmlnaHRlck5vZGU6MTA4OQ==,1089,mike-guymon-1089,Mike Guymon,The Joker,1974-09-17,183.0,71.0,,Striker / Wrestler,Orthodox,"Newport Beach, California, United States"
RmlnaHRlck5vZGU6MTA4OTM=,10893,mike-perry-10893,Mike Perry,Platinum,1991-09-15,178.0,71.0,39.0,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA5,109,rolles-gracie-109,Rolles Gracie,,1978-07-14,193.0,,,,Orthodox,Brazil
RmlnaHRlck5vZGU6MTA5MA==,1090,hyun-gyu-lim-1090,Hyun Gyu Lim,The Ace,1985-01-16,188.0,77.0,43.0,Striker,Orthodox,South Korea
RmlnaHRlck5vZGU6MTA5MQ==,1091,tim-hague-1091,Tim Hague,The Thrashing Machine,1983-05-09,194.0,76.0,,,Orthodox,Canada
RmlnaHRlck5vZGU6MTA5Mg==,1092,uriah-hall-1092,Uriah Hall,Prime Time,1984-07-31,182.9,80.0,43.0,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA5Mw==,1093,piotr-hallman-1093,Piotr Hallman,Pletwal,1987-08-25,175.3,71.5,,,,Poland
RmlnaHRlck5vZGU6MTA5NQ==,1095,jared-hamman-1095,Jared Hamman,The Messenger,1982-03-07,191.0,75.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA5Ng==,1096,james-hammortree-1096,James Hammortree,The Sledge,1983-11-29,191.0,76.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTA5NjI=,10962,gregor-gillespie-10962,Gregor Gillespie,The Gift,1987-03-18,175.0,71.0,,Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTA5NjU=,10965,miguel-baeza-10965,Miguel Baeza,Caramel Thunder,1992-08-23,188.0,74.5,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA5Nw==,1097,phil-harris-1097,Phil Harris,Billy,1983-05-09,165.1,64.0,,Striker / Grappler,Orthodox,England
RmlnaHRlck5vZGU6MTA5OA==,1098,collin-hart-1098,Collin Hart,The Dick,,188.0,76.0,,Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTA5OQ==,1099,clay-harvison-1099,Clay Harvison,Heavy Metal,1980-09-25,185.0,73.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA=,10,andrei-arlovski-10,Andrei Arlovski,The Pitbull,1979-02-04,193.0,77.0,44.0,Striker,Orthodox,Belarus
RmlnaHRlck5vZGU6MTAw,100,pedro-rizzo-100,Pedro Rizzo,The Rock,1974-05-03,185.0,79.0,,,Orthodox,Brazil
RmlnaHRlck5vZGU6MTAwMA==,1000,rafael-cavalcante-1000,Rafael Cavalcante,Feijao,1981-01-11,186.0,74.0,,Striker / BJJ Grappler,Orthodox,Brazil
