id,name,date,location,is_ufc_event,event_order
6859f67468ba8489,PRIDE Bushido 4,2004-07-19,"Nagoya, Aichi, Japan",0,
0f6528b461e47462,PRIDE Final Conflict 2004,2004-08-15,"Saitama, Japan",0,
e0ec3c3b6b611f7e,WEC 11: Evolution,2004-08-20,"Lemoore, California, USA",0,
b4bc2e3353a770b5,UFC 49: Unfinished Business,2004-08-21,"Las Vegas, Nevada, USA",1,54.0
6f018c039b4d5d80,Cage Rage 8: Knights of the Octagon,2004-09-11,"London, England, United Kingdom",0,
e741536153227386,PRIDE Bushido 5,2004-10-14,"Osaka, Japan",0,
91acd6910b802a9e,WEC 12: Halloween Fury 3,2004-10-21,"Lemoore, California, USA",0,
ce783bf73b5131f9,UFC 50: The War Of '04,2004-10-22,"Atlantic City, New Jersey, USA",1,55.0
22ee260735da0d58,DEEP 16,2004-10-30,"Tokyo, Japan",0,
05866d8c3a321856,PRIDE 28: High Octane,2004-10-31,"Saitama, Japan",0,
ac70a4f1db1b8c40,ROTR 6,2004-11-20,"Honolulu, Hawaii, USA",0,
6888e31ce88f5b17,SuperBrawl 38,2004-12-12,"Honolulu, Hawaii, USA",0,
8738eacd62e82a32,PRIDE Shockwave 2004,2004-12-31,"Saitama, Japan",0,
365fee2da473b177,K-1 Dynamite!! 2004,2004-12-31,"Osaka, Japan",0,
275cafc9de131c83,WEC 13: Heavyweight Explosion,2005-01-22,"Lemoore, California, USA",0,
c058823a2595ab09,TKO 19,2005-01-29,"Montreal, Quebec, Canada",0,
1975c2272ba40e71,Shooto 2005 1/29,2005-01-29,"Tokyo, Japan",0,
85d905f7c4f5a1af,UFC 51: Super Saturday,2005-02-05,"Las Vegas, Nevada, USA",1,56.0
e62b36885ecdac27,PRIDE 29: Fists Of Fire,2005-02-20,"Saitama, Japan",0,
e361e5c858af6ff1,K-1 Hero's 1,2005-03-26,"Saitama, Japan",0,
817e0bdf08efce2e,PRIDE Bushido 6,2005-04-03,"Yokohama, Kanagawa, Japan",0,
fbbde91f7bc2d3c5,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,"Las Vegas, Nevada, USA",1,57.0
c933d423ebdbbbdb,UFC 52: Couture vs Liddell 2,2005-04-16,"Las Vegas, Nevada, USA",1,58.0
8f2d9ee27f206f1f,PRIDE Total Elimination 2005,2005-04-23,"Osaka, Japan",0,
b51841e7c594090d,Cage Rage 11: Face Off,2005-04-30,"London, England, United Kingdom",0,
9199e0735b83dd32,WEC 15: Judgment Day,2005-05-19,"Lemoore, California, USA",0,
cbfd1d34356a004c,PRIDE Bushido 7,2005-05-22,"Tokyo, Japan",0,
