id,name,nickname,height_inches,reach_inches,stance,date_of_birth
046a85108610c0d2,Dashawn Boatwright,"Buck, the 400-pound Silverback",72.0,,Orthodox,1988-02-29
047a91d3d9c79b05,Collin Anglin,,69.0,71.0,Orthodox,1993-02-20
04835018f90b118c,Casey O'Neill,King,66.0,69.0,Orthodox,1997-10-07
0496cdac0bc9edd8,Jesse Finney,,72.0,,,1974-07-11
049d698d773eb3e1,Matt Horwich,Suave,73.0,,Orthodox,1978-10-02
04b39f4e8eb59d7c,Oluwale Bamgbose,Holy War Angel,71.0,78.0,Switch,1987-08-04
04c15b52c3cc1cab,Nate Mohr,,69.0,72.0,Orthodox,1983-03-03
04c8b08b16a5b99e,Tanner Boser,The Bulldozer,74.0,75.0,Orthodox,1991-08-02
04d5718ed2661e8c,Jorge Gurgel,,67.0,69.0,Orthodox,1977-01-25
04f9fe830cf13482,Gerald Strebendt,The Finishing Machine,69.0,,Orthodox,1979-03-01
0509b954421bb327,John Doyle,The Iron Bull,71.0,,Orthodox,1976-11-21
052ceb8976695342,Chase Gormley,,75.0,,Orthodox,
05339613bf8e9808,Rob Font,,68.0,71.0,Orthodox,1987-06-25
0541480fbf719d86,Houston Alexander,The Assassin,72.0,72.0,Orthodox,1972-03-22
054defd5420a551f,Rob Kimmons,The Rosedale Reaper,70.0,73.0,Orthodox,1981-01-30
05560764359161e4,Constantinos Philippou,,71.0,73.0,Orthodox,1979-11-29
0565706b1e7f7e7c,Kaiwen,The Underdog,69.0,72.0,Switch,1995-10-16
056c493bbd76a918,Henry Cejudo,Triple C,64.0,64.0,Orthodox,1987-02-09
0577808d22dfe79c,Jon Olav Einemo,The Viking,78.0,,Orthodox,1975-12-10
05866d8c3a321856,Marvin Eastman,The Beastman,69.0,73.0,Orthodox,1971-06-08
058e4e08a1ad8aba,Dale Hartt,,70.0,69.0,Orthodox,1979-04-04
0597a4528ebd1307,Chris Price,The Exorcist,74.0,,Southpaw,1982-11-09
05a0556072931f01,Jason Ireland,The Irish Tornado,69.0,,Southpaw,1979-12-30
05b17ae24e6bba81,Shin Haraguchi,,65.0,68.0,Switch,1998-11-27
05b43e0ead3df345,Kailin Curran,,64.0,65.0,Orthodox,1991-04-11
05fa626cb33d15b8,Andrea Lee,KGB,66.0,69.0,Orthodox,1989-02-11
05fbfe628658c538,Ricardo Arona,The Brazilian Tiger,71.0,,Orthodox,1978-07-17
062e57ca1a3c95a8,Fiona Muxlow,,64.0,,,1977-05-13
063649e21bc9d6d5,Luiz Azeredo,,69.0,,Orthodox,1976-06-10
0641c21bec209472,Mike Jackson,The Truth,74.0,74.0,Orthodox,1985-03-22
064b7dc68d786254,Cain Carrizosa,The Insane,68.0,,Orthodox,1986-07-22
065eb44700e641a4,Devin Powell,,72.0,73.0,Orthodox,1988-03-01
06626b6287e1ae1e,Chris Padilla,Taco,69.0,74.0,Orthodox,1995-09-14
06734ca9d88dec3a,Shara Magomedov,Bullet,74.0,73.0,Orthodox,1994-05-16
06827d70c53ff0d9,Scott Askham,,75.0,75.0,Southpaw,1988-05-20
068f8a189a47fea6,Maurice Greene,The Crochet Boss,79.0,80.0,Orthodox,1986-07-05
0693b2eab79198ea,Sergei Kharitonov,,72.0,,Orthodox,1980-08-18
0699c4b2a7c3c76f,Justin Pennington,,64.0,,,
06a80a685ea98573,Irwin Rivera,The Beast,66.0,67.0,Southpaw,1989-02-14
06c60fc2c8dcd7bd,Takashi Sugiura,,71.0,,Southpaw,1970-05-31
06dc1a58663579d2,Travis Galbraith,The Gladiator,72.0,,Orthodox,1981-05-18
06dced58ca24a6bd,Junior Barata,,70.0,,Orthodox,1982-01-25
06e4245d16fc5315,Ailin Perez,Fiona,65.0,66.0,Switch,1994-10-05
06f0ffa6446c5b6d,Branden Lee Hinkle,The Iron Lion,75.0,,Orthodox,1973-07-29
06f36cf4bd97ec77,Ed Herman,Short Fuse,73.0,77.0,Orthodox,1980-10-02
07047eb7d17fb0a2,Daria Zhelezniakova,Iron Lady,69.0,68.0,Orthodox,1996-01-23
07225ba28ae309b6,Charles Oliveira,Do Bronxs,70.0,74.0,Orthodox,1989-10-17
072a10e85f7d4bff,Milana Dudieva,,63.0,,Orthodox,1989-08-04
0749d968e932df53,Tarec Saffiedine,Sponge,70.0,70.0,Switch,1986-09-06
0778f94eb5d588a5,Joey Gomez,KO King,70.0,73.0,Orthodox,1986-07-21
