id,name,promotion,date,country,is_ufc_event,event_order
2426,Lumax Cup - Tournament of J 96,Lumax Cup,1996-03-30,JP,0,
2174,UVF 1 - Universal Vale Tudo Fighting 1,Universal Vale Tudo Fighting,1996-04-05,JP,0,
1427,Pancrase - Truth 4,Pancrase,1996-04-07,JP,0,
1424,Pancrase - Truth 3,Pancrase,1996-04-07,JP,0,
4082,BOTM 4 - Battle of the Masters 4,Battle of the Masters,1996-04-15,,0,
21008,SB - FutureBrawl 6,Icon Sport,1996-04-16,US,0,
2564,OFFF 3 - Oklahoma Free Fight Federation 3,Oklahoma Free Fight Federation,1996-04-20,US,0,
2246,CFT 2 - Cage Fight Tournament 2,Cage Fight Tournament,1996-04-21,NL,0,
1193,EF 2 - Extreme Fighting 2,Extreme Fighting,1996-04-26,CA,0,
50414,DNRF - Ukrainian Octagon 2,Donetsk No Rules Fighting,1996-05-01,UA,0,
1655,Shooto - Vale Tudo Junction 3,Shooto,1996-05-07,JP,0,
96386,Free Stile de Natal - Natal Freestyle 1,Free Stile de Natal,1996-05-10,BR,0,
3002,HOOKnSHOOT - Challenge,HookNShoot,1996-05-11,,0,
2501,QCU 2 - Quad City Ultimate 2,Quad City Ultimate,1996-05-11,US,0,
1430,Pancrase - Truth 5,Pancrase,1996-05-16,JP,0,
1049,UFC 9 - Motor City Madness,UFC,1996-05-17,US,1,10
21155,UFCF - Ultimate Fighting 2,United Full Contact Federation,1996-05-18,US,0,
2474,BVF 1 - Brazilian Vale Tudo Fighting 1,Brazilian Vale Tudo Fighting,1996-05-31,BR,0,
2477,BVF 2 - Brazilian Vale Tudo Fighting 2,Brazilian Vale Tudo Fighting,1996-05-31,BR,0,
4580,Fight Gala - Mix Fight Night,Holland,1996-06-15,NL,0,
130742,SFC - Stuttgart Fight Club,Stuttgart Fight Club,1996-06-22,DE,0,
2177,UVF - Universal Vale Tudo Fighting 2,Universal Vale Tudo Fighting,1996-06-24,BR,0,
14942,TOG - Tournament of Gladiators 1,Torneio dos Gladiadores,1996-06-24,BR,0,
1433,Pancrase - Truth 6,Pancrase,1996-06-25,JP,0,
1931,SB 1 - SuperBrawl 1,Icon Sport,1996-06-28,US,0,
7436,FDB 1 - Freestyle de Belem 1,Freestyle de Belem,1996-07-01,BR,0,
2480,BVF 3 - Circuito Regional de Lutas Freestyle 1,Brazilian Vale Tudo Fighting,1996-07-01,BR,0,
1211,VTJ 1996 - Vale Tudo Japan 1996,Vale Tudo Japan,1996-07-07,JP,0,
1052,UFC 10 - The Tournament,UFC,1996-07-12,US,1,11
7967,Shoot Boxing - S-Cup 1996,Shoot Boxing,1996-07-14,JP,0,
47630,AJWPW - U-Top Tournament Qualifiers,All Japan Womens Professional Wrestling,1996-07-14,JP,0,
1436,"Pancrase - 1996 Neo-Blood Tournament, Round 1",Pancrase,1996-07-22,JP,0,
1439,"Pancrase - 1996 Neo-Blood Tournament, Round 2",Pancrase,1996-07-23,JP,0,
4316,Gladiators - Gladiators 1,Gladiators (Iowa),1996-07-26,US,0,
12974,Shooto - Free Fight Kawasaki,Shooto,1996-07-28,JP,0,
21158,RCF - Reality Combat,Reality Combat Fighting,1996-08-01,,0,
2486,BVF 4 - Circuito de Lutas 7,Brazilian Vale Tudo Fighting,1996-08-01,BR,0,
4697,AJWPW - U-Top Tournament Opening Round,All Japan Womens Professional Wrestling,1996-08-12,JP,0,
4700,AJWPW - U-Top Tournament Finals,All Japan Womens Professional Wrestling,1996-08-13,JP,0,
2009,WVC 1 - World Vale Tudo Championship 1,World Vale Tudo Championship,1996-08-14,JP,0,
2180,UVF 3 - Universal Vale Tudo Fighting 3,Universal Vale Tudo Fighting,1996-08-14,JP,0,
2537,TOG - Tournament of Gladiators 2,Torneio dos Gladiadores,1996-08-16,BR,0,
2597,IFC 2 - Mayhem in Mississippi,IFC,1996-08-23,US,0,
2831,Rings - Maelstrom 6,Rings,1996-08-24,JP,0,
2729,HOOKnSHOOT - HOOKnSHOOT,HookNShoot,1996-08-31,,0,
2804,BATB 1 - Brawl at the Ballpark 1,Brawl at the Ballpark,1996-09-01,US,0,
2489,BVF 5 - Circuito de Lutas 9,Brazilian Vale Tudo Fighting,1996-09-01,BR,0,
1442,Pancrase - 1996 Anniversary Show,Pancrase,1996-09-07,JP,0,
4268,IFC 3 - International Fighting Championship 3,IFC,1996-09-14,US,0,
1055,UFC 11 - The Proving Ground,UFC,1996-09-20,US,1,12
1658,Shooto - Lets Get Lost,Shooto,1996-10-04,JP,0,
1445,Pancrase - Truth 7,Pancrase,1996-10-08,JP,0,
1934,SB 2 - SuperBrawl 2,Icon Sport,1996-10-11,US,0,
4817,FFAA - Free Fight Gala,Free Fight Association Austria,1996-10-12,AT,0,
1196,EF 3 - Extreme Fighting 3,Extreme Fighting,1996-10-18,US,0,
2183,UVF 4 - Universal Vale Tudo Fighting 4,Universal Vale Tudo Fighting,1996-10-22,BR,0,
1448,Pancrase - Truth 8,Pancrase,1996-10-22,JP,0,
20591,Rings - Battle Dimensions Tournament 1996 Opening Round,Rings,1996-10-25,,0,
3791,IMA - Battle of Styles,International Mix-Fight Association,1996-10-26,NL,0,
2732,HOOKnSHOOT - HOOKnSHOOT 2,HookNShoot,1996-10-26,,0,
2495,BVF 6 - Campeonato Brasileiro de Vale Tudo 1,Brazilian Vale Tudo Fighting,1996-11-01,BR,0,
21953,USVTO - US Vale Tudo Open 1996,US Vale Tudo Open,1996-11-06,US,0,
1451,Pancrase - Truth 9,Pancrase,1996-11-09,JP,0,
2012,WVC 2 - World Vale Tudo Championship 2,World Vale Tudo Championship,1996-11-10,BR,0,
187208,Minamoto Clan - Ukraine Open No Holds Barred Championship,Minamoto Clan,1996-11-10,UA,0,
2165,U - Japan,U-Japan,1996-11-17,JP,0,
2135,MARS - Martial Arts Reality Superfighting,Martial Arts Reality Superfighting,1996-11-22,US,0,
1256,EC 1 - Extreme Challenge 1,Extreme Chal.,1996-11-23,US,0,
3506,KP X WK - Koppo vs. Keisyukai,Koppo vs. Keisyukai,1996-11-30,JP,0,
241070,Disco 2000 - No Rules Championship,Disco 2000 No Rules Championship,1996-11-30,UA,0,
5840,KOTR 1 - Knight of the Ring 1,Knight of the Ring,1996-11-30,LT,0,
150108566,Georgian Octagon Fighting 1,,1996-11-30,GE,0,
6155,CC 1 - Chicago Challenge 1,Chicago Challenge,1996-12-01,US,0,
1058,UU 96 - Ultimate Ultimate 1996,UFC,1996-12-07,US,1,13
1454,Pancrase - Truth 10,Pancrase,1996-12-15,JP,0,
2387,"VTOL - Rio De Janeiro, Vale Tudo O Lutador",Vale Tudo O Lutador,1996-12-19,BR,0,
20597,Rings - Battle Dimensions Tournament 1996 Final,Rings,1997-01-01,,0,
4967,UFCF - Clash of the Titans,United Full Contact Federation,1997-01-11,US,0,
1457,Pancrase - Alive 1,Pancrase,1997-01-17,JP,0,
1937,SB 3 - SuperBrawl 3,Icon Sport,1997-01-17,US,0,
1661,Shooto - Reconquista 1,Shooto,1997-01-18,JP,0,
2015,WVC 3 - World Vale Tudo Championship 3,World Vale Tudo Championship,1997-01-19,BR,0,
22862,Rings - Budokan Hall 1997,Rings,1997-01-22,JP,0,
21164,FCSB - Best in the Southwest Championships,Full Contact Submission Boxing,1997-01-25,,0,
2186,UVF 5 - Universal Vale Tudo Fighting 5,Universal Vale Tudo Fighting,1997-01-30,BR,0,
1268,EC 2 - Extreme Challenge 2,Extreme Chal.,1997-02-01,US,0,
2927,Rings Holland - The Final Challenge,Rings,1997-02-02,NL,0,
1061,UFC 12 - Judgement Day,UFC,1997-02-07,US,1,14
1271,EC 3 - Extreme Challenge 3,Extreme Chal.,1997-02-15,US,0,
1274,EC 4 - Extreme Challenge 4,Extreme Chal.,1997-02-22,US,0,
1460,Pancrase - Alive 2,Pancrase,1997-02-22,JP,0,
2141,WFF - World Fighting Federation,World Fighting Federation,1997-02-24,US,0,
50459,UCMAL - Warriors Honour 2,Ukrainian Combat Martial Arts League,1997-03-01,UA,0,
2189,UVF 6 - Universal Vale Tudo Fighting 6,Universal Vale Tudo Fighting,1997-03-03,BR,0,
33773,KOTR - Knight of the Ring 1,The Knight of Plunge,1997-03-07,LT,0,
3536,Daidojuku - WARS 4,Daidojuku,1997-03-11,JP,0,
8957,CC 3 - Chicago Challenge 3,Chicago Challenge,1997-03-15,US,0,
35366,TBF 3 - The Best Fighter 3,The Best Fighter,1997-03-15,ES,0,
2018,World Vale Tudo Championship 4: Brazil vs. USA,World Vale Tudo Championship,1997-03-16,BR,0,
1463,Pancrase - Alive 3,Pancrase,1997-03-22,JP,0,
2036,Caged Combat 1 - Australian Ultimate Fighting,Caged Combat,1997-03-22,AU,0,
4646,FDB 3 - Freestyle de Belem 3,Freestyle de Belem,1997-03-23,BR,0,
3350,IFC 4 - Akwesasane,IFC,1997-03-28,US,0,
1199,EF 4 - Extreme Fighting 4,Extreme Fighting,1997-03-28,US,0,
2171,HOOKnSHOOT - Lightweight Championship,HookNShoot,1997-04-04,US,0,
33776,KOTR - Knight of the Ring 2,The Knight of Plunge,1997-04-04,LT,0,
2198,HOOKnSHOOT - Absolute Fighting Championship 1,HookNShoot,1997-04-05,US,0,
29720,IFO - Itajuba Freestyle Open,Itajuba Freestyle Open,1997-04-05,BR,0,
1679,Shooto - Reconquista 2,Shooto,1997-04-06,JP,0,
1940,SB 4 - SuperBrawl 4,Icon Sport,1997-04-09,US,0,
7733,USWF 4 - Unified Shoot Wrestling Federation 4,Unified Shoot Wrestling Federation,1997-04-12,US,0,
2825,UE - Ultimate Explosion,Ultimate Explosion,1997-04-16,US,0,
1280,EC 5 - Extreme Challenge 5,Extreme Chal.,1997-04-18,US,0,
19790,Rings - Extension Fighting 2,Rings,1997-04-22,JP,0,
150108410,Estonian No Rules Championship 1997,,1997-04-26,EE,0,
21671,CC 2 - Chicago Challenge 2,Chicago Challenge,1997-04-26,US,0,
1466,Pancrase - Alive 4,Pancrase,1997-04-27,JP,0,
2192,IAFC - Absolute Fighting Championship 2: Day 1,IAFC,1997-04-30,RU,0,
4397,IAFC - Absolute Fighting Championship 2 [Day 2],IAFC,1997-05-02,RU,0,
1289,EC 6 - Extreme Challenge 6,Extreme Chal.,1997-05-10,US,0,
43943,BFV - Battle of Fort Vancouver,Battle of Fort Vancouver,1997-05-10,US,0,
7367,Brazil Free Style - The Best Fighters,Brazil Free Style,1997-05-14,BR,0,
21170,WFC - World Fighting Council,World Fighting Council,1997-05-15,,0,
130748,FMAC - Free Martial Arts,Free Martial Arts Competition,1997-05-15,DE,0,
3806,COS - Cup of Stars,Cup of Stars,1997-05-23,,0,
1469,Pancrase - Alive 5,Pancrase,1997-05-24,JP,0,
3512,JECVTO - Japan Extreme Challenge Vale Tudo Open,Japan Extreme Challenge Vale Tudo Open,1997-05-28,JP,0,
1064,UFC 13 - The Ultimate Force,UFC,1997-05-30,US,1,15
6179,Strikeforce - Strike Force,Strike Force,1997-05-31,US,0,
6527,Pancrace - Hybrid Pancrace,Pancrace,1997-06-08,FR,0,
2147,Brazil Open - 97,Brazil Open Fight,1997-06-15,BR,0,
1472,Pancrase - Alive 6,Pancrase,1997-06-18,JP,0,
21161,USWF 5 - Unified Shoot Wrestling Federation 5,Unified Shoot Wrestling Federation,1997-06-20,US,0,
4394,IAFC - Absolute Fighting Russian Open Cup 1,IAFC,1997-06-20,RU,0,
2837,Rings - Extension Fighting 4,Rings,1997-06-21,JP,0,
4982,UE - Ultimate Enticer,Ultimate Enticer,1997-06-24,US,0,
1295,EC 7 - Extreme Challenge 7,Extreme Chal.,1997-06-25,US,0,
1682,Shooto - Gig,Shooto,1997-06-25,JP,0,
21683,BFC - Brazilian Freestyle Circuit 1,TDR Vale Tudo,1997-06-25,BR,0,
19817,RE 1 - Reto Extremo 1,Reto Extremo,1997-06-26,MX,0,
42440,GBF - Golden Belts Fighting Championship 1,Golden Belts,1997-06-28,FR,0,
4364,Rings Holland - Utrecht at War,Rings,1997-06-29,NL,0,
1475,Pancrase - Alive 7,Pancrase,1997-06-30,JP,0,
2534,BVF 10 - Brazilian Vale Tudo Fighting 10,Brazilian Vale Tudo Fighting,1997-07-01,BR,0,
1814,IVC 1 - Real Fight Tournament,International Vale Tudo Championship,1997-07-06,BR,0,
7658,ECBO - Extremo Combate Bahia Open,Extremo Combate Bahia Open,1997-07-07,BR,0,
21173,UFCF - Road to the Championships 1,United Full Contact Federation,1997-07-07,US,0,
2885,HOOKnSHOOT - When Worlds Collide,HookNShoot,1997-07-18,,0,
2237,HOOKnSHOOT - Absolute Fighting Championship 2,HookNShoot,1997-07-19,,0,
1481,"Pancrase - 1997 Neo-Blood Tournament, Round 2",Pancrase,1997-07-20,JP,0,
1478,"Pancrase - 1997 Neo-Blood Tournament, Round 1",Pancrase,1997-07-20,JP,0,
4331,IAFC - Absolute Fighting Russian Open Cup 2,IAFC,1997-07-25,RU,0,
4949,RC - RAW Combat,RAW Combat,1997-07-26,CA,0,
6353,AEAC - Absolute Euro-Asian Championship [Day 1],Absolute Euro-Asian Championship,1997-07-26,,0,
1067,UFC 14 - Showdown,UFC,1997-07-27,US,1,16
2429,Lumax Cup - Tournament of J 97 Heavyweight Tournament,Lumax Cup,1997-07-27,JP,0,
6356,AEAC - Absolute Euro-Asian Championship [Day 2],Absolute Euro-Asian Championship,1997-07-27,,0,
1298,EC 8 - Extreme Challenge 8,Extreme Chal.,1997-08-09,US,0,
1484,Pancrase - Alive 8,Pancrase,1997-08-09,JP,0,
30644,LTF - Londrina Top Fight,Londrina Top Fight,1997-08-13,BR,0,
14747,USWF 6 - Unified Shoot Wrestling Federation 6,Unified Shoot Wrestling Federation,1997-08-16,US,0,
1943,SB 5 - SuperBrawl 5,Icon Sport,1997-08-23,GU,0,
1685,Shooto - Reconquista 3,Shooto,1997-08-27,JP,0,
2771,IAFC - Absolute Fighting Russian Open Cup 3,IAFC,1997-08-29,RU,0,
1334,EC 9 - Extreme Challenge 9,Extreme Chal.,1997-08-30,US,0,
29717,GF - Guaratingueta Freestyle 1,Guaratingueta Freestyle,1997-08-30,BR,0,
2645,IFC 5 - Battle in the Bayou,IFC,1997-09-05,US,0,
1487,Pancrase - 1997 Anniversary Show,Pancrase,1997-09-06,JP,0,
7385,ISCF - Submission Fighting Open 1,ISCF,1997-09-06,US,0,
21065,UFCF - Road to the Championships 2,United Full Contact Federation,1997-09-06,US,0,
2507,IEF 1 - Iowa Extreme Fighting 1,Iowa Extreme Fighting,1997-09-10,US,0,
42464,TS - Tae Sho,Tae Sho,1997-09-12,US,0,
1817,IVC 2 - A Question of Pride,International Vale Tudo Championship,1997-09-15,BR,0,
2648,IFC 6 - Battle at Four Bears,IFC,1997-09-20,US,0,
2240,HOOKnSHOOT - Elite,HookNShoot,1997-09-20,US,0,
21797,Rings - Extension Fighting 7,Rings,1997-09-26,JP,0,
4355,IAFC - Absolute Fighting Russian Open Cup 4,IAFC,1997-09-26,RU,0,
2144,Pentagon Combat - Pentagon Combat,Pentagon Combat,1997-09-27,BR,0,
33086,Desafio - Rio vs. Sao Paulo,Desafio,1997-09-27,BR,0,
3272,IMA: Red Devil Fight Night 1,Red Devil Free Fight,1997-09-27,NL,0,
1337,EC 10 - Extreme Challenge 10,Extreme Chal.,1997-10-04,US,0,
4181,Gym Alkmaar - Fight Gala,Gym Alkmaar Fight Galas,1997-10-05,NL,0,
1139,Pride FC - Pride 1,PRIDE,1997-10-11,JP,0,
1688,Shooto - Reconquista 4,Shooto,1997-10-12,JP,0,
3515,JMAF - Japanese Martial Arts Festival,Japanese Martial Arts Festival,1997-10-12,JP,0,
1070,UFC 15 - Collision Course,UFC,1997-10-17,US,1,17
6656,USWF 7 - Unified Shoot Wrestling Federation 7,Unified Shoot Wrestling Federation,1997-10-18,US,0,
252272,Draka - Draka Intercontinental Championships,Draka,1997-10-18,US,0,
19793,Rings - Mega Battle Tournament 1997 Semifinal 1,Rings,1997-10-25,JP,0,
7154,WPC - World Pankration Championships 1,World Pankration Championships,1997-10-26,US,0,
1490,Pancrase - Alive 9,Pancrase,1997-10-29,JP,0,
2249,M-1 MFC - World Championship 1997,M-1 Mix-FC,1997-11-01,RU,0,
2195,IAFC - 1st Absolute Fighting World Cup Pankration,IAFC,1997-11-12,IL,0,
4145,EC - Extreme Challenge Trials,Extreme Chal.,1997-11-15,US,0,
1493,Pancrase - Alive 10,Pancrase,1997-11-16,JP,0,
7235,AVT - Australia Vale Tudo,Australia Vale Tudo,1997-11-16,AU,0,
2531,BVF 9 - Campeonato Brasileiro de Vale Tudo 2,Brazilian Vale Tudo Fighting,1997-11-20,BR,0,
2528,BVF 8 - Campeonato Brasileiro de Vale Tudo 2,Brazilian Vale Tudo Fighting,1997-11-20,BR,0,
19820,RE 2 - Reto Extremo 2,Reto Extremo,1997-11-20,MX,0,
12386,UFCF - Gladiators,United Full Contact Federation,1997-11-21,,0,
1340,EC 11 - Extreme Challenge 11,Extreme Chal.,1997-11-22,US,0,
