cutoff_year,best_params,log_loss
2016,"{""k"": 100, ""C"": 0.0037752548535922295}",0.626237638444752
2017,"{""k"": 86, ""C"": 0.004289122615567552}",0.6251497662050254
2018,"{""k"": 66, ""C"": 0.006488276578374838}",0.6236137857928894
2019,"{""k"": 82, ""C"": 0.0065394124194560555}",0.6269734275971871
2020,"{""k"": 100, ""C"": 0.0034902698403967854}",0.6251902780449046
2021,"{""k"": 100, ""C"": 0.0030892839709555794}",0.6272600652672162
2022,"{""k"": 87, ""C"": 0.00578750773162659}",0.6251417567862826
2023,"{""k"": 85, ""C"": 0.019925117592483218}",0.6215958154820866
