Bet,betsite,dates,odds,fighter1,fighter2,class,url
David Michaud,meanodds,1429654510000,+285,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429719128000,+287,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429721290000,+291,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429732454000,+290,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429765389000,+290,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429765390000,+290,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429786089000,+291,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429799414000,+293,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429799767000,+296,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429799769000,+299,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429800130000,+300,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429820111000,+299,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429893008000,+302,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429893011000,+303,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429905793000,+305,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429912449000,+303,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429912451000,+301,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429943049000,+299,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429952409000,+299,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
David Michaud,meanodds,1429963748000,+299,David Michaud,Olivier Aubin-Mercier,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
