id,name,nickname,date_of_birth,height,reach,stance,team_id,nationality,fighting_style
2335662,Matt Serra,The Terror,2/6/1974,"5' 6""","68""",Orthodox,402.0,,
2335663,Anthony Johnson,Rumble,6/3/1984,"6' 2""","78""",Orthodox,1071.0,USA,
2335664,Josh Koscheck,Kos,30/11/1977,"5' 10""","73""",Orthodox,22.0,,
2335665,Jon Fitch,,24/2/1978,"6' 0""","76""",Orthodox,22.0,USA,Wrestling
2335666,Matt Brown,The Immortal,10/1/1981,"6' 0""","75""",Orthodox,7750.0,USA,Striker
2335667,Ryo Chonan,Piranha,8/10/1976,"5' 9""","70""",Orthodox,,,
2335668,Akihiro Gono,,7/10/1974,"5' 9""","68""",Switch,,Japan,
2335669,Matt Arroyo,No Regard,9/1/1982,"6' 0""","72.5""",Orthodox,,,
2335670,Chris Lytle,Lights Out,18/8/1974,"5' 11""","68""",Orthodox,,,
2335671,Diego Sanchez,Nightmare,31/12/1981,"5' 10""","72""",Southpaw,81.0,USA,Wrestling
2335672,Joe Stevenson,Daddy,15/6/1982,"5' 7""","70""",Orthodox,3226.0,USA,Wrestling
2335673,Jeremy Stephens,Lil' Heathen,25/5/1986,"5' 9""","70""",Orthodox,147.0,USA,Striker
2335674,Clay Guida,The Carpenter,8/12/1981,"5' 7""","70""",Orthodox,82.0,USA,Wrestling
2335675,Kenny Florian,KenFlo,26/5/1976,"5' 10""","74""",Southpaw,1146.0,,
2335676,Joe Lauzon,J-Lau,22/5/1984,"5' 10""","71.5""",Orthodox,5992.0,USA,Brazilian Jiu-Jitsu
2335677,Tyson Griffin,,20/4/1984,"5' 6""","68.5""",Orthodox,22.0,USA,
2335678,Sean Sherk,The Muscle Shark,5/8/1973,"5' 6""","67""",Orthodox,261.0,,
2335679,Nate Diaz,,16/4/1985,"6' 0""","76""",Southpaw,146.0,USA,"Brazilian Jiu-Jitsu,Striker"
2335680,Junie Browning,Lunatik,12/5/1985,"5' 10""",,Orthodox,,,
2335681,Roger Huerta,El Matador,20/5/1983,"5' 9""","69""",Orthodox,966.0,USA,Striker
2335682,Urijah Faber,The California Kid,14/5/1979,"5' 6""","67""",Orthodox,82.0,USA,Wrestling
2335683,Marcus Aurelio,Maximus,18/8/1973,"5' 10""","74""",Orthodox,,,
2335684,Rich Clementi,No Love,31/3/1977,"5' 9""","72.5""",Southpaw,845.0,,
2335685,Mac Danzig,,2/1/1980,"5' 8""","70""",Orthodox,994.0,,
2335686,Rolando Delgado,Roli,22/11/1981,"6' 3""","77""",Orthodox,,,
2335687,Rafael Dos Anjos,,26/10/1984,"5' 8""","70""",Southpaw,301.0,Brazil,Brazilian Jiu-Jitsu
2335688,Efrain Escudero,Hecho en Mexico,15/1/1986,"5' 9""","77""",Orthodox,23.0,Mexico,Wrestling
2335689,Gray Maynard,The Bully,9/5/1979,"5' 9""","70""",Orthodox,22.0,USA,Wrestling
2335690,Cole Miller,Magrinho,28/4/1984,"6' 1""","74""",Orthodox,25.0,USA,Brazilian Jiu-Jitsu
2335691,Josh Neer,The Dentist,24/3/1983,"5' 11""","72.5""",Orthodox,146.0,USA,"Brazilian Jiu-Jitsu,Striker"
2335692,Shane Nelson,,,"5' 9""","70""",Southpaw,,,
2335693,Phillipe Nover,The Filipino Assassin,3/2/1984,"5' 9""","72""",Orthodox,,USA,Brazilian Jiu-Jitsu
2335694,Frankie Edgar,The Answer,16/10/1981,"5' 6""","68""",Orthodox,162.0,USA,"Wrestling,Boxing"
2335695,Yushin Okami,Thunder,21/7/1981,"6' 2""","75""",Southpaw,928.0,Japan,Striker
2335696,Dan Miller,,30/6/1981,"6' 1""","74""",Orthodox,4712.0,,
2335697,Royce Gracie,,12/12/1966,"6' 1""",,Southpaw,1010.0,,
2335698,Joe Riggs,Diesel,23/9/1982,"6' 0""","70""",Southpaw,23.0,USA,Striker
2335699,Frank Trigg,Twinkle Toes,7/5/1972,"5' 8""","71""",Southpaw,61.0,USA,
2335700,Renato Verissimo,Charuto,,"6' 1""",,Orthodox,,,
2335701,Karo Parisyan,The Heat,28/8/1982,"5' 10""","72""",Orthodox,,,
2335702,Ivan Menjivar,Pride of El Salvador,30/5/1982,"5' 6""","64""",Orthodox,221.0,,
2335703,Jeff Curran,The Big Frog,2/9/1977,"5' 6""","69""",Orthodox,835.0,USA,Brazilian Jiu-Jitsu
2335704,Din Thomas,Dinyero,28/9/1976,"5' 9""",,Orthodox,25.0,,
2335705,Kelly Dullanty,Psycho,4/7/1977,"5' 8""",,Orthodox,,,
2335706,Yves Edwards,Thugjitsu Master,30/9/1976,"5' 9""","73""",Southpaw,25.0,,Thugjitsu
2335708,Hermes Franca,,27/8/1974,"5' 6""","71""",Orthodox,,Brazil,
2335709,Nick Diaz,,2/8/1983,"6' 1""","76""",Southpaw,146.0,USA,Striker
2335710,Joel Blanton,,21/5/1971,"5' 6""",,--,,,
2335711,Lee King,,14/8/1976,"6' 1""",,--,,,
2335712,Brodie Farber,,,"6' 1""",,Orthodox,,,
2335714,Fedor Emelianenko,The Last Emperor,28/9/1976,"6' 0""","74""",Orthodox,10167.0,Russia,Striker
2335715,Bob Sapp,The Beast,22/9/1972,"6' 5""",,Orthodox,,,
2335716,Spencer Fisher,The King,9/5/1976,"5' 7""","70""",Southpaw,974.0,USA,
2335717,Mark Bocek,,24/10/1981,"5' 8""","75""",Orthodox,221.0,,"Wrestling,Brazilian Jiu-Jitsu"
2335718,Jim Miller,A-10,30/8/1983,"5' 8""","71""",Southpaw,10907.0,USA,Wrestling
2335719,Steve Steinbeiss,The Hooligan,,"6' 3""","75""",Orthodox,,,
2335720,Deividas Taurosevicius,Taurus,28/8/1977,"5' 9""","68""",Southpaw,,,
2335724,Mike Ciesnolevicz,,28/10/1979,"6' 0""",,Orthodox,,,
2335725,Junior Dos Santos,Cigano,30/1/1984,"6' 4""","77""",Orthodox,25.0,Brazil,Striker
2335726,Dan Severn,The Beast,8/6/1954,"6' 2""",,Southpaw,,,
2335727,Stefan Struve,Skyscraper,18/2/1988,"6' 11""","84.5""",Orthodox,503.0,Netherlands,Brazilian Jiu-Jitsu
2335728,Zane Frazier,Nasty,16/7/1966,"6' 6""",,Orthodox,,,
2335729,Justin Eilers,,28/6/1978,"6' 1""",,Orthodox,,,
2335730,Antoni Hardonk,Mr. Wonderful,2/5/1976,"6' 4""","78""",Orthodox,,,
2335731,Neil Grove,Goliath,18/1/1971,"6' 6""",,Orthodox,,,
2335732,Chris Wilson,,,"6' 1""","75""",Orthodox,,,
2335733,Brandon Wolff,,,"5' 10""",,Orthodox,,,
2335734,Yoshiyuki Yoshida,Zenko,10/5/1974,"5' 11""","70""",Southpaw,,Japan,
2335735,Paulo Thiago,,25/1/1981,"5' 11""","74.5""",Orthodox,1113.0,Brazil,Brazilian Jiu-Jitsu
2335736,Paul Taylor,Relentless,15/12/1979,"6' 0""","72""",Orthodox,1035.0,,
2335737,Kendall Grove,Da Spyder,11/12/1982,"6' 6""","79""",Orthodox,,USA,Brazilian Jiu-Jitsu
2335738,Gerard Gordeau,,30/3/1959,"6' 5""",,Orthodox,,,
2335739,Justin McCully,The Insane One,18/2/1976,"6' 2""","73""",Orthodox,,,
2335741,Denis Stojnic,The Menace,2/2/1980,"5' 11""",,Orthodox,,Bosnia & Herzegovina,
2335742,Patrick Trey Smith,,16/7/1963,"6' 2""",,Orthodox,,,
2335743,Mike Wessel,,2/12/1977,"6' 0""",,Orthodox,,USA,
2335744,CB Dollaway,The Doberman,10/8/1983,"6' 2""","76""",Orthodox,910.0,USA,Wrestling
2335745,Alex Schoenauer,,,"6' 3""",,Orthodox,,,
2335746,Ivan Serati,Il Terrible,,"6' 0""",,Orthodox,,,
2335747,Derek Downey,The Gentleman,27/4/1980,"6' 1""",,Orthodox,,,
2335748,Brian Stann,All American,24/9/1980,"6' 1""","74""",Orthodox,81.0,,
2335749,Marvin Eastman,The Beastman,16/7/1971,"5' 9""","73""",Orthodox,,,
2335750,Christian Wellisch,,17/4/1981,"6' 2""","77.5""",Orthodox,22.0,,
2335751,Denis Kang,,17/9/1977,"5' 11""","77""",Orthodox,25.0,,
2335752,Xavier Foupa-Pokam,Professor X,7/3/1982,"6' 1""",,Open Stance,,,
2335754,Ed Herman,Short Fuse,2/10/1980,"6' 1""","77""",Orthodox,7367.0,USA,Striker
2335755,Alexandre Barros,Baixinho,,"5' 9""",,Southpaw,,,
2335756,Rob Kimmons,The Rosedale Reaper,30/1/1981,"5' 10""","73""",Orthodox,,,
2335757,Trent Jenkins,,,"6' 2""",,--,,,
2335759,Brad Blackburn,Bad Brad,,"5' 10""","73""",Orthodox,,,
2335760,David Baron,,15/2/1973,"5' 6""",,Switch,,,
2335761,Matt Horwich,Suave,10/2/1978,"5' 11""",,Orthodox,,USA,
2335762,Nissen Osterneck,,,"6' 2""",,Orthodox,,,
2335763,David Bielkheden,,6/6/1979,"5' 10""","71""",Orthodox,5961.0,Sweden,
2335764,Rousimar Palhares,Toquinho,20/2/1980,"5' 8""","71""",Orthodox,153.0,Brazil,Brazilian Jiu-Jitsu
2335765,Steve Bruno,Hollywood,,"5' 10""",,Orthodox,25.0,,
2335766,Jorge Rivera,El Conquistador,28/2/1972,"6' 1""","73""",Orthodox,,,Dirty Boxing
2335767,Kyle Bradley,,19/8/1982,"5' 10""","71""",Orthodox,,USA,
2335768,Travis Lutter,The Serial Killer,5/12/1973,"6' 2""","75""",Orthodox,,,
2335769,Nate Loughran,,,"6' 2""",,Orthodox,973.0,,
2335770,Justin Buchholz,,22/8/1983,"5' 11""","73""",Orthodox,82.0,USA,
2335771,Jason MacDonald,The Athlete,3/6/1975,"6' 3""","80""",Orthodox,831.0,,
2335772,Evan Dunham,,18/12/1981,"5' 10""","70""",Southpaw,61.0,USA,Brazilian Jiu-Jitsu
2335773,Nate Quarry,Rock,18/3/1972,"6' 0""","72.5""",Open Stance,282.0,,
2335774,Mike Massenzio,The Master of Disaster,1/11/1982,"6' 2""","73.5""",Southpaw,155.0,USA,
2335775,Per Eklund,,,"5' 10""","72""",Orthodox,,,
2335776,Jake Rosholt,,9/2/1982,"6' 1""",,Orthodox,785.0,,
2335777,Goran Reljic,,20/3/1984,"6' 3""","81""",Southpaw,61.0,Croatia,
2335778,Demian Maia,,6/11/1977,"6' 1""","72""",Southpaw,4907.0,Brazil,Brazilian Jiu-Jitsu
2335779,Amir Sadollah,,27/8/1980,"5' 11""","75""",Orthodox,61.0,,
2335780,Rob Emerson,The Saint,30/7/1981,"5' 10""","70""",Orthodox,866.0,USA,
2335781,Charles McCarthy,Chainsaw,6/8/1980,"5' 10""","71.5""",Orthodox,25.0,,
2335782,Terry Etim,,19/10/1985,"6' 1""","73""",Orthodox,907.0,,
2335783,Manvel Gamburyan,The Anvil,8/5/1981,"5' 5""","67""",Orthodox,1147.0,USA,Jiu-Jitsu
2335784,Roan Carneiro,Jucao,2/6/1978,"5' 11""","74.5""",Orthodox,,Brazil,
2335785,Alessio Sakara,Legionarius,2/9/1981,"6' 0""","72""",Orthodox,25.0,Italy,Striker
2335786,Ivan Salaverry,,11/1/1971,"6' 0""",,Orthodox,930.0,,
2335787,George Sotiropoulos,,9/7/1977,"5' 10""","71""",Orthodox,25.0,Australia,
2335788,Dan Cramer,,31/10/1985,"6' 2""",,Orthodox,25.0,,
2335789,Matt Grice,The Real One,29/7/1981,"5' 8""","70""",Orthodox,1148.0,USA,
2335790,Jorge Santiago,,9/10/1980,"6' 1""","74""",Orthodox,1071.0,USA,
2335791,Tim McKenzie,Wrecking Machine,,"5' 11""","74""",Orthodox,,,
2335792,Tom Egan,The Tank,,"5' 11""",,Orthodox,,,
2335793,Aaron Simpson,A-Train,20/7/1974,"6' 1""","73""",Orthodox,910.0,USA,
