bout_id,round,judge_id,judge_order,fighter_1_score,fighter_2_score
228,1,12.0,2,,
228,2,12.0,2,,
228,3,12.0,2,,
228,Total,12.0,2,1.0,0.0
228,1,30.0,3,,
228,2,30.0,3,,
228,3,30.0,3,,
228,Total,30.0,3,1.0,0.0
232,1,27.0,1,,
232,2,27.0,1,,
232,3,27.0,1,,
232,Total,27.0,1,0.0,0.0
232,1,12.0,2,,
232,2,12.0,2,,
232,3,12.0,2,,
232,Total,12.0,2,0.0,0.0
232,1,30.0,3,,
232,2,30.0,3,,
232,3,30.0,3,,
232,Total,30.0,3,0.0,0.0
236,1,33.0,1,,
236,2,33.0,1,,
236,3,33.0,1,,
236,Total,33.0,1,1.0,0.0
236,1,32.0,2,,
236,2,32.0,2,,
236,3,32.0,2,,
236,Total,32.0,2,1.0,0.0
236,1,31.0,3,,
236,2,31.0,3,,
236,3,31.0,3,,
236,Total,31.0,3,1.0,0.0
241,1,33.0,1,,
241,2,33.0,1,,
241,3,33.0,1,,
241,4,33.0,1,,
241,5,33.0,1,,
241,Total,33.0,1,1.0,0.0
241,1,32.0,2,,
241,2,32.0,2,,
241,3,32.0,2,,
241,4,32.0,2,,
241,5,32.0,2,,
241,Total,32.0,2,1.0,0.0
241,1,31.0,3,,
241,2,31.0,3,,
241,3,31.0,3,,
241,4,31.0,3,,
241,5,31.0,3,,
241,Total,31.0,3,1.0,0.0
243,1,27.0,1,,
243,2,27.0,1,,
243,Total,27.0,1,1.0,0.0
243,1,12.0,2,,
243,2,12.0,2,,
243,Total,12.0,2,1.0,0.0
243,1,34.0,3,,
243,2,34.0,3,,
243,Total,34.0,3,1.0,0.0
247,1,27.0,1,,
247,2,27.0,1,,
247,3,27.0,1,,
247,Total,27.0,1,1.0,0.0
247,1,12.0,2,,
247,2,12.0,2,,
247,3,12.0,2,,
247,Total,12.0,2,1.0,0.0
247,1,34.0,3,,
247,2,34.0,3,,
247,3,34.0,3,,
247,Total,34.0,3,1.0,0.0
250,1,18.0,1,,
250,2,18.0,1,,
250,3,18.0,1,,
250,Total,18.0,1,1.0,0.0
250,1,36.0,2,,
250,2,36.0,2,,
250,3,36.0,2,,
250,Total,36.0,2,1.0,1.0
250,1,31.0,3,,
250,2,31.0,3,,
250,3,31.0,3,,
250,Total,31.0,3,1.0,0.0
253,1,18.0,1,,
253,2,18.0,1,,
253,3,18.0,1,,
253,Total,18.0,1,1.0,0.0
253,1,35.0,2,,
253,2,35.0,2,,
253,3,35.0,2,,
253,Total,35.0,2,1.0,0.0
253,1,31.0,3,,
253,2,31.0,3,,
253,3,31.0,3,,
253,Total,31.0,3,1.0,0.0
256,1,35.0,1,,
256,2,35.0,1,,
256,3,35.0,1,,
256,4,35.0,1,,
256,5,35.0,1,,
256,Total,35.0,1,1.0,0.0
256,1,36.0,2,,
256,2,36.0,2,,
256,3,36.0,2,,
256,4,36.0,2,,
256,5,36.0,2,,
256,Total,36.0,2,1.0,0.0
256,1,31.0,3,,
256,2,31.0,3,,
256,3,31.0,3,,
256,4,31.0,3,,
256,5,31.0,3,,
256,Total,31.0,3,1.0,0.0
258,1,12.0,1,,
258,2,12.0,1,,
258,Total,12.0,1,1.0,0.0
258,1,18.0,2,,
258,2,18.0,2,,
258,Total,18.0,2,1.0,0.0
258,1,37.0,3,,
258,2,37.0,3,,
258,Total,37.0,3,1.0,0.0
260,1,12.0,1,,
260,2,12.0,1,,
260,3,12.0,1,,
260,Total,12.0,1,1.0,0.0
260,1,18.0,2,,
260,2,18.0,2,,
260,3,18.0,2,,
260,Total,18.0,2,1.0,0.0
260,1,37.0,3,,
260,2,37.0,3,,
260,3,37.0,3,,
260,Total,37.0,3,1.0,0.0
264,1,12.0,1,,
264,2,12.0,1,,
264,3,12.0,1,,
264,Total,12.0,1,1.0,0.0
264,1,18.0,2,,
264,2,18.0,2,,
264,3,18.0,2,,
264,Total,18.0,2,1.0,0.0
264,1,37.0,3,,
264,2,37.0,3,,
264,3,37.0,3,,
264,Total,37.0,3,1.0,0.0
265,1,12.0,1,,
265,2,12.0,1,,
265,3,12.0,1,,
265,4,12.0,1,,
265,5,12.0,1,,
265,Total,12.0,1,1.0,0.0
265,1,18.0,2,,
265,2,18.0,2,,
265,3,18.0,2,,
265,4,18.0,2,,
265,5,18.0,2,,
265,Total,18.0,2,1.0,0.0
265,1,37.0,3,,
265,2,37.0,3,,
265,3,37.0,3,,
265,4,37.0,3,,
265,5,37.0,3,,
265,Total,37.0,3,1.0,0.0
266,1,26.0,1,,
266,2,26.0,1,,
266,Total,26.0,1,0.0,0.0
266,1,12.0,2,,
266,2,12.0,2,,
266,Total,12.0,2,0.0,0.0
266,1,38.0,3,,
266,2,38.0,3,,
266,Total,38.0,3,0.0,0.0
267,1,26.0,1,,
267,2,26.0,1,,
267,Total,26.0,1,1.0,0.0
267,1,12.0,2,,
267,2,12.0,2,,
267,Total,12.0,2,1.0,0.0
267,1,38.0,3,,
267,2,38.0,3,,
267,Total,38.0,3,1.0,0.0
268,1,26.0,1,,
268,2,26.0,1,,
268,3,26.0,1,,
268,Total,26.0,1,1.0,0.0
268,1,12.0,2,,
268,2,12.0,2,,
268,3,12.0,2,,
268,Total,12.0,2,1.0,0.0
268,1,38.0,3,,
268,2,38.0,3,,
268,3,38.0,3,,
268,Total,38.0,3,1.0,0.0
272,1,26.0,1,,
272,Total,26.0,1,0.0,0.0
272,1,12.0,2,,
272,Total,12.0,2,0.0,0.0
272,1,38.0,3,,
272,Total,38.0,3,0.0,0.0
274,1,39.0,1,,
274,2,39.0,1,,
274,Total,39.0,1,1.0,0.0
274,1,19.0,2,,
274,2,19.0,2,,
274,Total,19.0,2,1.0,0.0
274,1,18.0,3,,
274,2,18.0,3,,
274,Total,18.0,3,1.0,0.0
275,1,39.0,1,,
275,2,39.0,1,,
275,Total,39.0,1,1.0,0.0
